a0_min        a1_min        Y1_intercept  Y2_intercept  Y3_intercept  Y4_intercept  Y5_intercept  LogPost       
  0.984227E+02  0.344170E+01  0.935912E-04  0.930161E+01  0.942319E+01  0.178097E+02  0.149152E+02  0.402296E+02
  0.984227E+02  0.107100E+02  0.935912E-04  0.934062E+01  0.111858E+02  0.178097E+02  0.149152E+02  0.386014E+02
  0.985104E+02  0.813682E+01  0.935912E-04  0.958845E+01  0.115981E+02  0.176679E+02  0.161775E+02  0.391824E+02
  0.985104E+02  0.813682E+01  0.902977E-04  0.100038E+02  0.104556E+02  0.152451E+02  0.136007E+02  0.401220E+02
  0.985104E+02  0.726789E+01  0.902977E-04  0.106063E+02  0.112827E+02  0.145027E+02  0.140685E+02  0.400498E+02
  0.985104E+02  0.710496E+01  0.902977E-04  0.912988E+01  0.102651E+02  0.130506E+02  0.131874E+02  0.402253E+02
  0.985104E+02  0.967519E+01  0.902977E-04  0.912988E+01  0.102651E+02  0.152128E+02  0.100113E+02  0.380939E+02
  0.985104E+02  0.967519E+01  0.902977E-04  0.975497E+01  0.882672E+01  0.174545E+02  0.100113E+02  0.376663E+02
  0.985104E+02  0.967519E+01  0.902977E-04  0.908342E+01  0.752535E+01  0.185955E+02  0.131100E+02  0.381675E+02
  0.985104E+02  0.121522E+02  0.902977E-04  0.105707E+02  0.848829E+01  0.175968E+02  0.148335E+02  0.380871E+02
  0.987730E+02  0.117190E+01  0.902977E-04  0.105707E+02  0.848829E+01  0.180078E+02  0.150841E+02  0.398814E+02
  0.987730E+02  0.117190E+01  0.902977E-04  0.117575E+02  0.785866E+01  0.157690E+02  0.137950E+02  0.396939E+02
  0.987730E+02  0.177345E+01  0.902977E-04  0.114678E+02  0.928825E+01  0.139405E+02  0.155725E+02  0.403981E+02
  0.987730E+02  0.177345E+01  0.722732E-03  0.112431E+02  0.106755E+02  0.145665E+02  0.135344E+02  0.386861E+02
  0.987730E+02 -0.311346E+01  0.145481E-03  0.120175E+02  0.108213E+02  0.165043E+02  0.122769E+02  0.384525E+02
  0.987730E+02 -0.384404E+01  0.206410E-03  0.131364E+02  0.127396E+02  0.145850E+02  0.122769E+02  0.369400E+02
  0.987730E+02 -0.384404E+01  0.206410E-03  0.131364E+02  0.111783E+02  0.138891E+02  0.119765E+02  0.375262E+02
  0.987730E+02 -0.384404E+01  0.125091E-03  0.141558E+02  0.126427E+02  0.120005E+02  0.135692E+02  0.362666E+02
  0.987730E+02 -0.356529E+01  0.125091E-03  0.141558E+02  0.130820E+02  0.111815E+02  0.146679E+02  0.357815E+02
  0.987730E+02 -0.347058E+01  0.125091E-03  0.132623E+02  0.118900E+02  0.121653E+02  0.148863E+02  0.374561E+02
