               a0_min         a1_min         a2_min         a3_min         Y1_intercept   Y2_intercept   Y3_intercept   Y4_intercept   Y5_intercept   
N                 0.500000E+03   0.500000E+03   0.500000E+03   0.500000E+03   0.500000E+03   0.500000E+03   0.500000E+03   0.500000E+03   0.500000E+03
Minimum           0.954895E+02  -0.862951E+01  -0.187107E+02  -0.306209E+02   0.308652E-03   0.561671E+01   0.593408E+01   0.865518E+01   0.770826E+01
Maximum           0.102618E+03   0.186019E+02   0.244526E+02   0.392605E+02   0.120553E-02   0.181328E+02   0.177561E+02   0.265488E+02   0.266544E+02
Range             0.712850E+01   0.272314E+02   0.431633E+02   0.698814E+02   0.896878E-03   0.125161E+02   0.118220E+02   0.178936E+02   0.189461E+02
Mean              0.981964E+02   0.183768E+01   0.142603E+01   0.343774E+01   0.680808E-03   0.104199E+02   0.102097E+02   0.151729E+02   0.152452E+02
Median            0.981150E+02   0.165779E+01   0.115559E+01   0.364277E+01   0.668259E-03   0.101817E+02   0.100677E+02   0.149340E+02   0.149703E+02
Q10%              0.969745E+02  -0.222942E+01  -0.674745E+01  -0.979868E+01   0.512147E-03   0.783359E+01   0.778745E+01   0.112583E+02   0.115866E+02
Q25%              0.975309E+02  -0.718352E+00  -0.280543E+01  -0.334697E+01   0.572246E-03   0.890657E+01   0.874175E+01   0.130433E+02   0.129914E+02
Q75%              0.987657E+02   0.390235E+01   0.546526E+01   0.106044E+02   0.768231E-03   0.117051E+02   0.114532E+02   0.169922E+02   0.172436E+02
Q90%              0.993757E+02   0.605171E+01   0.922827E+01   0.166981E+02   0.860610E-03   0.133673E+02   0.129354E+02   0.192366E+02   0.193176E+02
St.Dev.           0.100191E+01   0.343285E+01   0.635314E+01   0.108353E+02   0.144865E-03   0.214694E+01   0.204044E+01   0.306766E+01   0.300352E+01
Variance          0.100381E+01   0.117844E+02   0.403624E+02   0.117405E+03   0.209860E-07   0.460935E+01   0.416339E+01   0.941055E+01   0.902113E+01
CV                0.102031E-01   0.186804E+01   0.445513E+01   0.315188E+01   0.212784E+00   0.206041E+00   0.199852E+00   0.202181E+00   0.197014E+00
Skewness          0.814558E+00   0.448452E+00   0.304826E+00  -0.768473E-01   0.423639E+00   0.529299E+00   0.614260E+00   0.583588E+00   0.408047E+00
Kurtosis          0.202319E+01   0.121948E+01   0.552311E+00   0.381705E+00   0.487825E+00   0.256303E+00   0.354974E+00   0.486966E+00   0.572753E-01
MaxPost           0.978354E+02   0.313732E+01   0.199088E+01   0.977471E+01   0.514378E-03   0.998919E+01   0.973108E+01   0.130696E+02   0.137251E+02
