a0_min        a1_min        a2_min        a3_min        Y1_intercept  Y2_intercept  Y3_intercept  Y4_intercept  Y5_intercept  LogPost       
  0.100000E+03  0.000000E+00  0.000000E+00  0.000000E+00  0.500000E-03  0.100000E+02  0.100000E+02  0.150000E+02  0.150000E+02  0.169585E+03
  0.100000E+03  0.000000E+00  0.000000E+00 -0.536279E+01  0.551768E-03  0.939983E+01  0.891986E+01  0.150824E+02  0.149992E+02  0.170766E+03
  0.100000E+03  0.000000E+00  0.107508E+02 -0.108717E+02  0.551768E-03  0.101368E+02  0.881923E+01  0.162258E+02  0.174708E+02  0.171005E+03
  0.100000E+03 -0.523689E+01  0.108506E+02 -0.108717E+02  0.551768E-03  0.910907E+01  0.912580E+01  0.156934E+02  0.166749E+02  0.171647E+03
  0.100000E+03 -0.523689E+01  0.155790E+02 -0.111358E+02  0.551768E-03  0.935461E+01  0.852192E+01  0.145459E+02  0.164261E+02  0.170701E+03
  0.100000E+03 -0.523689E+01  0.128546E+02 -0.111358E+02  0.551768E-03  0.900180E+01  0.857049E+01  0.145459E+02  0.146036E+02  0.171596E+03
  0.100000E+03 -0.190641E+00  0.134256E+02 -0.355591E+01  0.551768E-03  0.102220E+02  0.841077E+01  0.127754E+02  0.156584E+02  0.171841E+03
  0.100000E+03 -0.190641E+00  0.134256E+02 -0.141523E+01  0.551768E-03  0.105914E+02  0.976827E+01  0.127754E+02  0.170740E+02  0.171877E+03
  0.100000E+03 -0.190641E+00  0.134256E+02  0.123427E+01  0.551768E-03  0.100102E+02  0.841206E+01  0.108588E+02  0.175634E+02  0.170929E+03
  0.100000E+03 -0.190641E+00  0.134256E+02  0.585804E+01  0.551768E-03  0.112594E+02  0.880892E+01  0.108588E+02  0.170485E+02  0.170894E+03
  0.100000E+03 -0.190641E+00  0.134256E+02  0.585804E+01  0.551768E-03  0.112594E+02  0.856123E+01  0.122982E+02  0.183760E+02  0.171124E+03
  0.100000E+03 -0.190641E+00  0.107637E+02  0.767428E+01  0.551768E-03  0.103688E+02  0.814519E+01  0.161184E+02  0.194696E+02  0.171052E+03
  0.100000E+03 -0.190641E+00  0.875338E+01  0.341394E+01  0.551768E-03  0.106226E+02  0.808983E+01  0.164684E+02  0.193455E+02  0.170908E+03
  0.100000E+03 -0.289373E+01  0.875338E+01  0.210145E+01  0.551768E-03  0.106226E+02  0.776109E+01  0.149701E+02  0.174184E+02  0.170714E+03
  0.100000E+03 -0.289373E+01  0.875338E+01  0.210145E+01  0.684495E-03  0.111245E+02  0.739820E+01  0.149701E+02  0.173137E+02  0.171182E+03
  0.100000E+03 -0.289373E+01  0.104492E+02  0.517130E+01  0.684495E-03  0.111245E+02  0.739820E+01  0.124105E+02  0.179733E+02  0.170478E+03
  0.100000E+03  0.109444E+01  0.104492E+02  0.517130E+01  0.684495E-03  0.103030E+02  0.815794E+01  0.124105E+02  0.179733E+02  0.172381E+03
  0.100000E+03  0.109444E+01  0.152355E+02  0.517130E+01  0.684495E-03  0.112020E+02  0.912116E+01  0.107173E+02  0.179733E+02  0.171206E+03
  0.100000E+03  0.109444E+01  0.152355E+02 -0.489526E+01  0.973140E-03  0.108631E+02  0.914530E+01  0.118524E+02  0.180559E+02  0.169670E+03
  0.100000E+03 -0.854952E+01  0.122846E+02 -0.116687E+02  0.973140E-03  0.101387E+02  0.934944E+01  0.118524E+02  0.176578E+02  0.169133E+03
  0.100000E+03 -0.339266E+01  0.126763E+02 -0.181780E+02  0.973140E-03  0.895580E+01  0.957944E+01  0.131274E+02  0.156684E+02  0.170609E+03
  0.100000E+03 -0.339266E+01  0.121698E+02 -0.111276E+02  0.973140E-03  0.862443E+01  0.101881E+02  0.123887E+02  0.156684E+02  0.170794E+03
  0.100000E+03  0.653286E+00  0.152933E+02 -0.448066E+00  0.973140E-03  0.823690E+01  0.112780E+02  0.149404E+02  0.171680E+02  0.170311E+03
  0.100000E+03  0.653286E+00  0.152933E+02 -0.448066E+00  0.973140E-03  0.851175E+01  0.125641E+02  0.148920E+02  0.175356E+02  0.169749E+03
  0.100000E+03  0.653286E+00  0.124194E+02  0.861776E+01  0.973140E-03  0.833085E+01  0.120321E+02  0.144912E+02  0.182589E+02  0.170117E+03
  0.100000E+03 -0.862281E-01  0.141957E+02 -0.638524E+01  0.973140E-03  0.874680E+01  0.120420E+02  0.174827E+02  0.185254E+02  0.169192E+03
  0.100000E+03 -0.862281E-01  0.141957E+02 -0.638524E+01  0.973140E-03  0.987558E+01  0.120565E+02  0.178954E+02  0.188224E+02  0.169063E+03
  0.991562E+02 -0.862281E-01  0.325725E+01  0.286081E+01  0.973140E-03  0.101783E+02  0.112662E+02  0.178954E+02  0.193152E+02  0.170627E+03
  0.991562E+02 -0.386610E+01  0.711161E+01 -0.123921E+02  0.857073E-03  0.871595E+01  0.105589E+02  0.166419E+02  0.193932E+02  0.171727E+03
  0.991562E+02 -0.386610E+01  0.116501E+02 -0.112231E+02  0.857073E-03  0.863441E+01  0.105825E+02  0.176531E+02  0.195530E+02  0.170642E+03
  0.991562E+02 -0.386610E+01  0.108260E+02 -0.833792E+01  0.857073E-03  0.111286E+02  0.795524E+01  0.162805E+02  0.188914E+02  0.171038E+03
  0.991562E+02 -0.386610E+01  0.111271E+02 -0.770356E+01  0.857073E-03  0.111286E+02  0.756659E+01  0.167288E+02  0.191176E+02  0.170542E+03
  0.991562E+02 -0.386610E+01  0.443348E+01 -0.920857E+01  0.857073E-03  0.122530E+02  0.840315E+01  0.180611E+02  0.190613E+02  0.170922E+03
  0.991562E+02 -0.386610E+01  0.237959E+01 -0.920857E+01  0.857073E-03  0.130005E+02  0.854767E+01  0.196690E+02  0.193607E+02  0.169878E+03
  0.991562E+02 -0.386610E+01  0.847895E+01 -0.297638E+01  0.857073E-03  0.152134E+02  0.770029E+01  0.177356E+02  0.193607E+02  0.168182E+03
  0.991562E+02  0.362459E+01  0.143691E+00 -0.300739E+01  0.857073E-03  0.149566E+02  0.760390E+01  0.175955E+02  0.182426E+02  0.168644E+03
  0.980730E+02  0.362459E+01  0.143691E+00  0.101086E+02  0.857073E-03  0.144099E+02  0.760390E+01  0.180323E+02  0.197912E+02  0.169958E+03
  0.980730E+02  0.362459E+01  0.742920E+01 -0.149865E+00  0.857073E-03  0.153184E+02  0.878563E+01  0.180908E+02  0.197912E+02  0.168996E+03
  0.980730E+02  0.362459E+01  0.749936E+01 -0.149865E+00  0.857073E-03  0.155663E+02  0.919786E+01  0.179490E+02  0.210535E+02  0.168371E+03
  0.980730E+02  0.362459E+01  0.747301E+01  0.317282E+01  0.857073E-03  0.164265E+02  0.102660E+02  0.175627E+02  0.224825E+02  0.167411E+03
  0.980730E+02  0.362459E+01  0.458835E+01 -0.244331E+01  0.857073E-03  0.179423E+02  0.875542E+01  0.185753E+02  0.202679E+02  0.166645E+03
  0.980730E+02  0.362459E+01 -0.110600E+00  0.251619E+01  0.857073E-03  0.160636E+02  0.917816E+01  0.185753E+02  0.233630E+02  0.167430E+03
  0.980730E+02  0.362459E+01  0.108114E+02  0.751691E+01  0.857073E-03  0.160636E+02  0.713375E+01  0.178769E+02  0.229690E+02  0.165628E+03
  0.980730E+02  0.362459E+01  0.400449E+00  0.136024E+02  0.857073E-03  0.153830E+02  0.744338E+01  0.174485E+02  0.232294E+02  0.167522E+03
  0.980730E+02  0.355132E+01  0.400449E+00  0.200429E+02  0.456815E-03  0.153830E+02  0.778338E+01  0.174485E+02  0.238120E+02  0.166704E+03
  0.980730E+02  0.355132E+01  0.230982E+01  0.200429E+02  0.528368E-03  0.145233E+02  0.744942E+01  0.180848E+02  0.230361E+02  0.168221E+03
  0.980730E+02  0.355132E+01  0.230982E+01  0.102908E+02  0.528368E-03  0.155941E+02  0.744942E+01  0.190334E+02  0.226991E+02  0.168867E+03
  0.980730E+02  0.688980E+01  0.230982E+01  0.140860E+02  0.528368E-03  0.153245E+02  0.742741E+01  0.182957E+02  0.207181E+02  0.168849E+03
  0.980730E+02  0.688980E+01  0.230982E+01  0.143682E+02  0.757247E-03  0.151982E+02  0.701390E+01  0.180971E+02  0.230130E+02  0.167444E+03
  0.980730E+02  0.688980E+01  0.624411E+01  0.222069E+02  0.757247E-03  0.162629E+02  0.665414E+01  0.179769E+02  0.234247E+02  0.165013E+03
  0.980730E+02  0.688980E+01  0.529973E+01  0.131392E+02  0.757247E-03  0.158972E+02  0.757915E+01  0.179769E+02  0.240836E+02  0.166995E+03
  0.980730E+02  0.688980E+01  0.137407E+02  0.132339E+02  0.453887E-03  0.148989E+02  0.789929E+01  0.176222E+02  0.235381E+02  0.164661E+03
  0.980730E+02  0.688980E+01  0.137407E+02  0.664803E+01  0.453887E-03  0.153426E+02  0.763698E+01  0.167586E+02  0.227007E+02  0.163900E+03
  0.992190E+02  0.688980E+01  0.456380E+01  0.664803E+01  0.453887E-03  0.145677E+02  0.763698E+01  0.172387E+02  0.213211E+02  0.166131E+03
  0.992190E+02  0.688980E+01  0.986711E+01  0.664803E+01  0.917779E-03  0.135747E+02  0.771514E+01  0.143333E+02  0.207240E+02  0.168780E+03
  0.992190E+02  0.688980E+01  0.935742E+00  0.664803E+01  0.917779E-03  0.121956E+02  0.794657E+01  0.151764E+02  0.203235E+02  0.169261E+03
  0.992190E+02  0.316020E+01  0.955685E-01  0.747573E+01  0.917779E-03  0.126718E+02  0.794657E+01  0.145854E+02  0.197720E+02  0.170244E+03
  0.992190E+02  0.316020E+01  0.955685E-01  0.747573E+01  0.917779E-03  0.132405E+02  0.915500E+01  0.158632E+02  0.197720E+02  0.170224E+03
  0.988449E+02  0.316020E+01  0.536259E+01  0.634278E+01  0.917779E-03  0.134443E+02  0.803612E+01  0.163043E+02  0.202651E+02  0.170228E+03
  0.988449E+02  0.316020E+01  0.130979E+02 -0.149752E+01  0.846835E-03  0.137229E+02  0.930481E+01  0.182369E+02  0.183909E+02  0.169613E+03
  0.988449E+02  0.316020E+01  0.203292E+01 -0.149752E+01  0.846835E-03  0.126269E+02  0.101607E+02  0.178793E+02  0.192981E+02  0.171293E+03
  0.988449E+02  0.316020E+01 -0.271357E+01 -0.149752E+01  0.846835E-03  0.131126E+02  0.113308E+02  0.177002E+02  0.192981E+02  0.170329E+03
  0.988449E+02 -0.652295E+01 -0.801607E+00 -0.149752E+01  0.846835E-03  0.131126E+02  0.100680E+02  0.196764E+02  0.177484E+02  0.168670E+03
  0.988449E+02 -0.652295E+01  0.782235E+00 -0.113760E+02  0.846835E-03  0.129211E+02  0.958393E+01  0.203359E+02  0.167009E+02  0.169769E+03
  0.988449E+02 -0.379005E+01  0.782235E+00 -0.649139E+01  0.846835E-03  0.129211E+02  0.759173E+01  0.164911E+02  0.173962E+02  0.171239E+03
