a0_min        a1_min        a2_min        Y1_intercept  Y2_intercept  Y3_intercept  Y4_intercept  Y5_intercept  Y6_intercept  Y7_intercept  Y8_intercept  LogPost       
  0.100971E+03  0.981619E-01  0.702913E+01  0.585912E-03  0.222772E-02  0.228979E-03  0.100000E-02  0.839291E-05  0.602576E-03  0.100000E-02  0.666494E-03  0.181342E+03
  0.100971E+03  0.981619E-01  0.633148E+01  0.585912E-03  0.797661E-03  0.228979E-03  0.100000E-02  0.839291E-05  0.602576E-03  0.100000E-02  0.666494E-03  0.184209E+03
  0.100971E+03  0.981619E-01  0.111879E+01  0.585912E-03  0.797661E-03  0.228979E-03  0.100000E-02  0.839291E-05  0.602576E-03  0.100000E-02  0.666494E-03  0.183780E+03
  0.100971E+03  0.981619E-01  0.111879E+01  0.585912E-03  0.797661E-03  0.228979E-03  0.100000E-02  0.839291E-05  0.602576E-03  0.100000E-02  0.666494E-03  0.183780E+03
  0.100971E+03  0.981619E-01  0.341470E+01  0.585912E-03  0.797661E-03  0.228979E-03  0.100000E-02  0.839291E-05  0.204580E-02  0.100000E-02  0.666494E-03  0.181976E+03
  0.101212E+03  0.766536E+01  0.396530E+01  0.585912E-03  0.797661E-03  0.228979E-03  0.100000E-02  0.397410E-03  0.204580E-02  0.134834E-02  0.539948E-03  0.181952E+03
  0.101212E+03  0.766536E+01  0.624416E+01  0.585912E-03  0.797661E-03  0.473767E-03  0.100000E-02  0.397410E-03  0.204580E-02  0.134834E-02  0.539948E-03  0.181917E+03
  0.101212E+03  0.766536E+01  0.624416E+01  0.585912E-03  0.797661E-03  0.473767E-03  0.100000E-02  0.397410E-03  0.204580E-02  0.134834E-02  0.539948E-03  0.181917E+03
  0.101212E+03  0.766536E+01  0.262999E+01  0.585912E-03  0.797661E-03  0.473767E-03  0.100000E-02  0.397410E-03  0.904311E-03  0.125949E-02  0.539948E-03  0.183418E+03
  0.101212E+03  0.107484E+01  0.262999E+01  0.585912E-03  0.797661E-03  0.473767E-03  0.100000E-02  0.397410E-03  0.742845E-03  0.125949E-02  0.539948E-03  0.184693E+03
  0.101212E+03  0.107484E+01  0.262999E+01  0.585912E-03  0.797661E-03  0.473767E-03  0.100000E-02  0.397410E-03  0.742845E-03  0.125949E-02  0.539948E-03  0.184693E+03
