"P0" "P1" "P2"
1 -1 1
1 -0.992729035385361 0.978266406545724
1 -0.982515061283845 0.948003768474395
1 -0.972301087182328 0.918054106203906
1 -0.962087113080812 0.888417419734256
1 -0.951873138979295 0.859093709065444
1 -0.941659164877779 0.830082974197473
1 -0.931445190776262 0.801385215130341
1 -0.921231216674746 0.773000431864048
1 -0.911132654709969 0.745244071718254
1 -0.901034092745193 0.71779365443373
1 -0.890935530780417 0.690649180010475
1 -0.880836968815641 0.663810648448489
1 -0.870738406850864 0.637278059747772
1 -0.860639844886088 0.611051413908325
1 -0.850541282921312 0.585130710930147
1 -0.840442720956536 0.559515950813238
1 -0.83034415899176 0.534207133557599
1 -0.820245597026983 0.509204259163228
1 -0.810147035062207 0.484507327630128
1 -0.800048473097431 0.460116338958296
1 -0.789949911132655 0.436031293147734
1 -0.779851349167878 0.41225219019844
1 -0.769752787203102 0.388779030110417
1 -0.759654225238326 0.365611812883662
1 -0.74955566327355 0.342750538518177
1 -0.739457101308774 0.320195207013961
1 -0.729358539343997 0.297945818371014
1 -0.719259977379221 0.276002372589337
1 -0.709161415414445 0.254364869668929
1 -0.699062853449669 0.23303330960979
1 -0.688964291484893 0.21200769241192
1 -0.678865729520116 0.19128801807532
1 -0.66876716755534 0.170874286599989
1 -0.658668605590564 0.150766497985927
1 -0.648570043625788 0.130964652233134
1 -0.638471481661012 0.111468749341611
1 -0.628372919696235 0.0922787893113571
1 -0.618274357731459 0.0733947721423724
1 -0.608175795766683 0.054816697834657
1 -0.598077233801907 0.0365445663882108
1 -0.58797867183713 0.018578377803034
1 -0.577880109872354 0.000918132079126388
1 -0.567781547907578 -0.0164361707835119
1 -0.557682985942802 -0.033484530784881
1 -0.547584423978026 -0.050226947924981
1 -0.537485862013249 -0.0666634222038113
1 -0.527387300048473 -0.0827939536213725
1 -0.517288738083697 -0.0986185421776646
1 -0.507190176118921 -0.114137187872687
1 -0.497091614154144 -0.129349890706441
1 -0.486993052189368 -0.144256650678925
1 -0.476894490224592 -0.15885746779014
1 -0.466795928259816 -0.173152342040085
1 -0.45669736629504 -0.187141273428762
1 -0.446598804330263 -0.200824261956169
1 -0.436500242365487 -0.214201307622306
1 -0.426401680400711 -0.227272410427175
1 -0.416303118435935 -0.240037570370774
1 -0.406204556471158 -0.252496787453104
1 -0.396105994506382 -0.264650061674165
1 -0.386007432541606 -0.276497393033956
1 -0.37590887057683 -0.288038781532478
1 -0.365810308612054 -0.299274227169731
1 -0.355711746647277 -0.310203729945715
1 -0.345613184682501 -0.320827289860429
1 -0.335514622717725 -0.331144906913874
1 -0.325416060752949 -0.34115658110605
1 -0.315317498788173 -0.350862312436956
1 -0.305218936823396 -0.360262100906593
1 -0.29512037485862 -0.369355946514961
1 -0.285021812893844 -0.37814384926206
1 -0.274923250929068 -0.386625809147889
1 -0.264824688964291 -0.394801826172449
1 -0.254726126999515 -0.40267190033574
1 -0.244627565034739 -0.410236031637762
1 -0.234529003069963 -0.417494220078514
1 -0.224430441105187 -0.424446465657997
1 -0.21433187914041 -0.431092768376211
1 -0.204233317175634 -0.437433128233155
1 -0.194134755210858 -0.44346754522883
1 -0.184036193246082 -0.449196019363236
1 -0.173937631281306 -0.454618550636373
1 -0.163839069316529 -0.45973513904824
1 -0.153740507351753 -0.464545784598838
1 -0.143641945386977 -0.469050487288167
1 -0.133543383422201 -0.473249247116227
1 -0.123444821457425 -0.477142064083017
1 -0.113346259492648 -0.480728938188538
1 -0.103247697527872 -0.48400986943279
1 -0.0931491355630959 -0.486984857815772
1 -0.0830505735983197 -0.489653903337485
1 -0.0729520116335434 -0.492017005997929
1 -0.0628534496687673 -0.494074165797104
1 -0.0527548877039909 -0.495825382735009
1 -0.0426563257392147 -0.497270656811645
1 -0.0325577637744386 -0.498409988027012
1 -0.0224592018096624 -0.499243376381109
1 -0.0123606398448861 -0.499770821873938
1 -0.00226207788010979 -0.499992324505496
1 0.00783648408466631 -0.499907884275786
1 0.0179350460494425 -0.499517501184807
1 0.0280336080142187 -0.498821175232558
1 0.0381321699789949 -0.49781890641904
1 0.0482307319437711 -0.496510694744252
1 0.0583292939085474 -0.494896540208195
1 0.0684278558733236 -0.492976442810869
1 0.0785264178380998 -0.490750402552274
1 0.0886249798028762 -0.48821841943241
1 0.0987235417676522 -0.485380493451276
1 0.108822103732428 -0.482236624608873
1 0.118920665697205 -0.4787868129052
1 0.129019227661981 -0.475031058340259
1 0.139117789626757 -0.470969360914048
1 0.149216351591533 -0.466601720626568
1 0.159314913556309 -0.461928137477818
1 0.169413475521086 -0.4569486114678
1 0.179512037485862 -0.451663142596512
1 0.189610599450638 -0.446071730863955
1 0.199709161415414 -0.440174376270128
1 0.209807723380191 -0.433971078815032
1 0.219906285344967 -0.427461838498667
1 0.230004847309743 -0.420646655321033
1 0.240103409274519 -0.413525529282129
1 0.250201971239295 -0.406098460381956
1 0.260300533204072 -0.398365448620514
1 0.270399095168848 -0.390326493997802
1 0.280497657133624 -0.381981596513822
1 0.2905962190984 -0.373330756168572
1 0.300694781063177 -0.364373972962052
1 0.310793343027953 -0.355111246894264
1 0.320891904992729 -0.345542577965206
1 0.330990466957505 -0.335667966174879
1 0.341089028922281 -0.325487411523283
1 0.351187590887058 -0.315000914010417
1 0.361286152851834 -0.304208473636282
1 0.37138471481661 -0.293110090400878
1 0.381483276781386 -0.281705764304204
1 0.391581838746162 -0.269995495346262
1 0.401680400710939 -0.25797928352705
1 0.411778962675715 -0.245657128846568
1 0.421748810765957 -0.233191910926251
1 0.431718658856199 -0.220428499393107
1 0.441688506946441 -0.207366894247135
1 0.451658355036684 -0.194007095488336
1 0.461628203126926 -0.180349103116709
1 0.471598051217168 -0.166392917132255
1 0.48156789930741 -0.152138537534973
1 0.491537747397652 -0.137585964324863
1 0.501507595487894 -0.122735197501926
1 0.511477443578136 -0.107586237066162
1 0.521447291668378 -0.0921390830175701
1 0.53141713975862 -0.0763937353561506
1 0.541386987848863 -0.0603501940819032
1 0.551356835939105 -0.044008459194829
1 0.561326684029347 -0.027368530694927
1 0.571296532119589 -0.0104304085821973
1 0.581266380209831 0.00680590714335971
1 0.591236228300073 0.024340416481744
1 0.601206076390315 0.0421731194329561
1 0.611175924480557 0.0603040159969958
1 0.6211457725708 0.0787331061738633
1 0.631115620661042 0.0974603899635575
1 0.641085468751284 0.11648586736608
1 0.651055316841526 0.135809538381429
1 0.661025164931768 0.155431403009606
1 0.67099501302201 0.175351461250611
1 0.680964861112252 0.195569713104443
1 0.690934709202494 0.216086158571103
1 0.700904557292736 0.23690079765059
1 0.710874405382979 0.258013630342905
