               Km_SU1_Rh_a0   Km_SU1_Rh_a1   Km_SU1_Rh_a2   Km_SU1_Rh_a3   Km_SU1_Rh_a4   Km_SU2_Rh_a0   Km_SU2_Rh_a1   Km_SU1_Ai_a0   Km_SU1_Ai_a1   Km_SU1_Ai_a2   Km_SU1_Ai_a3   Km_SU1_Ai_a4   Km_SU2_Ai_a0   Km_SU2_Ai_a1   Y1_intercept   Y2_intercept   Y3_intercept   Y4_intercept   Y5_intercept   
N                 0.100010E+05   0.100010E+05   0.100010E+05   0.100010E+05   0.100010E+05   0.100010E+05   0.100010E+05   0.100010E+05   0.100010E+05   0.100010E+05   0.100010E+05   0.100010E+05   0.100010E+05   0.100010E+05   0.100010E+05   0.100010E+05   0.100010E+05   0.100010E+05   0.100010E+05
Minimum           0.300000E+02  -0.302929E+01  -0.239039E+01  -0.159239E+00  -0.363595E+01   0.300000E+02   0.000000E+00   0.190000E+02  -0.103636E+02  -0.158816E+02  -0.585587E+01   0.000000E+00   0.850233E+01  -0.621887E+01   0.100000E+00   0.330337E-05   0.296839E-05   0.483323E-06   0.187057E-05
Maximum           0.403363E+02   0.106525E+01   0.301109E+01   0.733858E+01   0.473560E+01   0.393922E+02   0.119449E+02   0.248601E+02   0.000000E+00   0.000000E+00   0.432186E+01   0.122273E+02   0.215495E+02   0.119757E+02   0.208887E+00   0.751773E-01   0.839995E-01   0.723441E-01   0.909908E-01
Range             0.103363E+02   0.409454E+01   0.540148E+01   0.749782E+01   0.837155E+01   0.939220E+01   0.119449E+02   0.586010E+01   0.103636E+02   0.158816E+02   0.101777E+02   0.122273E+02   0.130472E+02   0.181946E+02   0.108887E+00   0.751740E-01   0.839965E-01   0.723436E-01   0.909889E-01
Mean              0.393904E+02  -0.959556E+00   0.285712E+00   0.378380E+01   0.844184E+00   0.366659E+02   0.757849E+01   0.229084E+02  -0.669908E+01  -0.109451E+02  -0.812469E+00   0.647545E+01   0.130527E+02   0.760546E+01   0.167501E+00   0.102971E-01   0.108012E-01   0.102295E-01   0.916542E-02
Median            0.393949E+02  -0.959038E+00   0.294394E+00   0.377505E+01   0.848922E+00   0.366892E+02   0.761554E+01   0.228980E+02  -0.673740E+01  -0.109891E+02  -0.767828E+00   0.593245E+01   0.120254E+02   0.118887E+02   0.163223E+00   0.743378E-02   0.751449E-02   0.726199E-02   0.636972E-02
Q10%              0.389850E+02  -0.168780E+01  -0.656237E+00   0.244493E+01  -0.622167E+00   0.356771E+02   0.576529E+01   0.221455E+02  -0.854527E+01  -0.132217E+02  -0.253263E+01   0.387402E+01   0.119894E+02  -0.118651E+01   0.152190E+00   0.108251E-02   0.115530E-02   0.964352E-03   0.107493E-02
Q25%              0.391889E+02  -0.134986E+01  -0.210421E+00   0.311989E+01   0.849502E-01   0.361762E+02   0.668796E+01   0.224606E+02  -0.804225E+01  -0.124580E+02  -0.172032E+01   0.475422E+01   0.119964E+02   0.100154E+01   0.156721E+00   0.300602E-02   0.300285E-02   0.294888E-02   0.282945E-02
Q75%              0.396061E+02  -0.553269E+00   0.783204E+00   0.449304E+01   0.160032E+01   0.371774E+02   0.853718E+01   0.233539E+02  -0.547804E+01  -0.955647E+01   0.136813E+00   0.836305E+01   0.140838E+02   0.118963E+02   0.180446E+00   0.139256E-01   0.150662E-01   0.143883E-01   0.123661E-01
Q90%              0.397912E+02  -0.212548E+00   0.123437E+01   0.510465E+01   0.228830E+01   0.376232E+02   0.928637E+01   0.237141E+02  -0.472775E+01  -0.859830E+01   0.856047E+00   0.955201E+01   0.159098E+02   0.119508E+02   0.188505E+00   0.235805E-01   0.254064E-01   0.232349E-01   0.209518E-01
St.Dev.           0.334357E+00   0.587181E+00   0.742493E+00   0.104002E+01   0.115784E+01   0.774186E+00   0.136906E+01   0.612283E+00   0.149069E+01   0.180181E+01   0.133165E+01   0.218658E+01   0.179455E+01   0.582651E+01   0.145637E-01   0.100188E-01   0.107385E-01   0.100214E-01   0.911039E-02
Variance          0.111795E+00   0.344781E+00   0.551296E+00   0.108165E+01   0.134059E+01   0.599364E+00   0.187433E+01   0.374890E+00   0.222215E+01   0.324651E+01   0.177330E+01   0.478113E+01   0.322041E+01   0.339483E+02   0.212103E-03   0.100377E-03   0.115315E-03   0.100429E-03   0.829993E-04
CV                0.848828E-02   0.611930E+00   0.259874E+01   0.274862E+00   0.137155E+01   0.211146E-01   0.180651E+00   0.267275E-01   0.222522E+00   0.164622E+00   0.163902E+01   0.337672E+00   0.137485E+00   0.766096E+00   0.869472E-01   0.972977E+00   0.994197E+00   0.979662E+00   0.993997E+00
Skewness         -0.417017E+01  -0.697208E-02  -0.413740E-01  -0.423829E-01  -0.110648E+00  -0.441575E+00  -0.236764E+00   0.271834E-01   0.215539E+00   0.229320E+00  -0.150450E+00   0.335554E+00   0.149316E+01  -0.692160E+00   0.161238E+00   0.176944E+01   0.186027E+01   0.181077E+01   0.203797E+01
Kurtosis          0.100306E+03   0.148036E+00   0.657445E-01   0.720442E-01   0.212540E+00   0.273232E+01   0.203844E+00  -0.947300E-02  -0.740219E+00  -0.711676E-01  -0.446102E-01  -0.921119E+00   0.141327E+01  -0.136752E+01   0.154610E+00   0.387174E+01   0.454710E+01   0.438119E+01   0.602576E+01
MaxPost           0.395297E+02  -0.333758E+00   0.280061E+00   0.397418E+01   0.379825E+00   0.372605E+02   0.667112E+01   0.231845E+02  -0.575645E+01  -0.979438E+01  -0.118851E+01   0.466839E+01   0.119791E+02   0.118831E+02   0.157432E+00   0.203991E-02   0.229211E-02   0.994140E-03   0.650109E-02
