KP,Cote,ID_Cal,Date
61030,193.0582,158,13/02/11
61025,193.0686,158,13/02/11
61020,193.0665,158,13/02/11
61015,193.0711,158,13/02/11
61010,193.076,158,13/02/11
61005,193.0834,158,13/02/11
61000,193.0785,158,13/02/11
60995,193.064,158,13/02/11
60990,193.0371,158,13/02/11
60985,193.0507,158,13/02/11
60980,193.0372,158,13/02/11
60975,193.0361,158,13/02/11
60970,193.0668,158,13/02/11
60965,193.0736,158,13/02/11
60960,193.0626,158,13/02/11
60955,193.0681,158,13/02/11
60950,193.0558,158,13/02/11
60945,193.068,158,13/02/11
60940,193.0719,158,13/02/11
60935,193.0634,158,13/02/11
60930,193.0614,158,13/02/11
60925,193.069,158,13/02/11
60920,193.061,158,13/02/11
60915,193.0679,158,13/02/11
60910,193.0273,158,13/02/11
60905,193.0294,158,13/02/11
60900,193.0303,158,13/02/11
60895,193.0326,158,13/02/11
60890,193.0665,158,13/02/11
60885,193.069,158,13/02/11
60880,193.0657,158,13/02/11
60875,193.0729,158,13/02/11
60870,193.0324,158,13/02/11
60865,193.032,158,13/02/11
60860,193.0317,158,13/02/11
60855,193.0295,158,13/02/11
60850,193.0572,158,13/02/11
60845,193.068,158,13/02/11
60840,193.0638,158,13/02/11
60835,193.0733,158,13/02/11
60830,193.0714,158,13/02/11
60825,193.0573,158,13/02/11
60820,193.0346,158,13/02/11
60815,193.0323,158,13/02/11
60810,193.0186,158,13/02/11
60805,193.0218,158,13/02/11
60800,193.0301,158,13/02/11
60795,193.0283,158,13/02/11
60790,193.0261,158,13/02/11
60785,193.0228,158,13/02/11
60780,193.0256,158,13/02/11
60775,193.0238,158,13/02/11
60770,193.0254,158,13/02/11
60765,193.0344,158,13/02/11
60760,193.0221,158,13/02/11
60755,193.0283,158,13/02/11
60750,193.0396,158,13/02/11
60745,193.0626,158,13/02/11
60740,193.0562,158,13/02/11
60735,193.0575,158,13/02/11
60730,193.0564,158,13/02/11
60725,193.0652,158,13/02/11
60720,193.0552,158,13/02/11
60715,193.0489,158,13/02/11
60710,193.0538,158,13/02/11
60705,193.0491,158,13/02/11
60700,193.0467,158,13/02/11
60695,193.0475,158,13/02/11
60690,193.0494,158,13/02/11
60685,193.0489,158,13/02/11
60680,193.0527,158,13/02/11
60675,193.0416,158,13/02/11
60670,193.0496,158,13/02/11
60665,193.0517,158,13/02/11
60660,193.0513,158,13/02/11
60655,193.0391,158,13/02/11
60650,193.0488,158,13/02/11
60645,193.0439,158,13/02/11
60640,193.0474,158,13/02/11
60635,193.0435,158,13/02/11
60630,193.0464,158,13/02/11
60625,193.0428,158,13/02/11
60620,193.0455,158,13/02/11
60615,193.0466,158,13/02/11
60610,193.0464,158,13/02/11
60605,193.0417,158,13/02/11
60600,193.0423,158,13/02/11
60595,193.0441,158,13/02/11
60590,193.041,158,13/02/11
60585,193.0409,158,13/02/11
60580,193.0493,158,13/02/11
60575,193.0441,158,13/02/11
60570,193.0486,158,13/02/11
60565,193.0556,158,13/02/11
60560,193.0402,158,13/02/11
60555,193.0405,158,13/02/11
60550,193.0409,158,13/02/11
60545,193.05,158,13/02/11
60540,193.0435,158,13/02/11
60535,193.0485,158,13/02/11
60530,193.0477,158,13/02/11
60525,193.0368,158,13/02/11
60520,193.0467,158,13/02/11
60515,193.0439,158,13/02/11
60510,193.0398,158,13/02/11
60505,193.043,158,13/02/11
60500,193.0444,158,13/02/11
60495,193.0502,158,13/02/11
60490,193.0563,158,13/02/11
60485,193.0448,158,13/02/11
60480,193.0422,158,13/02/11
60475,193.0464,158,13/02/11
60470,193.0408,158,13/02/11
60465,193.0359,158,13/02/11
60460,193.0493,158,13/02/11
60455,193.0376,158,13/02/11
60450,193.0526,158,13/02/11
60445,193.0503,158,13/02/11
60440,193.0406,158,13/02/11
60435,193.0365,158,13/02/11
60430,193.0227,158,13/02/11
60425,193.0158,158,13/02/11
60410,192.9531,158,13/02/11
60405,193.0271,158,13/02/11
60400,193.0378,158,13/02/11
60395,193.0391,158,13/02/11
60390,193.0154,158,13/02/11
60385,192.988,158,13/02/11
60380,193.0464,158,13/02/11
60375,193.0444,158,13/02/11
60370,193.0452,158,13/02/11
60365,193.0496,158,13/02/11
60360,193.0599,158,13/02/11
60355,193.0527,158,13/02/11
60075,193.0324,158,13/02/11
60070,193.0305,158,13/02/11
60065,193.0312,158,13/02/11
60060,193.0304,158,13/02/11
60055,193.0352,158,13/02/11
60050,193.034,158,13/02/11
60045,193.0318,158,13/02/11
60040,193.0399,158,13/02/11
60035,193.0403,158,13/02/11
60030,193.0386,158,13/02/11
60025,193.0348,158,13/02/11
60020,193.0384,158,13/02/11
60015,193.044,158,13/02/11
60010,193.0428,158,13/02/11
60005,193.0476,158,13/02/11
60000,193.0384,158,13/02/11
59995,193.0498,158,13/02/11
59990,193.034,158,13/02/11
59985,193.0414,158,13/02/11
59980,193.0362,158,13/02/11
59975,193.0374,158,13/02/11
59970,193.0299,158,13/02/11
59965,193.0365,158,13/02/11
59960,193.0417,158,13/02/11
59955,193.0301,158,13/02/11
59950,193.04,158,13/02/11
59945,193.0413,158,13/02/11
59940,193.0375,158,13/02/11
59935,193.0411,158,13/02/11
59930,193.0414,158,13/02/11
59925,193.0354,158,13/02/11
59920,193.0371,158,13/02/11
59915,193.0407,158,13/02/11
59910,193.044,158,13/02/11
59905,193.0357,158,13/02/11
59900,193.0353,158,13/02/11
59895,193.0376,158,13/02/11
59890,193.0394,158,13/02/11
59885,193.0503,158,13/02/11
59880,193.0372,158,13/02/11
