X,Y,Z,label,profile_id,header_val,90_Heures,90_wse,16_wse
873539.6632,6536639.3331,223.925,NA,1,22333,11:57:47,210.545,209.728
873521.7876,6536637.22,223.947,NA,1,22333,11:57:47,210.545,209.728
873518.8084,6536636.8678,221.964,NA,1,22333,11:57:47,210.545,209.728
873515.8291,6536636.5157,218.79,NA,1,22333,11:57:47,210.545,209.728
873512.8499,6536636.1635,217.755,NA,1,22333,11:57:47,210.545,209.728
873505.8983,6536635.3417,217.933,NA,1,22333,11:57:47,210.545,209.728
873501.9259,6536634.8722,217.046,NA,1,22333,11:57:47,210.545,209.728
873481.0711,6536632.4069,217.257,NA,1,22333,11:57:47,210.545,209.728
873473.1264,6536631.4677,217.152,NA,1,22333,11:57:47,210.545,209.728
873459.2232,6536629.8242,217.384,NA,1,22333,11:57:47,210.545,209.728
873449.2924,6536628.6503,217.028,NA,1,22333,11:57:47,210.545,209.728
873436.3823,6536627.1242,216.808,NA,1,22333,11:57:47,210.545,209.728
873428.4376,6536626.185,217.344,NA,1,22333,11:57:47,210.545,209.728
873424.4653,6536625.7155,218.891,NA,1,22333,11:57:47,210.545,209.728
873417.5137,6536624.8937,219.355,NA,1,22333,11:57:47,210.545,209.728
873414.5344,6536624.5415,221.267,NA,1,22333,11:57:47,210.545,209.728
873409.569,6536623.9546,223.108,NA,1,22333,11:57:47,210.545,209.728
873343.0322,6536616.0892,221.381,NA,1,22333,11:57:47,210.545,209.728
873340.053,6536615.737,221.04,NA,1,22333,11:57:47,210.545,209.728
873329.1291,6536614.4457,220.784,NA,1,22333,11:57:47,210.545,209.728
873300.3296,6536611.0413,219.602,NA,1,22333,11:57:47,210.545,209.728
873273.5163,6536607.8717,219.017,NA,1,22333,11:57:47,210.545,209.728
873255.6407,6536605.7586,219.022,rg,1,22333,11:57:47,210.545,209.728
873243.7237,6536604.3498,213.783,NA,1,22333,11:57:47,210.545,209.728
873237.7652,6536603.6455,213.64,NA,1,22333,11:57:47,210.545,209.728
873219.2144,6536601.4526,212.09,NA,1,22333,11:57:47,210.545,209.728
873201.4878,6536599.3571,212.08,NA,1,22333,11:57:47,210.545,209.728
873189.5708,6536597.9484,210.87,NA,1,22333,11:57:47,210.545,209.728
873185.3303,6536597.4471,210.02,NA,1,22333,11:57:47,210.545,209.728
