a0_min        a1_min        a2_min        a3_min        Y1_intercept  Y2_intercept  Y3_intercept  Y4_intercept  Y5_intercept  Y6_intercept  Y7_intercept  Y8_intercept  LogPost       
  0.100000E+03  0.000000E+00  0.000000E+00  0.000000E+00  0.100000E-02  0.100000E-02  0.100000E-02  0.100000E-02  0.100000E-02  0.100000E-02  0.100000E-02  0.100000E-02  0.181725E+03
  0.100000E+03  0.000000E+00  0.000000E+00 -0.670349E+01  0.125884E-02  0.100000E-02  0.176793E-02  0.100000E-02  0.100000E-02  0.100000E-02  0.100000E-02  0.100000E-02  0.179592E+03
  0.100000E+03  0.000000E+00  0.000000E+00 -0.670349E+01  0.125884E-02  0.496885E-03  0.176793E-02  0.100000E-02  0.100000E-02  0.140658E-02  0.100000E-02  0.106237E-02  0.179779E+03
  0.100000E+03  0.000000E+00  0.000000E+00 -0.119830E+02  0.102023E-02  0.496885E-03  0.176793E-02  0.100000E-02  0.100000E-02  0.124155E-02  0.100000E-02  0.229009E-02  0.177790E+03
  0.100000E+03  0.000000E+00 -0.165843E+01 -0.119830E+02  0.102023E-02  0.496885E-03  0.176793E-02  0.886075E-03  0.100000E-02  0.124155E-02  0.282682E-04  0.229009E-02  0.178419E+03
  0.100000E+03 -0.317625E+00  0.582808E+00 -0.119830E+02  0.102023E-02  0.496885E-03  0.176793E-02  0.886075E-03  0.100000E-02  0.124155E-02  0.282682E-04  0.229009E-02  0.178315E+03
  0.100000E+03 -0.317625E+00  0.582808E+00  0.482139E+01  0.102023E-02  0.496885E-03  0.135384E-02  0.886075E-03  0.100000E-02  0.124155E-02  0.282682E-04  0.229009E-02  0.179510E+03
  0.100000E+03 -0.317625E+00  0.582808E+00 -0.170531E+01  0.102023E-02  0.496885E-03  0.135384E-02  0.886075E-03  0.100000E-02  0.124155E-02  0.282682E-04  0.229009E-02  0.180033E+03
  0.100000E+03 -0.317625E+00  0.582808E+00 -0.170531E+01  0.102023E-02  0.496885E-03  0.135384E-02  0.886075E-03  0.100000E-02  0.124155E-02  0.282682E-04  0.236901E-02  0.179911E+03
  0.100000E+03 -0.317625E+00 -0.351216E+01 -0.170531E+01  0.494186E-03  0.496885E-03  0.135384E-02  0.886075E-03  0.100000E-02  0.124155E-02  0.282682E-04  0.236901E-02  0.180946E+03
  0.100000E+03 -0.317625E+00 -0.351216E+01  0.691972E+01  0.837409E-03  0.496885E-03  0.157740E-02  0.886075E-03  0.100000E-02  0.124155E-02  0.282682E-04  0.236901E-02  0.179026E+03
  0.100000E+03 -0.369648E+01 -0.150635E+02  0.527911E+01  0.837409E-03  0.496885E-03  0.157740E-02  0.886075E-03  0.100000E-02  0.124155E-02  0.282682E-04  0.236901E-02  0.174800E+03
  0.100000E+03 -0.369648E+01  0.101958E-01 -0.310192E+01  0.837409E-03  0.496885E-03  0.157740E-02  0.886075E-03  0.100000E-02  0.124155E-02  0.276056E-03  0.938944E-03  0.181101E+03
  0.100000E+03 -0.369648E+01  0.112659E+01 -0.310192E+01  0.837409E-03  0.496885E-03  0.106867E-03  0.886075E-03  0.100000E-02  0.124155E-02  0.276056E-03  0.938944E-03  0.181747E+03
  0.100000E+03 -0.369648E+01  0.112659E+01 -0.310192E+01  0.837409E-03  0.496885E-03  0.106867E-03  0.886075E-03  0.100000E-02  0.124155E-02  0.276056E-03  0.938944E-03  0.181747E+03
  0.100000E+03  0.529308E+01  0.107588E+02 -0.310192E+01  0.837409E-03  0.496885E-03  0.106867E-03  0.886075E-03  0.100000E-02  0.124155E-02  0.276056E-03  0.238217E-02  0.178907E+03
  0.100000E+03  0.553449E+01  0.107588E+02 -0.255132E+01  0.837409E-03  0.496885E-03  0.106867E-03  0.886075E-03  0.138902E-02  0.124155E-02  0.624394E-03  0.225562E-02  0.178508E+03
  0.100000E+03  0.553449E+01  0.107588E+02  0.128040E+02  0.837409E-03  0.741673E-03  0.106867E-03  0.886075E-03  0.138902E-02  0.124155E-02  0.624394E-03  0.225562E-02  0.179037E+03
  0.100000E+03  0.553449E+01  0.107588E+02  0.442164E+01  0.110983E-02  0.741673E-03  0.106867E-03  0.886075E-03  0.138902E-02  0.124155E-02  0.624394E-03  0.225562E-02  0.178947E+03
  0.100000E+03  0.553449E+01  0.122438E+02  0.546324E+00  0.110983E-02  0.741673E-03  0.106867E-03  0.886075E-03  0.138902E-02  0.124155E-02  0.624394E-03  0.225562E-02  0.177891E+03
  0.100000E+03  0.553449E+01  0.571645E+01  0.136925E+01  0.110983E-02  0.741673E-03  0.106867E-03  0.886075E-03  0.138902E-02  0.124155E-02  0.624394E-03  0.225562E-02  0.179814E+03
  0.100000E+03  0.372545E+01  0.396983E+00 -0.130264E+01  0.110983E-02  0.741673E-03  0.106867E-03  0.886075E-03  0.138902E-02  0.124155E-02  0.624394E-03  0.225562E-02  0.180086E+03
  0.100099E+03  0.372545E+01  0.217393E+01 -0.130264E+01  0.110983E-02  0.741673E-03  0.106867E-03  0.843271E-03  0.138902E-02  0.131433E-02  0.624394E-03  0.324564E-02  0.178695E+03
  0.992547E+02  0.372545E+01  0.217393E+01  0.102549E+02  0.110983E-02  0.204501E-03  0.106867E-03  0.843271E-03  0.138902E-02  0.131433E-02  0.624394E-03  0.324564E-02  0.177625E+03
  0.992547E+02  0.372545E+01  0.217393E+01  0.909427E+01  0.110983E-02  0.204501E-03  0.106867E-03  0.843271E-03  0.164930E-02  0.131433E-02  0.624394E-03  0.324564E-02  0.177370E+03
  0.992547E+02  0.518666E+01  0.217393E+01  0.827890E+01  0.122804E-02  0.204501E-03  0.639547E-03  0.843271E-03  0.147977E-02  0.131433E-02  0.109320E-03  0.324564E-02  0.178366E+03
  0.992547E+02  0.518666E+01  0.217393E+01 -0.871835E+00  0.122804E-02  0.170640E-02  0.639547E-03  0.843271E-03  0.147977E-02  0.131433E-02  0.109320E-03  0.324564E-02  0.175638E+03
  0.992547E+02  0.130016E+01  0.516290E+01  0.636048E+00  0.122804E-02  0.943801E-03  0.639547E-03  0.843271E-03  0.539140E-03  0.131433E-02  0.109320E-03  0.324564E-02  0.177979E+03
  0.992547E+02  0.925367E+00 -0.555576E+01 -0.794893E+01  0.122804E-02  0.943801E-03  0.639547E-03  0.843271E-03  0.539140E-03  0.131433E-02  0.109320E-03  0.424339E-02  0.177873E+03
  0.992547E+02  0.925367E+00 -0.555576E+01 -0.158689E+00  0.122804E-02  0.943801E-03  0.639547E-03  0.843271E-03  0.539140E-03  0.131433E-02  0.109320E-03  0.265845E-02  0.179777E+03
  0.992547E+02  0.925367E+00 -0.559454E+01 -0.103772E+02  0.122804E-02  0.943801E-03  0.172425E-03  0.843271E-03  0.539140E-03  0.131433E-02  0.109320E-03  0.547437E-04  0.183577E+03
  0.992547E+02  0.925367E+00 -0.559454E+01 -0.103772E+02  0.122804E-02  0.943801E-03  0.172425E-03  0.843271E-03  0.539140E-03  0.131433E-02  0.109320E-03  0.547437E-04  0.183577E+03
  0.992547E+02  0.925367E+00 -0.520446E+01 -0.103772E+02  0.122804E-02  0.943801E-03  0.216275E-03  0.843271E-03  0.539140E-03  0.131433E-02  0.109320E-03  0.547437E-04  0.183651E+03
  0.983094E+02  0.925367E+00 -0.701922E+01 -0.103772E+02  0.121157E-02  0.943801E-03  0.216275E-03  0.843271E-03  0.539140E-03  0.131433E-02  0.109320E-03  0.547437E-04  0.181327E+03
  0.101109E+03  0.925367E+00 -0.701922E+01 -0.103772E+02  0.121157E-02  0.943801E-03  0.114443E-03  0.843271E-03  0.539140E-03  0.131433E-02  0.109320E-03  0.547437E-04  0.182228E+03
  0.101109E+03  0.925367E+00 -0.701922E+01 -0.117335E+02  0.121157E-02  0.305751E-02  0.114443E-03  0.843271E-03  0.539140E-03  0.131433E-02  0.109320E-03  0.547437E-04  0.178551E+03
  0.101109E+03  0.925367E+00  0.792504E+01 -0.117335E+02  0.121157E-02  0.305751E-02  0.114443E-03  0.843271E-03  0.162849E-02  0.512256E-03  0.109320E-03  0.547437E-04  0.175875E+03
