a0_min         a1_min         a2_min         a3_min         a4_min         Y1_intercept   Y2_intercept   Y3_intercept   Y4_intercept   LogPost        LogPrior       LogHyper       LogLkh         Deviance       
   0.101572E+03   0.901134E+01   0.357673E+01   0.134273E+02   0.980070E+01   0.109422E-03   0.570938E-03   0.642095E-03   0.132721E-02   0.187831E+03   0.000000E+00   0.000000E+00   0.187831E+03  -0.375662E+03
   0.101572E+03   0.978258E+01   0.851599E+01   0.149466E+02   0.221504E+02   0.109422E-03   0.854870E-04   0.642095E-03   0.132721E-02   0.188128E+03   0.000000E+00   0.000000E+00   0.188128E+03  -0.376256E+03
   0.103372E+03   0.978258E+01   0.132564E+02   0.186693E+02   0.169920E+02   0.109422E-03   0.854870E-04   0.642095E-03   0.132721E-02   0.191161E+03   0.000000E+00   0.000000E+00   0.191161E+03  -0.382322E+03
   0.103372E+03   0.978258E+01   0.132564E+02   0.266474E+02   0.115538E+01   0.109422E-03   0.854870E-04   0.642095E-03   0.132721E-02   0.187594E+03   0.000000E+00   0.000000E+00   0.187594E+03  -0.375188E+03
   0.103372E+03   0.981051E+01   0.132156E+02   0.145015E+02   0.115538E+01   0.109422E-03   0.854870E-04   0.642095E-03   0.132721E-02   0.188000E+03   0.000000E+00   0.000000E+00   0.188000E+03  -0.376000E+03
   0.103372E+03   0.981051E+01   0.132156E+02   0.145015E+02   0.257464E+02   0.109422E-03   0.589439E-04   0.642095E-03   0.135061E-02   0.190693E+03   0.000000E+00   0.000000E+00   0.190693E+03  -0.381386E+03
   0.103372E+03   0.981051E+01   0.132156E+02   0.169246E+02   0.257464E+02   0.109422E-03   0.589439E-04   0.642095E-03   0.154201E-02   0.190528E+03   0.000000E+00   0.000000E+00   0.190528E+03  -0.381056E+03
   0.103372E+03   0.843347E+01   0.168052E+02   0.112745E+02   0.257464E+02   0.109422E-03   0.554967E-04   0.642095E-03   0.154201E-02   0.190320E+03   0.000000E+00   0.000000E+00   0.190320E+03  -0.380640E+03
   0.103372E+03   0.843347E+01   0.899046E+01   0.747282E+01   0.269366E+02   0.109422E-03   0.554967E-04   0.642095E-03   0.114300E-02   0.188658E+03   0.000000E+00   0.000000E+00   0.188658E+03  -0.377316E+03
   0.102532E+03   0.811705E+01   0.136309E+02   0.195620E+02   0.252747E+02   0.109422E-03   0.554967E-04   0.642095E-03   0.114300E-02   0.189225E+03   0.000000E+00   0.000000E+00   0.189225E+03  -0.378450E+03
   0.102532E+03   0.811705E+01   0.136309E+02   0.174866E+02   0.213246E+02   0.109422E-03   0.554967E-04   0.642095E-03   0.114300E-02   0.190647E+03   0.000000E+00   0.000000E+00   0.190647E+03  -0.381294E+03
   0.102532E+03   0.811705E+01   0.130179E+02   0.142346E+02   0.191620E+02   0.109422E-03   0.554967E-04   0.642095E-03   0.976743E-03   0.191414E+03   0.000000E+00   0.000000E+00   0.191414E+03  -0.382828E+03
   0.102906E+03   0.601240E+01   0.896960E+01   0.111123E+02   0.137630E+02   0.109422E-03   0.554967E-04   0.642095E-03   0.976743E-03   0.190800E+03   0.000000E+00   0.000000E+00   0.190800E+03  -0.381600E+03
   0.102906E+03   0.601240E+01   0.796587E+01   0.163392E+01   0.169237E+02   0.109422E-03   0.554967E-04   0.642095E-03   0.976743E-03   0.189183E+03   0.000000E+00   0.000000E+00   0.189183E+03  -0.378366E+03
   0.101774E+03   0.601240E+01   0.825299E+01   0.114473E+02   0.911167E+01   0.109422E-03   0.554967E-04   0.519877E-03   0.976743E-03   0.192210E+03   0.000000E+00   0.000000E+00   0.192210E+03  -0.384420E+03
   0.101774E+03   0.585596E+01   0.836905E+01   0.397817E+01   0.123582E+02   0.109422E-03   0.554967E-04   0.519877E-03   0.976743E-03   0.191622E+03   0.000000E+00   0.000000E+00   0.191622E+03  -0.383244E+03
   0.101911E+03   0.353714E+01   0.836905E+01   0.441239E+01   0.178834E+02   0.109422E-03   0.554967E-04   0.519877E-03   0.976743E-03   0.191977E+03   0.000000E+00   0.000000E+00   0.191977E+03  -0.383954E+03
   0.102037E+03   0.119566E+00   0.836905E+01   0.441239E+01   0.261637E+02   0.109422E-03   0.554967E-04   0.519877E-03   0.976743E-03   0.188672E+03   0.000000E+00   0.000000E+00   0.188672E+03  -0.377344E+03
   0.102037E+03  -0.742645E+00   0.404986E+01   0.270739E+00  -0.769350E-01   0.109422E-03   0.554967E-04   0.519877E-03   0.976743E-03   0.189642E+03   0.000000E+00   0.000000E+00   0.189642E+03  -0.379284E+03
   0.102037E+03  -0.133168E+01   0.404986E+01   0.495256E+01   0.133523E+02   0.109422E-03   0.554967E-04   0.519877E-03   0.156762E-02   0.188624E+03   0.000000E+00   0.000000E+00   0.188624E+03  -0.377248E+03
   0.102037E+03   0.398992E+01   0.404986E+01   0.752615E+01   0.259410E+02   0.109422E-03   0.554967E-04   0.519877E-03   0.107917E-02   0.189891E+03   0.000000E+00   0.000000E+00   0.189891E+03  -0.379782E+03
   0.102037E+03  -0.912026E-01   0.404986E+01   0.752615E+01   0.250660E+02   0.109422E-03   0.554967E-04   0.519877E-03   0.107917E-02   0.187489E+03   0.000000E+00   0.000000E+00   0.187489E+03  -0.374978E+03
   0.102037E+03   0.445548E+01   0.404986E+01   0.812331E+01   0.111273E+02   0.109422E-03   0.554967E-04   0.543067E-04   0.107917E-02   0.193698E+03   0.000000E+00   0.000000E+00   0.193698E+03  -0.387396E+03
   0.102037E+03   0.445548E+01   0.783807E+01   0.206830E+02   0.903981E+01   0.109422E-03   0.554967E-04   0.543067E-04   0.107917E-02   0.191396E+03   0.000000E+00   0.000000E+00   0.191396E+03  -0.382792E+03
   0.102037E+03   0.445548E+01   0.556026E+01   0.979476E+01   0.202603E+02   0.109422E-03   0.554967E-04   0.543067E-04   0.927085E-03   0.193361E+03   0.000000E+00   0.000000E+00   0.193361E+03  -0.386722E+03
   0.102037E+03   0.445548E+01   0.412867E+01   0.116479E+02   0.760675E+01   0.109422E-03   0.714064E-04   0.591794E-04   0.927085E-03   0.193142E+03   0.000000E+00   0.000000E+00   0.193142E+03  -0.386284E+03
   0.102037E+03   0.445548E+01   0.750686E+01   0.116479E+02   0.187704E+02   0.109422E-03   0.714064E-04   0.591794E-04   0.927085E-03   0.193954E+03   0.000000E+00   0.000000E+00   0.193954E+03  -0.387908E+03
   0.101302E+03   0.445548E+01   0.750686E+01   0.116479E+02   0.187704E+02   0.109422E-03   0.163160E-03   0.591794E-04   0.388169E-02   0.185787E+03   0.000000E+00   0.000000E+00   0.185787E+03  -0.371574E+03
   0.101302E+03   0.445548E+01  -0.608637E+00   0.103716E+02   0.187704E+02   0.109422E-03   0.163160E-03   0.591794E-04   0.388169E-02   0.184733E+03   0.000000E+00   0.000000E+00   0.184733E+03  -0.369466E+03
   0.101302E+03   0.413436E+01  -0.240713E+01   0.118257E+02   0.164392E+02   0.109422E-03   0.820407E-04   0.591794E-04   0.388169E-02   0.184484E+03   0.000000E+00   0.000000E+00   0.184484E+03  -0.368968E+03
   0.101302E+03   0.160920E+01   0.823608E+01   0.870810E+01   0.162509E+01   0.109422E-03   0.820407E-04   0.591794E-04   0.962613E-03   0.192159E+03   0.000000E+00   0.000000E+00   0.192159E+03  -0.384318E+03
   0.101302E+03   0.160920E+01   0.207981E+01  -0.739497E+00   0.168678E+02   0.109422E-03   0.820407E-04   0.591794E-04   0.962613E-03   0.192777E+03   0.000000E+00   0.000000E+00   0.192777E+03  -0.385554E+03
   0.101302E+03   0.160920E+01   0.202297E+01  -0.739497E+00   0.394808E+01   0.109422E-03   0.820407E-04   0.153376E-03   0.962613E-03   0.193843E+03   0.000000E+00   0.000000E+00   0.193843E+03  -0.387686E+03
   0.101302E+03  -0.205020E+01   0.270462E+01   0.208310E+01   0.114762E+02   0.143287E-04   0.820407E-04   0.153376E-03   0.962613E-03   0.191447E+03   0.000000E+00   0.000000E+00   0.191447E+03  -0.382894E+03
