               a0_min         a1_min         a2_min         a3_min         a4_min         Y1_intercept   Y2_intercept   Y3_intercept   Y4_intercept   
N                 0.401000E+03   0.401000E+03   0.401000E+03   0.401000E+03   0.401000E+03   0.401000E+03   0.401000E+03   0.401000E+03   0.401000E+03
Minimum           0.994644E+02  -0.902990E+01  -0.160822E+02  -0.272350E+02  -0.266903E+02   0.143287E-04   0.116140E-04   0.511505E-05   0.401760E-03
Maximum           0.104337E+03   0.110582E+02   0.217218E+02   0.273720E+02   0.280466E+02   0.343200E-02   0.168690E-02   0.138157E-02   0.388169E-02
Range             0.487260E+01   0.200881E+02   0.378040E+02   0.546070E+02   0.547369E+02   0.341767E-02   0.167529E-02   0.137645E-02   0.347993E-02
Mean              0.101614E+03   0.320301E+01   0.455075E+01   0.371775E+01   0.711723E+01   0.477034E-03   0.205118E-03   0.320811E-03   0.127821E-02
Median            0.101730E+03   0.354730E+01   0.450546E+01   0.461763E+01   0.744206E+01   0.301162E-03   0.131638E-03   0.270083E-03   0.120154E-02
Q10%              0.100231E+03  -0.205020E+01  -0.418395E+01  -0.118266E+02  -0.724333E+01   0.109422E-03   0.230827E-04   0.124993E-04   0.781138E-03
Q25%              0.100722E+03   0.807501E+00  -0.582544E+00  -0.237174E+01  -0.126373E+00   0.156655E-03   0.554967E-04   0.122691E-03   0.973211E-03
Q75%              0.102291E+03   0.601240E+01   0.899664E+01   0.105658E+02   0.149768E+02   0.654397E-03   0.243418E-03   0.517305E-03   0.146228E-02
Q90%              0.103044E+03   0.838818E+01   0.136383E+02   0.149457E+02   0.202246E+02   0.904476E-03   0.454359E-03   0.642095E-03   0.191681E-02
St.Dev.           0.105188E+01   0.405157E+01   0.722375E+01   0.102671E+02   0.105959E+02   0.485190E-03   0.248645E-03   0.248083E-03   0.492484E-03
Variance          0.110645E+01   0.164153E+02   0.521826E+02   0.105413E+03   0.112272E+03   0.235409E-06   0.618245E-07   0.615454E-07   0.242540E-06
CV                0.103518E-01   0.126493E+01   0.158738E+01   0.276165E+01   0.148876E+01   0.101710E+01   0.121221E+01   0.773302E+00   0.385293E+00
Skewness          0.147044E+00  -0.405828E+00  -0.224063E-01  -0.447665E+00  -0.478935E+00   0.294123E+01   0.362942E+01   0.838313E+00   0.163706E+01
Kurtosis         -0.666553E+00   0.242223E+00  -0.107009E+00   0.502368E-01  -0.208100E-01   0.126008E+02   0.178046E+02   0.804630E+00   0.575518E+01
MaxPost           0.102037E+03   0.445548E+01   0.750686E+01   0.116479E+02   0.187704E+02   0.109422E-03   0.714064E-04   0.591794E-04   0.927085E-03
