x (m);0.06;0.65;1.65;3.65;5.65;7.65;9.65;11.65;15.65
U1 (cm/s);67.2296666666667;68.5978407407408;69.9726333333333;71.0537518518519;69.7550411764706;69.3220470588235;69.4161;70.2183466666667;70.2354966666667
U2 (cm/s);66.5883848484848;68.3531558823529;69.43306;70.1064642857143;71.3966333333333;70.73506;71.4966866666667;69.8902846153846;71.0399307692308
Us (cm/s);-0.641281818181838;-0.244684858387814;-0.539573333333323;-0.947287566137575;1.64159215686273;1.41301294117648;2.08058666666665;-0.32806205128206;0.804434102564102
Uc (cm/s);66.9090257575758;68.4754983115468;69.7028466666667;70.5801080687831;70.575837254902;70.0285535294118;70.4563933333333;70.0543156410257;70.6377137179487
Ui (cm/s);ND;ND;ND;ND;ND;ND;ND;ND;ND
yc (m);ND;ND;ND;ND;ND;ND;ND;ND;ND
yi (m);ND;ND;ND;ND;ND;ND;ND;ND;ND
lambda;-0.00479219216631045;-0.00178665993253935;-0.00387052580444579;-0.00671072623758529;0.0116299871224603;0.0100888342680319;0.0147650665059115;-0.00234148352089488;0.00569408365746483
dU/dy max (s-1);ND;ND;ND;ND;ND;ND;ND;ND;ND
delta_v (m);ND;ND;ND;ND;ND;ND;ND;ND;ND
delta_v/h;ND;ND;ND;ND;ND;ND;ND;ND;ND
h / cf (m);25.6200495634032;25.7326498442094;25.869467605405;25.6476813501582;25.6656314666342;25.7999957637969;25.734691350946;25.9001351437408;26.282094469649
h1 (mm);95.0707760057488;95.0707760057488;94.8443108741386;94.6793154431104;94.6198159568329;95.4101182571942;94.9531843426929;95.5128818676384;96.8724333357227
h2 (mm);95.8179057647218;95.8179057647218;96.3510436817213;94.7510837350278;94.9259354800273;95.2056126784161;95.0745702724992;95.7113810983606;96.4609666487499
h (mm);95.4443408852353;95.4443408852353;95.59767727793;94.7151995890691;94.7728757184301;95.3078654678052;95.013877307596;95.6121314829995;96.6666999922363
cf1;0.00372474139434086;0.00371077281556392;0.00369835521421197;0.00368845760704713;0.00370191975029543;0.00370045861531085;0.00370290475642406;0.00369064193546189;0.00368054622411541
cf2;0.00372601241072377;0.00370737816873614;0.00369241747087848;0.00369741079142196;0.00368327751957393;0.0036877492231992;0.00368120380053389;0.00369249571632026;0.00367554178507037
cf;0.00372537690253231;0.00370907549215003;0.00369538634254523;0.00369293419923454;0.00369259863493468;0.00369410391925502;0.00369205427847897;0.00369156882589107;0.00367804400459289
S;ND;ND;ND;ND;ND;ND;ND;ND;ND
Max V/Uc (%);5.24792921427069;3.65501543320476;2.58247644321199;0.892379974936754;0.55491738176129;0.384613286265056;0.326595243431627;0.743145189503123;0.942921788960057
Froude1;0.696150172160315;0.710317349604974;0.72541757295801;0.737267273781902;0.724019138302322;0.716538710884144;0.719235209116144;0.725412644364412;0.720480199239684
Froude2;0.686816373296068;0.705018851760401;0.714173267994556;0.727162489779348;0.739862110173815;0.731928985902408;0.740319564599529;0.721274392813777;0.730284732001439
Re1 ;63915.7658060782;65216.4995154099;66365.0618854878;67273.2058499797;66002.0915817895;66140.2470771314;65912.7973965081;67067.5665011421;68038.8346864304
Re2;63803.5958443715;65494.5624905663;66899.4779701558;66426.6346790245;67773.9220929116;67343.7472514453;67975.1676074085;66892.9566589596;68525.8039266027
number of measuring points across the channel;61;61;61;61;37;37;37;62;62
