event	reach	x	t	WSE	Q	V	Kmin	Kflood	Yu_WSE	Yu_Q	Yu_V	Yu_Kmin	Yu_Kflood
1	2	41568	112680	-9999	1045.249628	-9999	-9999	-9999	-9999	62.8996578852806	-9999	-9999	-9999
1	2	41568	113040	-9999	1040.478889	-9999	-9999	-9999	-9999	62.7016012246632	-9999	-9999	-9999
1	2	41568	113280	-9999	1077.046452	-9999	-9999	-9999	-9999	64.22672846576	-9999	-9999	-9999
1	2	41568	113340	-9999	1033.510114	-9999	-9999	-9999	-9999	62.412802287277	-9999	-9999	-9999
1	2	41568	113760	-9999	990.6746984	-9999	-9999	-9999	-9999	60.6513882374083	-9999	-9999	-9999
1	2	41568	113820	-9999	1004.853225	-9999	-9999	-9999	-9999	61.2317320470543	-9999	-9999	-9999
1	2	41568	114660	-9999	1013.697656	-9999	-9999	-9999	-9999	61.5951081210979	-9999	-9999	-9999
1	2	41568	114720	-9999	967.2433161	-9999	-9999	-9999	-9999	59.6984009949204	-9999	-9999	-9999
1	2	41568	115080	-9999	1014.096896	-9999	-9999	-9999	-9999	61.6115353338325	-9999	-9999	-9999
1	2	41568	115380	-9999	996.5796078	-9999	-9999	-9999	-9999	60.8927523331554	-9999	-9999	-9999
1	2	41568	115440	-9999	949.8368331	-9999	-9999	-9999	-9999	58.9955508812622	-9999	-9999	-9999
1	2	41568	115860	-9999	943.5844455	-9999	-9999	-9999	-9999	58.7441828139081	-9999	-9999	-9999
1	2	41568	115920	-9999	936.1469075	-9999	-9999	-9999	-9999	58.4459372502019	-9999	-9999	-9999
1	2	41568	116820	-9999	956.1099356	-9999	-9999	-9999	-9999	59.2483377183073	-9999	-9999	-9999
1	2	41568	116880	-9999	922.8577192	-9999	-9999	-9999	-9999	57.9151614408314	-9999	-9999	-9999
1	2	41568	117120	-9999	934.3346212	-9999	-9999	-9999	-9999	58.3733925768613	-9999	-9999	-9999
1	2	41568	117180	-9999	899.1386942	-9999	-9999	-9999	-9999	56.9747837075245	-9999	-9999	-9999
1	2	41568	117420	-9999	926.1893154	-9999	-9999	-9999	-9999	58.0479682667947	-9999	-9999	-9999
