"Typology" "SU" "param_name" "prior.dist" "par_1" "par_2" "covariate" "scaled" "1" "2" "3" "4" "5" "6" "7" "8" "9" "10" "11" "12" "13" "14" "15" "16" "17" "18" "19" "20" "21"
"Seine" "SU1" "Km_SU1_a0" "Gaussian" 29.9999999999997 28.0079061082667 0 -1 1 -5.24214535249276e-15 0.993241399707239 -4.66680462231107e-15 0.992861723669689 -1.53133340631977e-15 0.983245044507878 1.72059495201701e-14 -0.985644010775843 2.08425576396651e-15 -0.992208567531128 1.69830225001968e-15 -0.990471658248864 0 0 0 0 0 0 0 0
"Seine" "SU1" "Km_SU1_a1" "Gaussian" -3.77475828372553e-15 20.4277945827507 11498.5833333333 -0.833333333333333 -5.25456439403708e-15 1 -4.79863173938692e-15 0.948320227871777 -4.48207384038618e-15 0.924205381813339 -3.92143874437065e-15 -0.244979968716866 5.04779559307087e-15 -0.936448005859705 4.48705465585779e-15 -0.954358068574247 4.2586104018603e-15 0 0 0 0 0 0 0 0
"Seine" "SU1" "Km_SU1_a2" "Gaussian" 2.65565347490337e-13 120.186666359077 22997.1666666667 -0.666666666666667 0.993241399707239 -4.80007878571937e-15 1 -3.92896274205086e-15 0.996709234390169 -1.17686166982284e-15 0.986879623534233 1.75743874338311e-14 -0.989789347312906 1.4506041776499e-15 -0.996201139552543 1.06259984420788e-15 -0.99421003092986 0 0 0 0 0 0 0 0
"Seine" "SU1" "Km_SU1_a3" "Gaussian" 6.12843109593086e-14 36.481962496329 34495.75 -0.5 -4.69548965322549e-15 0.948320227871777 -3.98406059036174e-15 1 -3.63866423184953e-15 0.930154646883341 -2.99703557356074e-15 -0.260017538929939 4.13225203730552e-15 -0.948104631552367 3.71156845519577e-15 -0.962577644066771 3.44842708823936e-15 0 0 0 0 0 0 0 0
"Seine" "SU1" "Km_SU1_a4" "Gaussian" 3.18856052672345e-13 140.569335414497 45994.3333333333 -0.333333333333333 0.992861723669689 -4.48149389190521e-15 0.996709234390169 -3.63589313684569e-15 1 -8.46275605399812e-16 0.985758036221257 1.75637299475878e-14 -0.990369613439139 1.1079746829213e-15 -0.996176145102234 7.2922429356745e-16 -0.99360168412055 0 0 0 0 0 0 0 0
"Seine" "SU1" "Km_SU1_a5" "Gaussian" -3.90798504668055e-14 30.0830605375201 57492.9166666667 -0.166666666666667 -1.53133340631977e-15 0.924205381813339 -1.11004407880018e-15 0.930154646883341 -8.16083356649741e-16 1 -2.12091348499704e-16 -0.298447048253978 1.33463051666456e-15 -0.936153829128464 8.9184425150352e-16 -0.941224640647908 6.05588167975389e-16 0 0 0 0 0 0 0 0
"Seine" "SU1" "Km_SU1_a6" "Gaussian" 8.61533067109121e-14 62.1550913339836 68991.5 0 0.983245044507878 -3.87535766384613e-15 0.986879623534233 -2.99625218845362e-15 0.985758036221257 -2.27291624316032e-16 1 1.73573910680272e-14 -0.985555891193747 4.66550900661313e-16 -0.988223717851778 1.93889569681485e-16 -0.98460710540098 0 0 0 0 0 0 0 0
"Seine" "SU1" "Km_SU1_a7" "Gaussian" 3.59712259978551e-14 9.94708578256232 80490.0833333333 0.166666666666667 1.72249781317236e-14 -0.244979968716866 1.75862743184432e-14 -0.260017538929939 1.75179952029638e-14 -0.298447048253978 1.73545179223921e-14 1 -1.7704793450383e-14 0.150103839319418 -1.75981016826032e-14 0.191468875070864 -1.73881076801898e-14 0 0 0 0 0 0 0 0
"Seine" "SU1" "Km_SU1_a8" "Gaussian" -1.27453603226968e-13 76.7178170967865 91988.6666666667 0.333333333333333 -0.985644010775843 5.02059215876909e-15 -0.989789347312906 4.15755995881802e-15 -0.990369613439139 1.41467756033995e-15 -0.985555891193747 -1.7704793450383e-14 1 -1.61613195412939e-15 0.986081914103471 -1.28069679934434e-15 0.982052099112778 0 0 0 0 0 0 0 0
"Seine" "SU1" "Km_SU1_a9" "Gaussian" -3.95239396766556e-14 39.4034516095563 103487.25 0.5 2.08506055903908e-15 -0.936448005859705 1.44760342882983e-15 -0.948104631552367 1.14389361180302e-15 -0.936153829128464 4.40847989596897e-16 0.150103839319418 -1.61141259687943e-15 1 -1.11341834874301e-15 0.908893259146386 -8.54149506433932e-16 0 0 0 0 0 0 0 0
"Seine" "SU1" "Km_SU1_a10" "Gaussian" -3.08419956240868e-13 161.511447591645 114985.833333333 0.666666666666667 -0.992208567531128 4.55596991450274e-15 -0.996201139552543 3.74321372011966e-15 -0.996176145102234 8.94769042735824e-16 -0.988223717851778 -1.759920736664e-14 0.986081914103471 -1.11816776836714e-15 1 -8.12306474637467e-16 0.987989555929834 0 0 0 0 0 0 0 0
"Seine" "SU1" "Km_SU1_a11" "Gaussian" 1.28785870856518e-14 45.2381451221387 126484.416666667 0.833333333333333 1.69935374219333e-15 -0.954358068574246 1.06145634155067e-15 -0.962577644066771 7.11486134026063e-16 -0.941224640647908 1.93889569681485e-16 0.191468875070864 -1.27864546438514e-15 0.908893259146386 -7.81187012435483e-16 1 -5.70729820459636e-16 0 0 0 0 0 0 0 0
"Seine" "SU1" "Km_SU1_a12" "Gaussian" -1.25177646026486e-13 113.19366387806 137983 1 -0.990471658248864 4.22173275579447e-15 -0.99421003092986 3.39325572299156e-15 -0.99360168412055 5.99328269015739e-16 -0.98460710540098 -1.73392003533956e-14 0.982052099112778 -8.55644561713983e-16 0.987989555929834 -5.76280546520752e-16 1 0 0 0 0 0 0 0 0
"Seine" "SU1" "Kf_SU1_a0" "FIX" 20 NA 137983 1 0 0 0 0 0 0 0 0 0 0 0 0 0 1 0 0 0 0 0 0 0
"event_1" "node_1" "Q_e1_Poses" "FIX" 1 NA NA NA 0 0 0 0 0 0 0 0 0 0 0 0 0 0 1 0 0 0 0 0 0
"event_1" "node_2" "Q_e1_Eure" "FIX" 1 NA NA NA 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 1 0 0 0 0 0
"Y_1" NA "intercept" "Uniform" -10 10 NA NA 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 1 0 0 0 0
"Y_2" NA "intercept" "Uniform" -1000 1000 NA NA 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 1 0 0 0
"Y_3" NA "intercept" "Exponential" 0 0.01 NA NA 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 1 0 0
"Y_4" NA "intercept" "Exponential" 0 0.01 NA NA 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 1 0
"Y_5" NA "intercept" "Exponential" 0 0.01 NA NA 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 1
