a0_min         a0_flood       Y1_intercept   Y2_intercept   Y3_intercept   Y4_intercept   Y5_intercept   LogPost        
   0.100000E+03   0.596315E+02   0.347862E-03   0.985053E+01   0.123447E+02   0.207459E-03   0.137577E+02   0.665487E+02
   0.100000E+03   0.596315E+02   0.347862E-03   0.985053E+01   0.101739E+02   0.207459E-03   0.145668E+02   0.673186E+02
   0.100000E+03   0.596315E+02   0.347862E-03   0.122018E+02   0.102329E+02   0.207459E-03   0.145668E+02   0.666036E+02
   0.100000E+03   0.588035E+02   0.347862E-03   0.937026E+01   0.144019E+02   0.378542E-03   0.134916E+02   0.647512E+02
   0.100000E+03   0.588035E+02   0.557200E-03   0.789277E+01   0.862536E+01   0.378542E-03   0.134916E+02   0.648725E+02
   0.100000E+03   0.588035E+02   0.557200E-03   0.100555E+02   0.100428E+02   0.378542E-03   0.137967E+02   0.654815E+02
   0.100000E+03   0.588035E+02   0.557200E-03   0.963803E+01   0.100428E+02   0.378542E-03   0.137967E+02   0.655073E+02
   0.100000E+03   0.597850E+02   0.557200E-03   0.105173E+02   0.104134E+02   0.378542E-03   0.141753E+02   0.653600E+02
   0.100000E+03   0.610954E+02   0.557200E-03   0.821792E+01   0.104134E+02   0.378542E-03   0.141753E+02   0.643767E+02
   0.100000E+03   0.598749E+02   0.477925E-03   0.754463E+01   0.103048E+02   0.421963E-03   0.157618E+02   0.652105E+02
   0.100000E+03   0.598749E+02   0.369117E-03   0.754463E+01   0.103048E+02   0.421963E-03   0.163019E+02   0.656934E+02
   0.100000E+03   0.598749E+02   0.369117E-03   0.872579E+01   0.103048E+02   0.421963E-03   0.145542E+02   0.664966E+02
   0.100000E+03   0.593044E+02   0.369117E-03   0.832963E+01   0.989109E+01   0.421963E-03   0.911957E+01   0.640009E+02
   0.100000E+03   0.593044E+02   0.369117E-03   0.914903E+01   0.998143E+01   0.421963E-03   0.112854E+02   0.660884E+02
   0.100000E+03   0.593044E+02   0.369117E-03   0.799416E+01   0.890732E+01   0.421963E-03   0.112854E+02   0.656422E+02
   0.100000E+03   0.593044E+02   0.369117E-03   0.109203E+02   0.871644E+01   0.421963E-03   0.108008E+02   0.655207E+02
   0.100000E+03   0.593044E+02   0.369117E-03   0.112447E+02   0.871644E+01   0.395966E-03   0.107694E+02   0.654654E+02
   0.100000E+03   0.593044E+02   0.369117E-03   0.111637E+02   0.871644E+01   0.425961E-03   0.136105E+02   0.664322E+02
   0.100000E+03   0.593044E+02   0.369117E-03   0.111637E+02   0.114405E+02   0.335187E-03   0.190096E+02   0.654984E+02
   0.100000E+03   0.593044E+02   0.369117E-03   0.113467E+02   0.130940E+02   0.335187E-03   0.190096E+02   0.646171E+02
