a0_min         Y1_intercept   Y2_intercept   Y3_intercept   LogPost        
   0.100251E+03   0.364112E-03   0.105206E+02   0.938707E+01   0.185113E+03
   0.100216E+03   0.364112E-03   0.102098E+02   0.927044E+01   0.185199E+03
   0.993756E+02   0.364112E-03   0.102098E+02   0.927044E+01   0.184723E+03
   0.993756E+02   0.364112E-03   0.102098E+02   0.927044E+01   0.184723E+03
   0.993756E+02   0.364112E-03   0.101964E+02   0.904507E+01   0.184535E+03
   0.993756E+02   0.341622E-03   0.954803E+01   0.904507E+01   0.184362E+03
   0.993756E+02   0.341622E-03   0.109779E+02   0.909226E+01   0.183940E+03
   0.993756E+02   0.341622E-03   0.109779E+02   0.910288E+01   0.183949E+03
   0.993756E+02   0.341622E-03   0.112778E+02   0.960167E+01   0.183941E+03
   0.993756E+02   0.341622E-03   0.110582E+02   0.960167E+01   0.184177E+03
   0.993459E+02   0.549290E-03   0.967588E+01   0.960167E+01   0.184852E+03
   0.993459E+02   0.549290E-03   0.954445E+01   0.104679E+02   0.184703E+03
   0.993459E+02   0.549290E-03   0.954445E+01   0.104679E+02   0.184703E+03
   0.993459E+02   0.539107E-03   0.881082E+01   0.118388E+02   0.182700E+03
   0.993459E+02   0.539107E-03   0.881082E+01   0.105609E+02   0.184089E+03
   0.982473E+02   0.539107E-03   0.937350E+01   0.105609E+02   0.181294E+03
   0.982473E+02   0.539107E-03   0.937350E+01   0.123780E+02   0.179008E+03
   0.982473E+02   0.539107E-03   0.937350E+01   0.965690E+01   0.181471E+03
   0.982473E+02   0.539107E-03   0.937350E+01   0.965690E+01   0.181471E+03
   0.982473E+02   0.919448E-03   0.937350E+01   0.965690E+01   0.178496E+03
   0.100755E+03   0.776623E-03   0.960451E+01   0.920789E+01   0.182754E+03
   0.100681E+03   0.776623E-03   0.106761E+02   0.920789E+01   0.182576E+03
   0.100681E+03   0.776623E-03   0.106761E+02   0.972488E+01   0.182823E+03
   0.100681E+03   0.776623E-03   0.106761E+02   0.103833E+02   0.182725E+03
   0.101261E+03   0.346770E-03   0.102315E+02   0.103833E+02   0.182697E+03
   0.101261E+03   0.346770E-03   0.100729E+02   0.103833E+02   0.182736E+03
   0.101261E+03   0.346770E-03   0.116501E+02   0.118085E+02   0.179987E+03
   0.101261E+03   0.662987E-03   0.113511E+02   0.118085E+02   0.181096E+03
   0.101261E+03   0.662987E-03   0.113511E+02   0.118085E+02   0.181096E+03
   0.990773E+02   0.651983E-03   0.106965E+02   0.100507E+02   0.183341E+03
   0.101806E+03   0.651983E-03   0.106965E+02   0.100977E+02   0.181986E+03
   0.101806E+03   0.588835E-03   0.101461E+02   0.992149E+01   0.182444E+03
   0.101806E+03   0.588835E-03   0.101461E+02   0.992149E+01   0.182444E+03
   0.101806E+03   0.734648E-03   0.101461E+02   0.944266E+01   0.181634E+03
   0.101157E+03   0.734648E-03   0.101461E+02   0.944266E+01   0.182951E+03
   0.100201E+03   0.734648E-03   0.943364E+01   0.895593E+01   0.183208E+03
   0.100201E+03   0.734648E-03   0.100184E+02   0.822919E+01   0.182111E+03
   0.100201E+03   0.734648E-03   0.100341E+02   0.782542E+01   0.181053E+03
   0.100201E+03   0.734648E-03   0.971933E+01   0.782542E+01   0.181044E+03
   0.100201E+03   0.734648E-03   0.105597E+02   0.782542E+01   0.180854E+03
   0.994126E+02   0.734648E-03   0.102106E+02   0.782542E+01   0.180501E+03
   0.994126E+02   0.791945E-03   0.102106E+02   0.782542E+01   0.179769E+03
   0.994126E+02   0.586347E-03   0.917913E+01   0.782542E+01   0.181735E+03
   0.994126E+02   0.586347E-03   0.917913E+01   0.100027E+02   0.184496E+03
   0.994126E+02   0.586347E-03   0.917913E+01   0.915140E+01   0.184192E+03
   0.994126E+02   0.586347E-03   0.945321E+01   0.911239E+01   0.184337E+03
   0.994126E+02   0.586347E-03   0.964456E+01   0.911239E+01   0.184409E+03
   0.994126E+02   0.586347E-03   0.964456E+01   0.962098E+01   0.184712E+03
   0.994126E+02   0.586347E-03   0.882984E+01   0.906082E+01   0.183740E+03
   0.994126E+02   0.586347E-03   0.952712E+01   0.906082E+01   0.184321E+03
   0.994126E+02   0.402493E-03   0.952712E+01   0.906082E+01   0.184752E+03
   0.994126E+02   0.402493E-03   0.952712E+01   0.109470E+02   0.184640E+03
