a0_min         Y1_intercept   Y2_intercept   Y3_intercept   LogPost        LogPrior       LogHyper       LogLkh         Deviance       
   0.100000E+03   0.100000E-02   0.100000E+02   0.100000E+02   0.179887E+03  -0.183788E+01   0.000000E+00   0.181725E+03  -0.363450E+03
   0.100000E+03   0.100000E-02   0.100000E+02   0.932965E+01   0.179715E+03  -0.200922E+01   0.000000E+00   0.181724E+03  -0.363448E+03
   0.100518E+03   0.699914E-03   0.891986E+01   0.938461E+01   0.183463E+03  -0.251504E+01   0.000000E+00   0.185978E+03  -0.371956E+03
   0.100512E+03   0.699914E-03   0.891986E+01   0.107285E+02   0.183289E+03  -0.269441E+01   0.000000E+00   0.185983E+03  -0.371967E+03
   0.100512E+03   0.699914E-03   0.965683E+01   0.106278E+02   0.183873E+03  -0.211018E+01   0.000000E+00   0.185983E+03  -0.371966E+03
   0.100512E+03   0.699914E-03   0.919553E+01   0.997322E+01   0.183880E+03  -0.210338E+01   0.000000E+00   0.185983E+03  -0.371967E+03
   0.100637E+03   0.699914E-03   0.919553E+01   0.997322E+01   0.183794E+03  -0.210338E+01   0.000000E+00   0.185897E+03  -0.371795E+03
   0.100637E+03   0.676053E-03   0.919553E+01   0.103022E+02   0.183969E+03  -0.217979E+01   0.000000E+00   0.186149E+03  -0.372298E+03
   0.100637E+03   0.676053E-03   0.916252E+01   0.110073E+02   0.183459E+03  -0.268943E+01   0.000000E+00   0.186148E+03  -0.372297E+03
   0.100637E+03   0.374112E-03   0.839752E+01   0.108414E+02   0.183217E+03  -0.359545E+01   0.000000E+00   0.186812E+03  -0.373625E+03
   0.100637E+03   0.374112E-03   0.839752E+01   0.108414E+02   0.183217E+03  -0.359545E+01   0.000000E+00   0.186812E+03  -0.373625E+03
   0.100637E+03   0.374112E-03   0.820317E+01   0.121775E+02   0.181074E+03  -0.573884E+01   0.000000E+00   0.186813E+03  -0.373626E+03
   0.100637E+03   0.358230E-03   0.842729E+01   0.120661E+02   0.181589E+03  -0.508223E+01   0.000000E+00   0.186671E+03  -0.373342E+03
   0.100637E+03   0.358230E-03   0.842729E+01   0.116643E+02   0.182201E+03  -0.446964E+01   0.000000E+00   0.186671E+03  -0.373341E+03
   0.100637E+03   0.358230E-03   0.842729E+01   0.116643E+02   0.182201E+03  -0.446964E+01   0.000000E+00   0.186671E+03  -0.373341E+03
   0.100637E+03   0.492023E-03   0.107874E+02   0.116643E+02   0.183701E+03  -0.353985E+01   0.000000E+00   0.187241E+03  -0.374482E+03
   0.100637E+03   0.492023E-03   0.107874E+02   0.106163E+02   0.184801E+03  -0.243955E+01   0.000000E+00   0.187241E+03  -0.374481E+03
   0.100637E+03   0.492023E-03   0.107874E+02   0.102463E+02   0.184986E+03  -0.225484E+01   0.000000E+00   0.187241E+03  -0.374482E+03
   0.100637E+03   0.492023E-03   0.933803E+01   0.912322E+01   0.184908E+03  -0.233318E+01   0.000000E+00   0.187241E+03  -0.374482E+03
   0.100637E+03   0.492023E-03   0.993915E+01   0.929241E+01   0.185211E+03  -0.202953E+01   0.000000E+00   0.187241E+03  -0.374481E+03
   0.100637E+03   0.492023E-03   0.993915E+01   0.929241E+01   0.185211E+03  -0.202953E+01   0.000000E+00   0.187241E+03  -0.374481E+03
   0.100637E+03   0.492023E-03   0.110595E+02   0.105032E+02   0.184626E+03  -0.261527E+01   0.000000E+00   0.187241E+03  -0.374483E+03
   0.100637E+03   0.492023E-03   0.110753E+02   0.110846E+02   0.184146E+03  -0.309469E+01   0.000000E+00   0.187241E+03  -0.374481E+03
   0.100637E+03   0.492023E-03   0.103581E+02   0.109794E+02   0.184776E+03  -0.246490E+01   0.000000E+00   0.187241E+03  -0.374482E+03
   0.100637E+03   0.492023E-03   0.113660E+02   0.100889E+02   0.184442E+03  -0.279842E+01   0.000000E+00   0.187240E+03  -0.374481E+03
   0.100637E+03   0.492023E-03   0.120951E+02   0.950401E+01   0.183325E+03  -0.391571E+01   0.000000E+00   0.187241E+03  -0.374481E+03
   0.100637E+03   0.366380E-03   0.115626E+02   0.103922E+02   0.183596E+03  -0.314955E+01   0.000000E+00   0.186746E+03  -0.373491E+03
   0.100637E+03   0.338700E-03   0.115626E+02   0.103095E+02   0.183355E+03  -0.311402E+01   0.000000E+00   0.186469E+03  -0.372938E+03
   0.100637E+03   0.169757E-03   0.104075E+02   0.101454E+02   0.181776E+03  -0.198244E+01   0.000000E+00   0.183758E+03  -0.367517E+03
   0.100637E+03   0.321059E-03   0.969042E+01   0.835723E+01   0.182974E+03  -0.328668E+01   0.000000E+00   0.186261E+03  -0.372521E+03
   0.100637E+03   0.719266E-03   0.934266E+01   0.986460E+01   0.183684E+03  -0.199670E+01   0.000000E+00   0.185681E+03  -0.371361E+03
   0.100637E+03   0.719266E-03   0.934266E+01   0.924406E+01   0.183449E+03  -0.223137E+01   0.000000E+00   0.185680E+03  -0.371361E+03
   0.100637E+03   0.744045E-03   0.902805E+01   0.924406E+01   0.182899E+03  -0.248869E+01   0.000000E+00   0.185388E+03  -0.370775E+03
   0.100037E+03   0.799865E-03   0.106670E+02   0.100829E+02   0.182647E+03  -0.212257E+01   0.000000E+00   0.184770E+03  -0.369539E+03
   0.100037E+03   0.652811E-03   0.100936E+02   0.100829E+02   0.184704E+03  -0.186320E+01   0.000000E+00   0.186567E+03  -0.373134E+03
   0.100037E+03   0.652811E-03   0.108421E+02   0.986213E+01   0.184325E+03  -0.224133E+01   0.000000E+00   0.186566E+03  -0.373133E+03
   0.100037E+03   0.652811E-03   0.108421E+02   0.986213E+01   0.184325E+03  -0.224133E+01   0.000000E+00   0.186566E+03  -0.373133E+03
   0.100037E+03   0.407086E-03   0.104778E+02   0.986213E+01   0.185596E+03  -0.198923E+01   0.000000E+00   0.187585E+03  -0.375170E+03
   0.100037E+03   0.407086E-03   0.115374E+02   0.862046E+01   0.183629E+03  -0.395684E+01   0.000000E+00   0.187586E+03  -0.375172E+03
