"Date","t_minutes","Q","id_WSE_number_case","id_WSE_name_case","id_sta"
2010-02-21 13:00:00,0,158,7,"RHONE_750","Ain_Port_Galland"
2010-02-21 14:00:00,60,158,7,"RHONE_750","Ain_Port_Galland"
2010-02-21 15:00:00,120,157,7,"RHONE_750","Ain_Port_Galland"
2010-02-21 16:00:00,180,150,7,"RHONE_750","Ain_Port_Galland"
2010-02-21 17:00:00,240,137,7,"RHONE_750","Ain_Port_Galland"
2010-02-21 18:00:00,300,125,7,"RHONE_750","Ain_Port_Galland"
2010-02-21 19:00:00,360,118,7,"RHONE_750","Ain_Port_Galland"
2010-02-21 20:00:00,420,114,7,"RHONE_750","Ain_Port_Galland"
2010-02-21 21:00:00,480,113,7,"RHONE_750","Ain_Port_Galland"
2010-02-21 22:00:00,540,114,7,"RHONE_750","Ain_Port_Galland"
2010-02-21 23:00:00,600,113,7,"RHONE_750","Ain_Port_Galland"
2010-02-22,660,113,7,"RHONE_750","Ain_Port_Galland"
2010-02-22 01:00:00,720,109,7,"RHONE_750","Ain_Port_Galland"
2010-02-22 02:00:00,780,107,7,"RHONE_750","Ain_Port_Galland"
2010-02-22 03:00:00,840,113,7,"RHONE_750","Ain_Port_Galland"
2010-02-22 04:00:00,900,117,7,"RHONE_750","Ain_Port_Galland"
2010-02-22 05:00:00,960,114,7,"RHONE_750","Ain_Port_Galland"
2010-02-22 06:00:00,1020,112,7,"RHONE_750","Ain_Port_Galland"
2010-02-22 07:00:00,1080,111,7,"RHONE_750","Ain_Port_Galland"
2010-02-22 08:00:00,1140,110,7,"RHONE_750","Ain_Port_Galland"
2010-02-22 09:00:00,1200,110,7,"RHONE_750","Ain_Port_Galland"
2010-02-22 10:00:00,1260,110,7,"RHONE_750","Ain_Port_Galland"
2010-02-22 11:00:00,1320,113,7,"RHONE_750","Ain_Port_Galland"
2010-02-22 12:00:00,1380,122,7,"RHONE_750","Ain_Port_Galland"
2010-02-22 13:00:00,1440,130,7,"RHONE_750","Ain_Port_Galland"
2010-02-22 14:00:00,1500,131,7,"RHONE_750","Ain_Port_Galland"
