"V1" "V2" "V3" "V4" "V5"
1 -1 1 -1 1
1 -0.979591836734694 0.939400249895876 -0.880653469217758 0.805141474094248
1 -0.959183673469388 0.880049979175344 -0.767426837457182 0.628143278493048
1 -0.938775510204082 0.821949187838401 -0.660192606821987 0.468140248900179
1 -0.918367346938776 0.765097875885048 -0.55882327941589 0.324285435004609
1 -0.897959183673469 0.709496043315285 -0.463191357342604 0.195750100480485
1 -0.877551020408163 0.655143690129113 -0.373169342705845 0.0817237229871418
1 -0.857142857142857 0.602040816326531 -0.288629737609329 -0.0185860058309039
1 -0.836734693877551 0.550187421907539 -0.209445044156772 -0.105953180343953
1 -0.816326530612245 0.499583506872137 -0.135487764451887 -0.181133680937122
1 -0.795918367346939 0.450229071220325 -0.06663040059839 -0.244865174010343
1 -0.775510204081633 0.402124114952103 -0.00274545469999736 -0.297867111978367
1 -0.755102040816327 0.355268638067472 0.0562945711395761 -0.340840733270758
1 -0.73469387755102 0.309662640566431 0.110617174816615 -0.3744690623319
1 -0.714285714285714 0.265306122448979 0.160349854227406 -0.399416909620991
1 -0.693877551020408 0.222199083715119 0.20562010726823 -0.416330871612047
1 -0.673469387755102 0.180341524364848 0.246555431835375 -0.425839330793899
1 -0.653061224489796 0.139733444398168 0.283283325825124 -0.428552455670196
1 -0.63265306122449 0.100374843815077 0.315931287133762 -0.425062200759402
1 -0.612244897959184 0.0622657226155768 0.344626813657575 -0.415942306594798
1 -0.591836734693878 0.0254060807996668 0.369497403292846 -0.401748299724483
1 -0.571428571428571 -0.0102040816326531 0.39067055393586 -0.38301749271137
1 -0.551020408163265 -0.0445647646813827 0.408273763482903 -0.36026898413319
1 -0.530612244897959 -0.0776759683465221 0.422434529830258 -0.334003658582491
1 -0.510204081632653 -0.109537692628072 0.433280350874211 -0.304704186666634
1 -0.489795918367347 -0.140149937526031 0.440938724511046 -0.272835025007802
1 -0.469387755102041 -0.1695127030404 0.445537148637047 -0.238842416242989
1 -0.448979591836735 -0.197625989171179 0.447203121148501 -0.20315438902401
