Km_SU1_Rh_a0   Km_SU2_Rh_a0   Km_SU1_Ai_a0   Y1_intercept   Y2_intercept   Y3_intercept   Y4_intercept   Y5_intercept   LogPost        LogPrior       LogHyper       LogLkh         Deviance       
   0.360000E+02   0.310000E+02   0.190000E+02   0.100000E+00   0.100000E-01   0.100000E-01   0.100000E-01   0.100000E-01  -0.434150E+04   0.144207E+02   0.000000E+00  -0.435592E+04   0.871184E+04
   0.388636E+02   0.310000E+02   0.190000E+02   0.100000E+00   0.100518E-01   0.939983E-02   0.891986E-02   0.100550E-01  -0.406441E+04   0.145780E+02   0.000000E+00  -0.407899E+04   0.815798E+04
   0.388615E+02   0.310000E+02   0.190000E+02   0.101344E+00   0.936315E-02   0.939983E-02   0.965683E-02   0.995434E-02  -0.395288E+04   0.145833E+02   0.000000E+00  -0.396746E+04   0.793493E+04
   0.388615E+02   0.310000E+02   0.190000E+02   0.101344E+00   0.937563E-02   0.806654E-02   0.778932E-02   0.120406E-01  -0.395277E+04   0.146935E+02   0.000000E+00  -0.396746E+04   0.793493E+04
   0.388615E+02   0.308521E+02   0.190000E+02   0.101673E+00   0.994042E-02   0.658954E-02   0.644151E-02   0.118484E-01  -0.391559E+04   0.149387E+02   0.000000E+00  -0.393053E+04   0.786106E+04
   0.388615E+02   0.308521E+02   0.190000E+02   0.103908E+00   0.109907E-01   0.756916E-02   0.644151E-02   0.118256E-01  -0.374146E+04   0.147380E+02   0.000000E+00  -0.375620E+04   0.751240E+04
   0.388615E+02   0.308521E+02   0.190000E+02   0.103908E+00   0.114804E-01   0.819995E-02   0.651289E-02   0.127731E-01  -0.374168E+04   0.145240E+02   0.000000E+00  -0.375620E+04   0.751241E+04
   0.388615E+02   0.308521E+02   0.190000E+02   0.103908E+00   0.121836E-01   0.692750E-02   0.702307E-02   0.138095E-01  -0.374178E+04   0.144263E+02   0.000000E+00  -0.375621E+04   0.751241E+04
   0.398249E+02   0.308521E+02   0.190000E+02   0.105266E+00   0.107727E-01   0.787123E-02   0.789059E-02   0.127231E-01  -0.362311E+04   0.144949E+02   0.000000E+00  -0.363760E+04   0.727521E+04
   0.398249E+02   0.308521E+02   0.190000E+02   0.105266E+00   0.941653E-02   0.659348E-02   0.821685E-02   0.127231E-01  -0.362288E+04   0.147257E+02   0.000000E+00  -0.363761E+04   0.727521E+04
   0.398249E+02   0.308521E+02   0.190000E+02   0.105930E+00   0.106657E-01   0.699034E-02   0.765101E-02   0.123798E-01  -0.357530E+04   0.146520E+02   0.000000E+00  -0.358995E+04   0.717990E+04
   0.398249E+02   0.276082E+02   0.194128E+02   0.106116E+00   0.126276E-01   0.789040E-02   0.737855E-02   0.134354E-01  -0.341992E+04   0.142875E+02   0.000000E+00  -0.343421E+04   0.686841E+04
   0.398249E+02   0.276082E+02   0.194128E+02   0.106116E+00   0.128773E-01   0.510761E-02   0.679259E-02   0.134354E-01  -0.341961E+04   0.145994E+02   0.000000E+00  -0.343421E+04   0.686842E+04
   0.398249E+02   0.276082E+02   0.194128E+02   0.107064E+00   0.129528E-01   0.663611E-02   0.684177E-02   0.145017E-01  -0.335597E+04   0.143274E+02   0.000000E+00  -0.337030E+04   0.674059E+04
   0.398249E+02   0.276082E+02   0.194128E+02   0.107064E+00   0.106835E-01   0.555018E-02   0.739246E-02   0.169552E-01  -0.335594E+04   0.143625E+02   0.000000E+00  -0.337030E+04   0.674061E+04
   0.398249E+02   0.276082E+02   0.194128E+02   0.108897E+00   0.989158E-02   0.516468E-02   0.107502E-01   0.171012E-01  -0.323730E+04   0.141299E+02   0.000000E+00  -0.325143E+04   0.650286E+04
   0.398249E+02   0.276082E+02   0.194128E+02   0.110641E+00   0.994610E-02   0.485007E-02   0.967997E-02   0.170279E-01  -0.312932E+04   0.142703E+02   0.000000E+00  -0.314359E+04   0.628718E+04
   0.402268E+02   0.276082E+02   0.194128E+02   0.111532E+00   0.962258E-02   0.427667E-02   0.835231E-02   0.165446E-01  -0.307609E+04   0.145411E+02   0.000000E+00  -0.309063E+04   0.618126E+04
   0.402268E+02   0.276082E+02   0.194128E+02   0.112110E+00   0.844066E-02   0.501369E-02   0.985177E-02   0.152814E-01  -0.304225E+04   0.145619E+02   0.000000E+00  -0.305681E+04   0.611362E+04
   0.402268E+02   0.266843E+02   0.194128E+02   0.112396E+00   0.751650E-02   0.326113E-02   0.949407E-02   0.154861E-01  -0.302165E+04   0.148449E+02   0.000000E+00  -0.303649E+04   0.607299E+04
   0.404422E+02   0.266843E+02   0.197105E+02   0.112396E+00   0.592734E-02   0.228343E-02   0.929466E-02   0.131061E-01  -0.302019E+04   0.153595E+02   0.000000E+00  -0.303555E+04   0.607110E+04
   0.404422E+02   0.266843E+02   0.197105E+02   0.112490E+00   0.635065E-02   0.236773E-02   0.926403E-02   0.120364E-01  -0.301472E+04   0.154188E+02   0.000000E+00  -0.303014E+04   0.606028E+04
   0.404422E+02   0.266843E+02   0.197105E+02   0.112490E+00   0.489124E-02   0.278085E-02   0.783267E-02   0.123147E-01  -0.301450E+04   0.156387E+02   0.000000E+00  -0.303014E+04   0.606028E+04
   0.404422E+02   0.266843E+02   0.197105E+02   0.112490E+00   0.481464E-02   0.384723E-02   0.800999E-02   0.119138E-01  -0.301458E+04   0.155621E+02   0.000000E+00  -0.303014E+04   0.606028E+04
   0.404422E+02   0.266843E+02   0.197105E+02   0.116115E+00   0.574746E-02   0.340992E-02   0.388688E-02   0.120935E-01  -0.281554E+04   0.159069E+02   0.000000E+00  -0.283145E+04   0.566289E+04
   0.404422E+02   0.266843E+02   0.197105E+02   0.117324E+00   0.654859E-02   0.261246E-02   0.619209E-02   0.110693E-01  -0.275336E+04   0.157784E+02   0.000000E+00  -0.276914E+04   0.553828E+04
   0.404422E+02   0.266843E+02   0.197105E+02   0.117324E+00   0.684513E-02   0.286114E-02   0.447691E-02   0.106346E-01  -0.275320E+04   0.159389E+02   0.000000E+00  -0.276914E+04   0.553828E+04
   0.404422E+02   0.266843E+02   0.197105E+02   0.117324E+00   0.652183E-02   0.344459E-02   0.462275E-02   0.105227E-01  -0.275323E+04   0.159095E+02   0.000000E+00  -0.276914E+04   0.553828E+04
   0.404422E+02   0.266843E+02   0.204400E+02   0.117828E+00   0.653376E-02   0.585777E-02   0.483776E-02   0.855971E-02  -0.272678E+04   0.158418E+02   0.000000E+00  -0.274262E+04   0.548524E+04
   0.404422E+02   0.266843E+02   0.204400E+02   0.117817E+00   0.789958E-02   0.587539E-02   0.517068E-02   0.879930E-02  -0.272749E+04   0.156462E+02   0.000000E+00  -0.274314E+04   0.548627E+04
   0.401384E+02   0.266843E+02   0.204400E+02   0.119216E+00   0.707176E-02   0.624163E-02   0.421441E-02   0.995970E-02  -0.265689E+04   0.156719E+02   0.000000E+00  -0.267256E+04   0.534512E+04
