               a0_min         a1_min         Y1_intercept   Y2_intercept   Y3_intercept   Y4_intercept   
N                 0.401000E+03   0.401000E+03   0.401000E+03   0.401000E+03   0.401000E+03   0.401000E+03
Minimum           0.990382E+02  -0.489514E+01   0.277492E-04   0.253507E-04   0.685382E-05   0.482634E-03
Maximum           0.102580E+03   0.689285E+01   0.945496E-03   0.959530E-03   0.812709E-03   0.276805E-02
Range             0.354180E+01   0.117880E+02   0.917747E-03   0.934179E-03   0.805855E-03   0.228542E-02
Mean              0.100751E+03   0.145302E+01   0.271040E-03   0.237097E-03   0.252187E-03   0.113052E-02
Median            0.100799E+03   0.127173E+01   0.271323E-03   0.197317E-03   0.238182E-03   0.113038E-02
Q10%              0.100094E+03  -0.938075E+00   0.733509E-04   0.403176E-04   0.578479E-04   0.670689E-03
Q25%              0.100189E+03  -0.171054E+00   0.139062E-03   0.874959E-04   0.100605E-03   0.865585E-03
Q75%              0.101247E+03   0.282240E+01   0.361347E-03   0.322910E-03   0.311842E-03   0.124871E-02
Q90%              0.101504E+03   0.430903E+01   0.492130E-03   0.478214E-03   0.447830E-03   0.163646E-02
St.Dev.           0.605883E+00   0.207225E+01   0.185482E-03   0.184486E-03   0.168867E-03   0.423836E-03
Variance          0.367095E+00   0.429422E+01   0.344037E-07   0.340350E-07   0.285160E-07   0.179637E-06
CV                0.601369E-02   0.142617E+01   0.684335E+00   0.778104E+00   0.669608E+00   0.374903E+00
Skewness         -0.756472E-02   0.263402E+00   0.112225E+01   0.130522E+01   0.115561E+01   0.172588E+01
Kurtosis         -0.236889E+00  -0.944281E-01   0.154566E+01   0.194233E+01   0.183461E+01   0.418166E+01
MaxPost           0.100993E+03   0.227263E+01   0.107209E-03   0.874959E-04   0.890368E-04   0.987074E-03
