               Km_SU1_Rh_a0   Km_SU1_Rh_a1   Km_SU1_Rh_a2   Km_SU1_Rh_a3   Km_SU1_Rh_a4   Km_SU2_Rh_a0   Km_SU2_Rh_a1   Km_SU1_Ai_a0   Km_SU1_Ai_a1   Km_SU1_Ai_a2   Km_SU1_Ai_a3   Km_SU1_Ai_a4   Km_SU2_Ai_a0   Km_SU2_Ai_a1   Y1_intercept   Y2_intercept   Y3_intercept   Y4_intercept   Y5_intercept   
N                 0.101000E+03   0.101000E+03   0.101000E+03   0.101000E+03   0.101000E+03   0.101000E+03   0.101000E+03   0.101000E+03   0.101000E+03   0.101000E+03   0.101000E+03   0.101000E+03   0.101000E+03   0.101000E+03   0.101000E+03   0.101000E+03   0.101000E+03   0.101000E+03   0.101000E+03
Minimum           0.360000E+02  -0.219414E+01   0.000000E+00   0.000000E+00   0.000000E+00   0.292772E+02  -0.689575E+01   0.190000E+02  -0.452888E+01  -0.116236E+02  -0.890590E+01   0.000000E+00   0.100873E+02  -0.616661E+01   0.100000E+00   0.398914E-03   0.180594E-04   0.100000E-01   0.538507E-02
Maximum           0.412530E+02   0.000000E+00   0.723708E+01   0.667238E+01   0.118679E+02   0.346285E+02   0.000000E+00   0.208973E+02   0.000000E+00   0.000000E+00   0.539496E+01   0.165392E+02   0.150000E+02   0.285341E+01   0.128507E+00   0.178420E-01   0.135079E-01   0.304578E-01   0.193768E-01
Range             0.525300E+01   0.219414E+01   0.723708E+01   0.667238E+01   0.118679E+02   0.535130E+01   0.689575E+01   0.189730E+01   0.452888E+01   0.116236E+02   0.143009E+02   0.165392E+02   0.491270E+01   0.902002E+01   0.285070E-01   0.174431E-01   0.134898E-01   0.204578E-01   0.139917E-01
Mean              0.404742E+02  -0.128098E+01   0.478857E+01   0.421766E+01   0.901983E+01   0.333575E+02  -0.274123E+01   0.204348E+02  -0.411781E+01  -0.106330E+02  -0.800872E+01   0.131000E+02   0.102740E+02  -0.499138E+01   0.113446E+00   0.629707E-02   0.557722E-02   0.206074E-01   0.124677E-01
Median            0.406792E+02  -0.144853E+01   0.504372E+01   0.475174E+01   0.963155E+01   0.339841E+02  -0.222037E+01   0.204148E+02  -0.452888E+01  -0.116236E+02  -0.890590E+01   0.132669E+02   0.100873E+02  -0.608145E+01   0.113803E+00   0.563768E-02   0.403852E-02   0.199911E-01   0.129823E-01
Q10%              0.400696E+02  -0.219414E+01   0.291492E+01   0.691723E+00   0.497749E+01   0.309784E+02  -0.386400E+01   0.204102E+02  -0.452888E+01  -0.116236E+02  -0.890590E+01   0.132669E+02   0.100873E+02  -0.616661E+01   0.102192E+00   0.189198E-02   0.649480E-03   0.142957E-01   0.719972E-02
Q25%              0.404531E+02  -0.167476E+01   0.417049E+01   0.397581E+01   0.874898E+01   0.335717E+02  -0.283952E+01   0.204102E+02  -0.452888E+01  -0.116236E+02  -0.890590E+01   0.132669E+02   0.100873E+02  -0.608145E+01   0.107194E+00   0.369578E-02   0.187754E-02   0.160016E-01   0.947025E-02
Q75%              0.406792E+02  -0.386428E+00   0.552278E+01   0.510320E+01   0.106287E+02   0.340086E+02  -0.216017E+01   0.204148E+02  -0.452888E+01  -0.116236E+02  -0.890590E+01   0.132669E+02   0.100873E+02  -0.558577E+01   0.119263E+00   0.817772E-02   0.106232E-01   0.246749E-01   0.147188E-01
Q90%              0.407779E+02  -0.386428E+00   0.676310E+01   0.576879E+01   0.111597E+02   0.346285E+02  -0.216017E+01   0.208973E+02  -0.444690E+01  -0.854912E+01  -0.542325E+01   0.137396E+02   0.111176E+02   0.285341E+01   0.123892E+00   0.124689E-01   0.124063E-01   0.277233E-01   0.172324E-01
