Km_SU1_Rh_a0   Km_SU1_Rh_a1   Km_SU1_Rh_a2   Km_SU1_Rh_a3   Km_SU1_Rh_a4   Km_SU2_Rh_a0   Km_SU2_Rh_a1   Km_SU1_Ai_a0   Km_SU1_Ai_a1   Km_SU1_Ai_a2   Km_SU1_Ai_a3   Km_SU1_Ai_a4   Km_SU2_Ai_a0   Km_SU2_Ai_a1   Y1_intercept   Y2_intercept   Y3_intercept   Y4_intercept   Y5_intercept   LogPost        LogPrior       LogHyper       LogLkh         Deviance       
   0.400696E+02  -0.219414E+01   0.291492E+01   0.691723E+00   0.497749E+01   0.309784E+02  -0.689575E+01   0.208973E+02  -0.444690E+01  -0.112016E+02  -0.542325E+01   0.142018E+02   0.110264E+02   0.285341E+01   0.102214E+00   0.515313E-02   0.114025E-01   0.156962E-01   0.143287E-01  -0.174864E+04   0.137626E+02   0.000000E+00  -0.176240E+04   0.352481E+04
   0.400696E+02  -0.219414E+01   0.291492E+01   0.691723E+00   0.571999E+01   0.309784E+02  -0.144645E+01   0.208973E+02  -0.444690E+01  -0.112016E+02  -0.871851E+01   0.142018E+02   0.101607E+02   0.285341E+01   0.103274E+00   0.545546E-02   0.128172E-01   0.156607E-01   0.145983E-01  -0.150663E+04   0.135675E+02   0.000000E+00  -0.152020E+04   0.304040E+04
   0.400696E+02  -0.219414E+01   0.291492E+01   0.691723E+00   0.694572E+01   0.309784E+02  -0.144645E+01   0.208973E+02  -0.444690E+01  -0.112016E+02  -0.871851E+01   0.137396E+02   0.101607E+02  -0.558577E+01   0.103744E+00   0.591301E-02   0.128280E-01   0.178545E-01   0.147938E-01  -0.144469E+04   0.132817E+02   0.000000E+00  -0.145797E+04   0.291594E+04
   0.400696E+02  -0.219414E+01   0.417049E+01   0.691723E+00   0.694572E+01   0.309784E+02  -0.144645E+01   0.208973E+02  -0.444690E+01  -0.116236E+02  -0.871851E+01   0.137396E+02   0.101607E+02  -0.558577E+01   0.103744E+00   0.624596E-02   0.119587E-01   0.189094E-01   0.151551E-01  -0.138760E+04   0.131938E+02   0.000000E+00  -0.140079E+04   0.280159E+04
   0.400696E+02  -0.219414E+01   0.417049E+01   0.691723E+00   0.694572E+01   0.309784E+02  -0.144645E+01   0.208973E+02  -0.444690E+01  -0.116236E+02  -0.871851E+01   0.137396E+02   0.101607E+02  -0.558577E+01   0.103904E+00   0.544286E-02   0.118690E-01   0.189354E-01   0.158966E-01  -0.138233E+04   0.132063E+02   0.000000E+00  -0.139554E+04   0.279107E+04
   0.404531E+02  -0.219414E+01   0.417049E+01   0.691723E+00   0.874898E+01   0.321397E+02  -0.144645E+01   0.208973E+02  -0.448767E+01  -0.116236E+02  -0.871851E+01   0.137396E+02   0.101607E+02  -0.558577E+01   0.104447E+00   0.648949E-02   0.120822E-01   0.181561E-01   0.169387E-01  -0.132861E+04   0.130540E+02   0.000000E+00  -0.134166E+04   0.268333E+04
   0.404531E+02  -0.219414E+01   0.417049E+01   0.691723E+00   0.874898E+01   0.321397E+02  -0.226422E+01   0.208973E+02  -0.448767E+01  -0.116236E+02  -0.890590E+01   0.137396E+02   0.101607E+02  -0.558577E+01   0.105356E+00   0.432533E-02   0.125077E-01   0.189128E-01   0.154156E-01  -0.129182E+04   0.133045E+02   0.000000E+00  -0.130512E+04   0.261025E+04
   0.404531E+02  -0.219414E+01   0.417049E+01   0.478122E+01   0.874898E+01   0.335767E+02  -0.226422E+01   0.208973E+02  -0.448767E+01  -0.116236E+02  -0.890590E+01   0.137396E+02   0.101607E+02  -0.558577E+01   0.105356E+00   0.535530E-02   0.113616E-01   0.189086E-01   0.142915E-01  -0.127021E+04   0.134290E+02   0.000000E+00  -0.128364E+04   0.256728E+04
   0.404531E+02  -0.219414E+01   0.417049E+01   0.478122E+01   0.874898E+01   0.335767E+02  -0.226422E+01   0.208973E+02  -0.448767E+01  -0.116236E+02  -0.890590E+01   0.137396E+02   0.101607E+02  -0.558577E+01   0.106110E+00   0.630933E-02   0.123633E-01   0.174980E-01   0.142915E-01  -0.124782E+04   0.133745E+02   0.000000E+00  -0.126119E+04   0.252239E+04
   0.404531E+02  -0.219414E+01   0.436552E+01   0.478122E+01   0.874898E+01   0.335767E+02  -0.222037E+01   0.204148E+02  -0.448767E+01  -0.116236E+02  -0.890590E+01   0.132669E+02   0.101607E+02  -0.558577E+01   0.106110E+00   0.481283E-02   0.123597E-01   0.179549E-01   0.130348E-01  -0.114283E+04   0.136045E+02   0.000000E+00  -0.115643E+04   0.231287E+04
