a0_min         a1_min         Y1_intercept   Y2_intercept   Y3_intercept   Y4_intercept   Y5_intercept   Y6_intercept   Y7_intercept   Y8_intercept   LogPost        LogPrior       LogHyper       LogLkh         Deviance       
   0.997314E+02   0.230871E+01   0.152000E-03   0.539088E-03   0.127589E-02   0.106589E-02   0.505309E-03   0.286684E-02   0.413424E-03   0.206070E-03   0.183286E+03   0.000000E+00   0.000000E+00   0.183286E+03  -0.366572E+03
   0.997314E+02   0.230871E+01   0.152000E-03   0.822866E-03   0.127589E-02   0.122491E-02   0.505309E-03   0.327493E-02   0.413424E-03   0.206070E-03   0.182001E+03   0.000000E+00   0.000000E+00   0.182001E+03  -0.364002E+03
   0.997314E+02   0.199229E+01   0.152000E-03   0.822866E-03   0.127589E-02   0.122491E-02   0.505309E-03   0.368247E-02   0.413424E-03   0.206070E-03   0.181591E+03   0.000000E+00   0.000000E+00   0.181591E+03  -0.363182E+03
   0.997314E+02   0.137935E+01   0.152000E-03   0.509705E-03   0.127589E-02   0.122491E-02   0.505309E-03   0.368247E-02   0.228693E-03   0.206070E-03   0.182187E+03   0.000000E+00   0.000000E+00   0.182187E+03  -0.364374E+03
   0.997314E+02  -0.702547E+00   0.152000E-03   0.509705E-03   0.161231E-03   0.181273E-02   0.505309E-03   0.368247E-02   0.228693E-03   0.206070E-03   0.181034E+03   0.000000E+00   0.000000E+00   0.181034E+03  -0.362068E+03
   0.100105E+03  -0.702547E+00   0.671020E-03   0.509705E-03   0.161231E-03   0.181273E-02   0.505309E-03   0.368247E-02   0.228693E-03   0.206070E-03   0.180884E+03   0.000000E+00   0.000000E+00   0.180884E+03  -0.361768E+03
   0.100105E+03  -0.702547E+00   0.671020E-03   0.114094E-03   0.161231E-03   0.181273E-02   0.505309E-03   0.368247E-02   0.228693E-03   0.180116E-03   0.180806E+03   0.000000E+00   0.000000E+00   0.180806E+03  -0.361612E+03
   0.100105E+03  -0.858983E+00   0.671020E-03   0.114094E-03   0.161231E-03   0.181273E-02   0.505309E-03   0.160588E-02   0.228693E-03   0.180116E-03   0.183494E+03   0.000000E+00   0.000000E+00   0.183494E+03  -0.366988E+03
   0.100105E+03  -0.858983E+00   0.334550E-03   0.114094E-03   0.397562E-03   0.144464E-02   0.505309E-03   0.160588E-02   0.228693E-03   0.180116E-03   0.185091E+03   0.000000E+00   0.000000E+00   0.185091E+03  -0.370182E+03
   0.100242E+03  -0.858983E+00   0.334550E-03   0.731596E-04   0.397562E-03   0.144464E-02   0.505309E-03   0.934157E-03   0.228693E-03   0.250321E-03   0.186162E+03   0.000000E+00   0.000000E+00   0.186162E+03  -0.372324E+03
   0.100224E+03  -0.858983E+00   0.334550E-03   0.731596E-04   0.397562E-03   0.144464E-02   0.505309E-03   0.934157E-03   0.228693E-03   0.250321E-03   0.186172E+03   0.000000E+00   0.000000E+00   0.186172E+03  -0.372344E+03
   0.100224E+03  -0.858983E+00   0.334550E-03   0.731596E-04   0.190732E-02   0.144464E-02   0.505309E-03   0.934157E-03   0.470568E-03   0.906849E-03   0.182865E+03   0.000000E+00   0.000000E+00   0.182865E+03  -0.365730E+03
   0.100224E+03  -0.144801E+01   0.334550E-03   0.731596E-04   0.575498E-02   0.144464E-02   0.505309E-03   0.934157E-03   0.470568E-03   0.906849E-03   0.178424E+03   0.000000E+00   0.000000E+00   0.178424E+03  -0.356848E+03
   0.100224E+03  -0.728736E+00   0.334550E-03   0.731596E-04   0.575498E-02   0.144464E-02   0.505309E-03   0.934157E-03   0.470568E-03   0.906849E-03   0.178895E+03   0.000000E+00   0.000000E+00   0.178895E+03  -0.357790E+03
   0.100224E+03  -0.728736E+00   0.334550E-03   0.731596E-04   0.634161E-02   0.144464E-02   0.350197E-03   0.934157E-03   0.470568E-03   0.906849E-03   0.178475E+03   0.000000E+00   0.000000E+00   0.178475E+03  -0.356950E+03
   0.100224E+03  -0.728736E+00   0.334550E-03   0.731596E-04   0.634161E-02   0.414511E-03   0.350197E-03   0.934157E-03   0.470568E-03   0.906849E-03   0.179192E+03   0.000000E+00   0.000000E+00   0.179192E+03  -0.358384E+03
   0.100822E+03   0.710157E+01   0.334550E-03   0.280054E-03   0.222665E-02   0.414511E-03   0.350197E-03   0.934157E-03   0.119072E-02   0.906849E-03   0.181524E+03   0.000000E+00   0.000000E+00   0.181524E+03  -0.363048E+03
   0.100822E+03   0.710157E+01   0.334550E-03   0.280054E-03   0.222665E-02   0.434152E-03   0.350197E-03   0.746395E-03   0.119072E-02   0.906849E-03   0.181454E+03   0.000000E+00   0.000000E+00   0.181454E+03  -0.362908E+03
   0.100822E+03   0.255993E+01   0.334550E-03   0.280054E-03   0.962220E-03   0.440168E-03   0.350197E-03   0.746395E-03   0.119072E-02   0.906849E-03   0.185207E+03   0.000000E+00   0.000000E+00   0.185207E+03  -0.370414E+03
   0.100822E+03   0.255993E+01   0.334550E-03   0.280054E-03   0.962220E-03   0.440168E-03   0.350197E-03   0.242645E-03   0.119072E-02   0.906849E-03   0.183580E+03   0.000000E+00   0.000000E+00   0.183580E+03  -0.367160E+03
   0.100822E+03   0.241165E+01   0.334550E-03   0.280054E-03   0.962220E-03   0.553444E-03   0.350197E-03   0.389031E-02   0.119072E-02   0.906849E-03   0.181289E+03   0.000000E+00   0.000000E+00   0.181289E+03  -0.362578E+03
   0.996175E+02   0.241165E+01   0.334550E-03   0.280054E-03   0.862073E-03   0.553444E-03   0.350197E-03   0.163145E-02   0.104622E-02   0.906849E-03   0.184243E+03   0.000000E+00   0.000000E+00   0.184243E+03  -0.368486E+03
   0.996175E+02   0.241165E+01   0.334550E-03   0.280054E-03   0.251471E-03   0.553444E-03   0.350197E-03   0.163145E-02   0.104622E-02   0.906849E-03   0.184638E+03   0.000000E+00   0.000000E+00   0.184638E+03  -0.369276E+03
   0.996175E+02   0.241165E+01   0.334550E-03   0.280054E-03   0.251471E-03   0.553444E-03   0.350197E-03   0.938921E-03   0.104622E-02   0.906849E-03   0.185836E+03   0.000000E+00   0.000000E+00   0.185836E+03  -0.371672E+03
   0.996175E+02   0.241165E+01   0.334550E-03   0.280054E-03   0.251471E-03   0.553444E-03   0.479410E-03   0.938921E-03   0.104622E-02   0.906849E-03   0.185851E+03   0.000000E+00   0.000000E+00   0.185851E+03  -0.371702E+03
   0.996175E+02   0.235481E+01   0.137378E-02   0.190877E-03   0.251471E-03   0.108667E-02   0.479410E-03   0.938921E-03   0.104622E-02   0.906849E-03   0.183561E+03   0.000000E+00   0.000000E+00   0.183561E+03  -0.367122E+03
   0.996175E+02   0.283005E+01   0.130266E-02   0.682706E-03   0.251471E-03   0.900831E-03   0.479410E-03   0.938921E-03   0.104622E-02   0.906849E-03   0.183714E+03   0.000000E+00   0.000000E+00   0.183714E+03  -0.367428E+03
   0.996175E+02   0.283005E+01   0.128316E-02   0.682706E-03   0.251471E-03   0.900831E-03   0.479410E-03   0.938921E-03   0.104622E-02   0.906849E-03   0.183755E+03   0.000000E+00   0.000000E+00   0.183755E+03  -0.367510E+03
   0.996175E+02   0.283005E+01   0.656374E-03   0.682706E-03   0.251471E-03   0.900831E-03   0.479410E-03   0.938921E-03   0.104622E-02   0.906849E-03   0.185047E+03   0.000000E+00   0.000000E+00   0.185047E+03  -0.370094E+03
   0.996175E+02   0.283005E+01   0.656374E-03   0.686850E-03   0.251471E-03   0.446597E-03   0.479410E-03   0.765863E-03   0.104622E-02   0.368473E-03   0.186340E+03   0.000000E+00   0.000000E+00   0.186340E+03  -0.372680E+03
   0.996175E+02   0.283005E+01   0.656374E-03   0.686850E-03   0.251471E-03   0.446597E-03   0.479410E-03   0.765863E-03   0.112382E-02   0.368473E-03   0.186167E+03   0.000000E+00   0.000000E+00   0.186167E+03  -0.372334E+03
   0.996175E+02   0.495881E+01   0.803704E-03   0.686850E-03   0.251471E-03   0.446597E-03   0.479410E-03   0.765863E-03   0.112382E-02   0.368473E-03   0.185557E+03   0.000000E+00   0.000000E+00   0.185557E+03  -0.371114E+03
   0.996175E+02   0.495881E+01   0.179039E-03   0.686850E-03   0.251471E-03   0.446597E-03   0.876704E-03   0.765863E-03   0.123019E-02   0.368473E-03   0.184800E+03   0.000000E+00   0.000000E+00   0.184800E+03  -0.369600E+03
   0.996175E+02   0.383940E+01   0.179039E-03   0.686850E-03   0.251471E-03   0.446597E-03   0.876704E-03   0.765863E-03   0.123019E-02   0.368473E-03   0.185322E+03   0.000000E+00   0.000000E+00   0.185322E+03  -0.370644E+03
   0.996175E+02   0.383940E+01   0.179039E-03   0.686850E-03   0.251471E-03   0.446597E-03   0.876704E-03   0.765863E-03   0.946973E-03   0.368473E-03   0.185950E+03   0.000000E+00   0.000000E+00   0.185950E+03  -0.371900E+03
