"P0" "P1"
1 -1
1 -0.992729035385361
1 -0.982515061283845
1 -0.972301087182328
1 -0.962087113080812
1 -0.951873138979295
1 -0.941659164877779
1 -0.931445190776262
1 -0.921231216674746
1 -0.911132654709969
1 -0.901034092745193
1 -0.890935530780417
1 -0.880836968815641
1 -0.870738406850864
1 -0.860639844886088
1 -0.850541282921312
1 -0.840442720956536
1 -0.83034415899176
1 -0.820245597026983
1 -0.810147035062207
1 -0.800048473097431
1 -0.789949911132655
1 -0.779851349167878
1 -0.769752787203102
1 -0.759654225238326
1 -0.74955566327355
1 -0.739457101308774
1 -0.729358539343997
1 -0.719259977379221
1 -0.709161415414445
1 -0.699062853449669
1 -0.688964291484893
1 -0.678865729520116
1 -0.66876716755534
1 -0.658668605590564
1 -0.648570043625788
1 -0.638471481661012
1 -0.628372919696235
1 -0.618274357731459
1 -0.608175795766683
1 -0.598077233801907
1 -0.58797867183713
1 -0.577880109872354
1 -0.567781547907578
1 -0.557682985942802
1 -0.547584423978026
1 -0.537485862013249
1 -0.527387300048473
1 -0.517288738083697
1 -0.507190176118921
1 -0.497091614154144
1 -0.486993052189368
1 -0.476894490224592
1 -0.466795928259816
1 -0.45669736629504
1 -0.446598804330263
1 -0.436500242365487
1 -0.426401680400711
1 -0.416303118435935
1 -0.406204556471158
1 -0.396105994506382
1 -0.386007432541606
1 -0.37590887057683
1 -0.365810308612054
1 -0.355711746647277
1 -0.345613184682501
1 -0.335514622717725
1 -0.325416060752949
1 -0.315317498788173
1 -0.305218936823396
1 -0.29512037485862
1 -0.285021812893844
1 -0.274923250929068
1 -0.264824688964291
1 -0.254726126999515
1 -0.244627565034739
1 -0.234529003069963
1 -0.224430441105187
1 -0.21433187914041
1 -0.204233317175634
1 -0.194134755210858
1 -0.184036193246082
1 -0.173937631281306
1 -0.163839069316529
1 -0.153740507351753
1 -0.143641945386977
1 -0.133543383422201
1 -0.123444821457425
1 -0.113346259492648
1 -0.103247697527872
1 -0.0931491355630959
1 -0.0830505735983197
1 -0.0729520116335434
1 -0.0628534496687673
1 -0.0527548877039909
1 -0.0426563257392147
1 -0.0325577637744386
1 -0.0224592018096624
1 -0.0123606398448861
1 -0.00226207788010979
1 0.00783648408466631
1 0.0179350460494425
1 0.0280336080142187
1 0.0381321699789949
1 0.0482307319437711
1 0.0583292939085474
1 0.0684278558733236
1 0.0785264178380998
1 0.0886249798028762
1 0.0987235417676522
1 0.108822103732428
1 0.118920665697205
1 0.129019227661981
1 0.139117789626757
1 0.149216351591533
1 0.159314913556309
1 0.169413475521086
1 0.179512037485862
1 0.189610599450638
1 0.199709161415414
1 0.209807723380191
1 0.219906285344967
1 0.230004847309743
1 0.240103409274519
1 0.250201971239295
1 0.260300533204072
1 0.270399095168848
1 0.280497657133624
1 0.2905962190984
1 0.300694781063177
1 0.310793343027953
1 0.320891904992729
1 0.330990466957505
1 0.341089028922281
1 0.351187590887058
1 0.361286152851834
1 0.37138471481661
1 0.381483276781386
1 0.391581838746162
1 0.401680400710939
1 0.411778962675715
1 0.421748810765957
1 0.431718658856199
1 0.441688506946441
1 0.451658355036684
1 0.461628203126926
1 0.471598051217168
1 0.48156789930741
1 0.491537747397652
1 0.501507595487894
1 0.511477443578136
1 0.521447291668378
1 0.53141713975862
1 0.541386987848863
1 0.551356835939105
1 0.561326684029347
1 0.571296532119589
1 0.581266380209831
1 0.591236228300073
1 0.601206076390315
1 0.611175924480557
1 0.6211457725708
1 0.631115620661042
1 0.641085468751284
1 0.651055316841526
1 0.661025164931768
1 0.67099501302201
1 0.680964861112252
1 0.690934709202494
1 0.700904557292736
1 0.710874405382979
1 0.720844253473221
1 0.730814101563463
1 0.740783949653705
1 0.750753797743947
1 0.760723645834189
1 0.770693493924431
1 0.780663342014673
1 0.790633190104916
1 0.800603038195158
1 0.8105728862854
1 0.820542734375642
1 0.830512582465884
1 0.840482430556126
1 0.850452278646368
1 0.86042212673661
1 0.870391974826852
1 0.880361822917095
1 0.890331671007337
1 0.900301519097579
1 0.910271367187821
1 0.920241215278063
1 0.930211063368305
1 0.940180911458547
1 0.950150759548789
1 0.960120607639032
1 0.970090455729274
1 0.980060303819516
1 0.990030151909758
1 1
