a0_min        a1_min        Y1_intercept  Y2_intercept  Y3_intercept  Y4_intercept  Y5_intercept  Y6_intercept  Y7_intercept  Y8_intercept  LogPost       
  0.100000E+03  0.000000E+00  0.100000E-02  0.100000E-02  0.100000E-02  0.100000E-02  0.100000E-02  0.100000E-02  0.100000E-02  0.100000E-02  0.181725E+03
  0.100000E+03  0.000000E+00  0.100000E-02  0.100000E-02  0.100000E-02  0.100000E-02  0.125884E-02  0.100000E-02  0.176793E-02  0.100000E-02  0.179685E+03
  0.100000E+03  0.000000E+00  0.100000E-02  0.100000E-02  0.100000E-02  0.100000E-02  0.125884E-02  0.100000E-02  0.176793E-02  0.100000E-02  0.179685E+03
  0.989938E+02  0.000000E+00  0.100000E-02  0.100000E-02  0.140658E-02  0.100000E-02  0.132121E-02  0.100000E-02  0.176793E-02  0.100000E-02  0.178026E+03
  0.989938E+02  0.000000E+00  0.761389E-03  0.100000E-02  0.140658E-02  0.100000E-02  0.132121E-02  0.834965E-03  0.176793E-02  0.222772E-02  0.176342E+03
  0.989938E+02  0.000000E+00  0.761389E-03  0.100000E-02  0.140658E-02  0.100000E-02  0.132121E-02  0.721040E-03  0.390579E-05  0.247059E-02  0.178304E+03
  0.989938E+02  0.000000E+00  0.761389E-03  0.100000E-02  0.176348E-02  0.100000E-02  0.121454E-02  0.721040E-03  0.390579E-05  0.461529E-03  0.181757E+03
  0.100206E+03  0.000000E+00  0.761389E-03  0.100000E-02  0.176348E-02  0.100000E-02  0.121454E-02  0.721040E-03  0.390579E-05  0.461529E-03  0.182920E+03
  0.100206E+03  0.000000E+00  0.761389E-03  0.100000E-02  0.176348E-02  0.100000E-02  0.121454E-02  0.721040E-03  0.390579E-05  0.461529E-03  0.182920E+03
  0.100206E+03  0.000000E+00  0.761389E-03  0.100000E-02  0.176348E-02  0.100000E-02  0.121454E-02  0.721040E-03  0.390579E-05  0.461529E-03  0.182920E+03
  0.100206E+03  0.000000E+00  0.761389E-03  0.100000E-02  0.176348E-02  0.100000E-02  0.121454E-02  0.721040E-03  0.390579E-05  0.540441E-03  0.182779E+03
  0.100206E+03  0.000000E+00  0.761389E-03  0.100000E-02  0.176348E-02  0.100000E-02  0.121454E-02  0.721040E-03  0.390579E-05  0.540441E-03  0.182779E+03
  0.100206E+03  0.000000E+00  0.761389E-03  0.100000E-02  0.176348E-02  0.100000E-02  0.121454E-02  0.721040E-03  0.347129E-03  0.540441E-03  0.182887E+03
  0.100653E+03  0.000000E+00  0.761389E-03  0.100000E-02  0.134978E-02  0.100000E-02  0.121454E-02  0.721040E-03  0.347129E-03  0.540441E-03  0.183573E+03
  0.100653E+03  0.000000E+00  0.761389E-03  0.100000E-02  0.134978E-02  0.100000E-02  0.121454E-02  0.721040E-03  0.347129E-03  0.540441E-03  0.183573E+03
  0.100653E+03  0.000000E+00  0.761389E-03  0.100000E-02  0.134978E-02  0.100000E-02  0.121454E-02  0.721040E-03  0.594917E-03  0.540441E-03  0.183324E+03
  0.100653E+03  0.211976E+01  0.761389E-03  0.100000E-02  0.134978E-02  0.100000E-02  0.121454E-02  0.721040E-03  0.594917E-03  0.540441E-03  0.183372E+03
  0.100653E+03  0.211976E+01  0.761389E-03  0.100000E-02  0.346416E-03  0.100000E-02  0.121454E-02  0.721040E-03  0.594917E-03  0.540441E-03  0.184478E+03
  0.100653E+03  0.211976E+01  0.761389E-03  0.100000E-02  0.346416E-03  0.100000E-02  0.121454E-02  0.721040E-03  0.594917E-03  0.540441E-03  0.184478E+03
  0.100653E+03  0.441568E+01  0.761389E-03  0.100000E-02  0.346416E-03  0.100000E-02  0.132751E-03  0.721040E-03  0.594917E-03  0.540441E-03  0.185076E+03
  0.100895E+03  0.441568E+01  0.103669E-02  0.100000E-02  0.346416E-03  0.100000E-02  0.132751E-03  0.111006E-02  0.594917E-03  0.888778E-03  0.183277E+03
  0.100641E+03  0.441568E+01  0.103669E-02  0.100000E-02  0.346416E-03  0.100000E-02  0.377540E-03  0.111006E-02  0.594917E-03  0.888778E-03  0.184010E+03
  0.100641E+03  0.441568E+01  0.103669E-02  0.100000E-02  0.346416E-03  0.100000E-02  0.377540E-03  0.111006E-02  0.594917E-03  0.888778E-03  0.184010E+03
  0.100641E+03  0.441568E+01  0.103669E-02  0.100000E-02  0.346416E-03  0.100000E-02  0.377540E-03  0.306224E-02  0.594917E-03  0.888778E-03  0.181239E+03
  0.100641E+03  0.441568E+01  0.103669E-02  0.100000E-02  0.346416E-03  0.100000E-02  0.377540E-03  0.185983E-02  0.594917E-03  0.888778E-03  0.182865E+03
  0.100641E+03  0.441568E+01  0.875223E-03  0.100000E-02  0.346416E-03  0.100000E-02  0.377540E-03  0.185983E-02  0.594917E-03  0.888778E-03  0.183241E+03
  0.100641E+03  0.441568E+01  0.875223E-03  0.100000E-02  0.346416E-03  0.100000E-02  0.377540E-03  0.185983E-02  0.594917E-03  0.888778E-03  0.183241E+03
  0.100641E+03  0.451423E+01  0.875223E-03  0.100000E-02  0.346416E-03  0.771711E-03  0.377540E-03  0.185983E-02  0.594917E-03  0.845974E-03  0.183627E+03
  0.100641E+03  0.465980E+01  0.875223E-03  0.100000E-02  0.346416E-03  0.771711E-03  0.377540E-03  0.185983E-02  0.594917E-03  0.845974E-03  0.183612E+03
  0.100641E+03  0.768662E+01  0.875223E-03  0.100000E-02  0.346416E-03  0.771711E-03  0.377540E-03  0.185983E-02  0.594917E-03  0.845974E-03  0.182689E+03
  0.100641E+03  0.652595E+01  0.875223E-03  0.100000E-02  0.346416E-03  0.771711E-03  0.637821E-03  0.185983E-02  0.594917E-03  0.845974E-03  0.183057E+03
  0.100641E+03  0.798716E+01  0.875223E-03  0.100000E-02  0.346416E-03  0.771711E-03  0.637821E-03  0.239251E-02  0.594917E-03  0.676442E-03  0.181846E+03
  0.100641E+03  0.798716E+01  0.875223E-03  0.100000E-02  0.346416E-03  0.771711E-03  0.597051E-03  0.239251E-02  0.594917E-03  0.676442E-03  0.181894E+03
  0.100641E+03  0.798716E+01  0.875223E-03  0.100000E-02  0.346416E-03  0.771711E-03  0.597051E-03  0.239251E-02  0.594917E-03  0.676442E-03  0.181894E+03
  0.100641E+03  0.646196E+01  0.875223E-03  0.100000E-02  0.346416E-03  0.771711E-03  0.597051E-03  0.239251E-02  0.594917E-03  0.676442E-03  0.182599E+03
  0.100267E+03  0.646196E+01  0.875223E-03  0.100000E-02  0.346416E-03  0.771711E-03  0.597051E-03  0.239251E-02  0.594917E-03  0.676442E-03  0.182799E+03
  0.100267E+03  0.646196E+01  0.875223E-03  0.100000E-02  0.346416E-03  0.771711E-03  0.597051E-03  0.239251E-02  0.594917E-03  0.676442E-03  0.182799E+03
  0.100267E+03  0.646196E+01  0.875223E-03  0.100000E-02  0.346416E-03  0.771711E-03  0.577666E-03  0.239251E-02  0.594917E-03  0.676442E-03  0.182823E+03
  0.100267E+03  0.646196E+01  0.875223E-03  0.100000E-02  0.346416E-03  0.771711E-03  0.577666E-03  0.239251E-02  0.594917E-03  0.676442E-03  0.182823E+03
  0.100267E+03  0.646196E+01  0.819574E-03  0.687217E-04  0.346416E-03  0.546809E-03  0.577666E-03  0.239251E-02  0.594917E-03  0.676442E-03  0.183926E+03
  0.100267E+03  0.646196E+01  0.819574E-03  0.687217E-04  0.346416E-03  0.546809E-03  0.621516E-03  0.784256E-03  0.594917E-03  0.676442E-03  0.185922E+03
  0.100267E+03  0.551664E+01  0.819574E-03  0.687217E-04  0.346416E-03  0.546809E-03  0.621516E-03  0.784256E-03  0.594917E-03  0.676442E-03  0.186462E+03
  0.100267E+03  0.294098E+01  0.819574E-03  0.687217E-04  0.346416E-03  0.546809E-03  0.621516E-03  0.784256E-03  0.594917E-03  0.676442E-03  0.187038E+03
  0.100267E+03  0.294098E+01  0.819574E-03  0.687217E-04  0.346416E-03  0.546809E-03  0.621516E-03  0.784256E-03  0.594917E-03  0.676442E-03  0.187038E+03
  0.100267E+03  0.716841E+01  0.819574E-03  0.687217E-04  0.346416E-03  0.546809E-03  0.621516E-03  0.784256E-03  0.594917E-03  0.676442E-03  0.185399E+03
  0.100267E+03  0.716841E+01  0.819574E-03  0.687217E-04  0.346416E-03  0.546809E-03  0.621516E-03  0.187360E-02  0.594917E-03  0.676442E-03  0.184179E+03
  0.100267E+03  0.362531E+00  0.819574E-03  0.687217E-04  0.346416E-03  0.546809E-03  0.621516E-03  0.182781E-02  0.594917E-03  0.676442E-03  0.184648E+03
  0.100267E+03  0.232720E+01  0.819574E-03  0.687217E-04  0.346416E-03  0.546809E-03  0.621516E-03  0.182781E-02  0.594917E-03  0.676442E-03  0.185376E+03
  0.100267E+03  0.232720E+01  0.819574E-03  0.687217E-04  0.346416E-03  0.922777E-03  0.256341E-04  0.182781E-02  0.594917E-03  0.676442E-03  0.184889E+03
  0.100267E+03  0.232720E+01  0.819574E-03  0.687217E-04  0.346416E-03  0.922777E-03  0.256341E-04  0.182781E-02  0.594917E-03  0.676442E-03  0.184889E+03
  0.100267E+03  0.232720E+01  0.819574E-03  0.687217E-04  0.346416E-03  0.812742E-03  0.256341E-04  0.255683E-02  0.594917E-03  0.676442E-03  0.183934E+03
  0.100267E+03  0.232720E+01  0.995930E-03  0.687217E-04  0.346416E-03  0.812742E-03  0.256341E-04  0.189502E-02  0.594917E-03  0.676442E-03  0.184508E+03
  0.100267E+03  0.232720E+01  0.995930E-03  0.687217E-04  0.346416E-03  0.812742E-03  0.256341E-04  0.189502E-02  0.194250E-03  0.676442E-03  0.184637E+03
  0.100267E+03  0.232720E+01  0.405698E-03  0.687217E-04  0.346416E-03  0.812742E-03  0.199855E-03  0.889081E-03  0.194250E-03  0.676442E-03  0.187593E+03
  0.100267E+03  0.232720E+01  0.405698E-03  0.127918E-03  0.346416E-03  0.812742E-03  0.199855E-03  0.889081E-03  0.194250E-03  0.676442E-03  0.187626E+03
  0.100267E+03  0.232720E+01  0.405698E-03  0.127918E-03  0.346416E-03  0.812742E-03  0.199855E-03  0.402479E-03  0.194250E-03  0.676442E-03  0.187289E+03
  0.990428E+02  0.232720E+01  0.405698E-03  0.127918E-03  0.346416E-03  0.812742E-03  0.148234E-02  0.402479E-03  0.472941E-03  0.676442E-03  0.184773E+03
  0.990428E+02  0.232720E+01  0.405698E-03  0.127918E-03  0.346416E-03  0.812742E-03  0.148234E-02  0.402479E-03  0.472941E-03  0.676442E-03  0.184773E+03
  0.990428E+02  0.232720E+01  0.405698E-03  0.106393E-02  0.346416E-03  0.812742E-03  0.148234E-02  0.105594E-02  0.472941E-03  0.676442E-03  0.183724E+03
  0.990428E+02  0.232720E+01  0.405698E-03  0.106393E-02  0.346416E-03  0.812742E-03  0.148234E-02  0.105594E-02  0.472941E-03  0.676442E-03  0.183724E+03
  0.100077E+03  0.514977E+01  0.405698E-03  0.106393E-02  0.346416E-03  0.812742E-03  0.148234E-02  0.105594E-02  0.472941E-03  0.133727E-02  0.182693E+03
  0.100077E+03  0.514977E+01  0.405698E-03  0.106393E-02  0.346416E-03  0.812742E-03  0.148234E-02  0.105594E-02  0.472941E-03  0.133727E-02  0.182693E+03
  0.100077E+03  0.514977E+01  0.405698E-03  0.106393E-02  0.346416E-03  0.812742E-03  0.148234E-02  0.105594E-02  0.472941E-03  0.133727E-02  0.182693E+03
  0.100077E+03  0.514977E+01  0.405698E-03  0.106393E-02  0.346416E-03  0.812742E-03  0.148234E-02  0.105594E-02  0.472941E-03  0.133727E-02  0.182693E+03
  0.100077E+03  0.514977E+01  0.405698E-03  0.106393E-02  0.346416E-03  0.812742E-03  0.290067E-03  0.105594E-02  0.472941E-03  0.133727E-02  0.184520E+03
  0.100077E+03  0.654695E+01  0.405698E-03  0.106393E-02  0.346416E-03  0.812742E-03  0.290067E-03  0.105594E-02  0.472941E-03  0.133727E-02  0.183895E+03
  0.100077E+03  0.654695E+01  0.405698E-03  0.106393E-02  0.346416E-03  0.812742E-03  0.290067E-03  0.105594E-02  0.472941E-03  0.133727E-02  0.183895E+03
  0.100077E+03  0.654695E+01  0.405698E-03  0.106393E-02  0.346416E-03  0.812742E-03  0.290067E-03  0.105594E-02  0.472941E-03  0.271599E-03  0.184993E+03
  0.100077E+03  0.692031E+01  0.405698E-03  0.106393E-02  0.609188E-03  0.812742E-03  0.290067E-03  0.105594E-02  0.472941E-03  0.271599E-03  0.184408E+03
  0.100077E+03  0.692031E+01  0.405698E-03  0.106393E-02  0.609188E-03  0.812742E-03  0.290067E-03  0.105594E-02  0.472941E-03  0.271599E-03  0.184408E+03
  0.100077E+03  0.692031E+01  0.405698E-03  0.129399E-02  0.609188E-03  0.812742E-03  0.290067E-03  0.105594E-02  0.798495E-03  0.271599E-03  0.183673E+03
  0.100077E+03  0.692031E+01  0.405698E-03  0.129399E-02  0.609188E-03  0.812742E-03  0.290067E-03  0.105594E-02  0.798495E-03  0.271599E-03  0.183673E+03
  0.100077E+03  0.692031E+01  0.405698E-03  0.129399E-02  0.609188E-03  0.812742E-03  0.290067E-03  0.105594E-02  0.798495E-03  0.271599E-03  0.183673E+03
  0.100077E+03  0.699997E+01  0.405698E-03  0.129399E-02  0.609188E-03  0.812742E-03  0.290067E-03  0.105594E-02  0.798495E-03  0.271599E-03  0.183601E+03
  0.100077E+03 -0.716154E+00  0.405698E-03  0.129399E-02  0.609188E-03  0.812742E-03  0.290067E-03  0.123546E-02  0.798495E-03  0.271599E-03  0.184610E+03
  0.100077E+03 -0.716154E+00  0.405698E-03  0.419484E-03  0.609188E-03  0.812742E-03  0.290067E-03  0.123546E-02  0.798495E-03  0.271599E-03  0.186325E+03
  0.100077E+03  0.588843E+01  0.405698E-03  0.419484E-03  0.609188E-03  0.114418E-02  0.290067E-03  0.123546E-02  0.798495E-03  0.271599E-03  0.185344E+03
  0.100077E+03  0.587182E+01  0.405698E-03  0.419484E-03  0.609188E-03  0.114418E-02  0.290067E-03  0.123546E-02  0.798495E-03  0.271599E-03  0.185357E+03
  0.100077E+03 -0.106745E+01  0.405698E-03  0.419484E-03  0.609188E-03  0.114418E-02  0.561810E-03  0.123546E-02  0.798495E-03  0.271599E-03  0.185778E+03
