               a0_min         a1_min         Y1_intercept   Y2_intercept   Y3_intercept   Y4_intercept   Y5_intercept   Y6_intercept   Y7_intercept   Y8_intercept   
N                 0.401000E+03   0.401000E+03   0.401000E+03   0.401000E+03   0.401000E+03   0.401000E+03   0.401000E+03   0.401000E+03   0.401000E+03   0.401000E+03
Minimum           0.982390E+02  -0.508707E+01   0.245030E-04   0.576660E-05   0.674110E-05   0.566165E-04   0.209139E-04   0.652617E-05   0.179311E-05   0.655484E-05
Maximum           0.102181E+03   0.997423E+01   0.470581E-02   0.256445E-02   0.634161E-02   0.640966E-02   0.959725E-02   0.698263E-02   0.645084E-02   0.299404E-02
Range             0.394200E+01   0.150613E+02   0.468131E-02   0.255868E-02   0.633487E-02   0.635304E-02   0.957634E-02   0.697610E-02   0.644905E-02   0.298749E-02
Mean              0.100215E+03   0.224603E+01   0.701554E-03   0.543827E-03   0.741971E-03   0.944675E-03   0.961480E-03   0.124671E-02   0.746070E-03   0.628930E-03
Median            0.100194E+03   0.234655E+01   0.568791E-03   0.467607E-03   0.592989E-03   0.831683E-03   0.538308E-03   0.938921E-03   0.665290E-03   0.516516E-03
Q10%              0.993410E+02  -0.146769E+01   0.170355E-03   0.114094E-03   0.251471E-03   0.227665E-03   0.266656E-03   0.393996E-03   0.107712E-03   0.156134E-03
Q25%              0.996470E+02   0.556328E+00   0.291886E-03   0.280054E-03   0.362511E-03   0.513745E-03   0.350197E-03   0.666306E-03   0.240433E-03   0.206070E-03
Q75%              0.100822E+03   0.387390E+01   0.820582E-03   0.682706E-03   0.957744E-03   0.122285E-02   0.118873E-02   0.161659E-02   0.991388E-03   0.900547E-03
Q90%              0.101184E+03   0.555080E+01   0.142098E-02   0.117675E-02   0.130534E-02   0.171893E-02   0.207947E-02   0.246778E-02   0.130741E-02   0.136332E-02
St.Dev.           0.768533E+00   0.263778E+01   0.665305E-03   0.426268E-03   0.678997E-03   0.694656E-03   0.108464E-02   0.101386E-02   0.784903E-03   0.513831E-03
Variance          0.590643E+00   0.695789E+01   0.442631E-06   0.181704E-06   0.461037E-06   0.482547E-06   0.117644E-05   0.102791E-05   0.616073E-06   0.264022E-06
CV                0.766884E-02   0.117442E+01   0.948331E+00   0.783830E+00   0.915127E+00   0.735339E+00   0.112809E+01   0.813230E+00   0.105205E+01   0.816992E+00
Skewness          0.203891E+00  -0.199475E+00   0.270612E+01   0.182472E+01   0.502004E+01   0.237265E+01   0.373097E+01   0.238739E+01   0.371266E+01   0.166700E+01
Kurtosis         -0.851632E-01  -0.484561E-01   0.995297E+01   0.384194E+01   0.361123E+02   0.113796E+02   0.200842E+02   0.806162E+01   0.208241E+02   0.438126E+01
MaxPost           0.100233E+03   0.273967E+01   0.568791E-03   0.175495E-03   0.539100E-03   0.697536E-03   0.474041E-03   0.100798E-02   0.389374E-03   0.698424E-04
