Km_a0         Km_a1         Km_a2         Km_a3         Km_a4         Km_a5         Km_a6         Km_a7         Km_a8         Km_a9         Km_a10        Km_a11        Km_a12        Km_a13        Y1_intercept  Y2_intercept  Y3_intercept  Y4_intercept  Y5_intercept  LogPost       
  0.286349E+02  0.247135E+01 -0.471233E+01  0.264713E+01  0.467221E+01  0.348945E+01 -0.386383E+01 -0.126885E+01 -0.128115E+01 -0.216663E+02 -0.189770E+01  0.796539E+01  0.100564E+02  0.167603E+02  0.710327E-02  0.590039E-02  0.123946E-01  0.121831E-01  0.847383E-02  0.267758E+03
  0.286349E+02  0.247135E+01 -0.471233E+01  0.493033E+01  0.467221E+01  0.348945E+01 -0.810436E+01  0.303230E+01 -0.128115E+01 -0.229541E+02 -0.189770E+01  0.796539E+01  0.114565E+02  0.167603E+02  0.640125E-02  0.678437E-02  0.139104E-01  0.106725E-01  0.914890E-02  0.264909E+03
  0.286349E+02  0.247135E+01 -0.471233E+01  0.493033E+01  0.467221E+01  0.348945E+01 -0.810436E+01  0.514601E+01 -0.128115E+01 -0.229541E+02 -0.189770E+01  0.796539E+01  0.114565E+02  0.198858E+02  0.496291E-02  0.827879E-02  0.122557E-01  0.114518E-01  0.103165E-01  0.260977E+03
  0.286349E+02  0.247135E+01 -0.471233E+01  0.493033E+01  0.467221E+01  0.348945E+01 -0.810436E+01  0.514601E+01 -0.128115E+01 -0.262831E+02 -0.189770E+01  0.809671E+01  0.114565E+02  0.198858E+02  0.496291E-02  0.697012E-02  0.125297E-01  0.116189E-01  0.114417E-01  0.263103E+03
  0.286349E+02  0.247135E+01 -0.471233E+01  0.178214E+01  0.467221E+01  0.348945E+01 -0.579406E+01  0.552198E+01 -0.187704E+01 -0.262831E+02 -0.189770E+01  0.809671E+01  0.114565E+02  0.144661E+02  0.492354E-02  0.529564E-02  0.116261E-01  0.127693E-01  0.100963E-01  0.261907E+03
  0.286349E+02  0.247135E+01 -0.606009E+01  0.167211E+01  0.467221E+01  0.348945E+01 -0.410958E+01  0.552198E+01 -0.187704E+01 -0.261068E+02 -0.753305E+00  0.809671E+01  0.938891E+01  0.138043E+02  0.645350E-02  0.454810E-02  0.116261E-01  0.132610E-01  0.110761E-01  0.261304E+03
  0.286349E+02  0.247135E+01 -0.785888E+01  0.127144E+01  0.604430E+01  0.348945E+01 -0.410958E+01  0.493175E+01 -0.187704E+01 -0.261068E+02 -0.753305E+00  0.127217E+02  0.938891E+01  0.160008E+02  0.590750E-02  0.528056E-02  0.126812E-01  0.132729E-01  0.107728E-01  0.262900E+03
  0.286349E+02  0.247135E+01 -0.785888E+01 -0.546945E+00  0.604430E+01  0.348945E+01 -0.952600E+00  0.493175E+01 -0.236364E+01 -0.238880E+02 -0.753305E+00  0.984297E+01  0.938891E+01  0.165738E+02  0.590750E-02  0.413345E-02  0.119796E-01  0.128617E-01  0.999783E-02  0.262009E+03
  0.286349E+02  0.247135E+01 -0.785888E+01 -0.546945E+00  0.604430E+01  0.348945E+01 -0.952600E+00  0.493175E+01 -0.236364E+01 -0.234973E+02 -0.753305E+00  0.984297E+01  0.938891E+01  0.165738E+02  0.479107E-02  0.148970E-02  0.122536E-01  0.114825E-01  0.102293E-01  0.262481E+03
  0.286349E+02  0.247135E+01 -0.785888E+01 -0.546945E+00  0.551920E+01  0.400676E+01  0.458687E+00  0.493175E+01 -0.236364E+01 -0.234973E+02 -0.259184E+01  0.984297E+01  0.938891E+01  0.165738E+02  0.359771E-02  0.148970E-02  0.128223E-01  0.126910E-01  0.110812E-01  0.258713E+03
