event	reach	x	t	WSE	Q	V	Kmin	Kflood	Yu_WSE	Yu_Q	Yu_V	Yu_Kmin	Yu_Kflood
1	2	41568	112680	-9999	1045.249628	-9999	-9999	-9999	-9999	52.8417146925846	-9999	-9999	-9999
1	2	41568	113040	-9999	1040.478889	-9999	-9999	-9999	-9999	52.4415905157627	-9999	-9999	-9999
1	2	41568	113280	-9999	1077.046452	-9999	-9999	-9999	-9999	56.9418142135739	-9999	-9999	-9999
1	2	41568	113340	-9999	1033.510114	-9999	-9999	-9999	-9999	52.4542094448624	-9999	-9999	-9999
1	2	41568	113760	-9999	990.6746984	-9999	-9999	-9999	-9999	50.1174714982196	-9999	-9999	-9999
1	2	41568	113820	-9999	1004.853225	-9999	-9999	-9999	-9999	51.3296383606589	-9999	-9999	-9999
1	2	41568	114660	-9999	1013.697656	-9999	-9999	-9999	-9999	51.0445646226444	-9999	-9999	-9999
1	2	41568	114720	-9999	967.2433161	-9999	-9999	-9999	-9999	55.3373050849589	-9999	-9999	-9999
1	2	41568	115080	-9999	1014.096896	-9999	-9999	-9999	-9999	51.1145390999019	-9999	-9999	-9999
1	2	41568	115380	-9999	996.5796078	-9999	-9999	-9999	-9999	50.6775164907247	-9999	-9999	-9999
1	2	41568	115440	-9999	949.8368331	-9999	-9999	-9999	-9999	59.0418939992046	-9999	-9999	-9999
1	2	41568	115860	-9999	943.5844455	-9999	-9999	-9999	-9999	47.607768223113	-9999	-9999	-9999
1	2	41568	115920	-9999	936.1469075	-9999	-9999	-9999	-9999	47.3029530573895	-9999	-9999	-9999
1	2	41568	116820	-9999	956.1099356	-9999	-9999	-9999	-9999	48.1963299377904	-9999	-9999	-9999
1	2	41568	116880	-9999	922.8577192	-9999	-9999	-9999	-9999	46.6717741154108	-9999	-9999	-9999
1	2	41568	117120	-9999	934.3346212	-9999	-9999	-9999	-9999	47.0873036177528	-9999	-9999	-9999
1	2	41568	117180	-9999	899.1386942	-9999	-9999	-9999	-9999	45.5367618574761	-9999	-9999	-9999
