               a0_min         a1_min         a2_min         Y1_intercept   Y2_intercept   Y3_intercept   Y4_intercept   Y5_intercept   
N                 0.500000E+03   0.500000E+03   0.500000E+03   0.500000E+03   0.500000E+03   0.500000E+03   0.500000E+03   0.500000E+03
Minimum           0.946043E+02  -0.364778E+02  -0.347447E+02   0.130484E-06   0.578936E+01   0.531739E+01   0.913928E+01   0.800510E+01
Maximum           0.120658E+03   0.259502E+02   0.882179E+02   0.307265E-02   0.192096E+02   0.181638E+02   0.241362E+02   0.267317E+02
Range             0.260537E+02   0.624280E+02   0.122963E+03   0.307252E-02   0.134202E+02   0.128464E+02   0.149969E+02   0.187266E+02
Mean              0.996218E+02   0.232557E+01  -0.249196E+01   0.459017E-03   0.101565E+02   0.101518E+02   0.151785E+02   0.153977E+02
Median            0.994373E+02   0.238931E+01  -0.337216E+01   0.334017E-03   0.995396E+01   0.100298E+02   0.149175E+02   0.150524E+02
Q10%              0.974632E+02  -0.486923E+01  -0.186157E+02   0.659542E-04   0.766398E+01   0.773790E+01   0.115059E+02   0.116885E+02
Q25%              0.984448E+02  -0.716035E+00  -0.113056E+02   0.147695E-03   0.872365E+01   0.860577E+01   0.128056E+02   0.131996E+02
Q75%              0.100589E+03   0.579908E+01   0.501225E+01   0.646602E-03   0.114188E+02   0.114463E+02   0.170000E+02   0.174035E+02
Q90%              0.101869E+03   0.916585E+01   0.134885E+02   0.100958E-02   0.127933E+02   0.128509E+02   0.192735E+02   0.196215E+02
St.Dev.           0.203186E+01   0.583383E+01   0.133803E+02   0.428182E-03   0.201820E+01   0.205605E+01   0.299226E+01   0.305439E+01
Variance          0.412847E+01   0.340336E+02   0.179032E+03   0.183340E-06   0.407314E+01   0.422736E+01   0.895361E+01   0.932928E+01
CV                0.203958E-01   0.250857E+01   0.536938E+01   0.932824E+00   0.198711E+00   0.202532E+00   0.197138E+00   0.198367E+00
Skewness          0.285579E+01  -0.524418E+00   0.117352E+01   0.181196E+01   0.531270E+00   0.433406E+00   0.450251E+00   0.444835E+00
Kurtosis          0.247928E+02   0.419262E+01   0.512204E+01   0.466689E+01   0.553802E+00   0.245605E+00  -0.200088E+00   0.229659E+00
MaxPost           0.989308E+02   0.485142E+01  -0.229979E+01   0.131291E-04   0.922030E+01   0.959765E+01   0.147478E+02   0.150929E+02
