Spanwise profiles of the dimensionless mean streamwise velocity at x* from 2.2 to 16.8 positions for case Qf = 8 L/s and z* = 0.94,,
x* (m),y (mm),Ux (cm/s)
16.8,1020,48.729
16.8,1040,51.364
16.8,1060,54.4045
16.8,1080,56.8815
16.8,1100,59.7904
16.8,1150,65.0825
16.8,1200,69.6027
16.8,1250,74.6541
16.8,1300,78.7594
16.8,1350,81.9576
16.8,1400,83.6977
16.8,1450,83.4984
16.8,1500,82.3392
