a0_min         Y1_intercept   Y2_intercept   Y3_intercept   Y4_intercept   Y5_intercept   LogPost        
   0.101098E+03   0.645611E-03   0.109919E+02   0.185951E+02   0.220854E+02   0.171524E+02   0.302624E+02
   0.990045E+02   0.125561E-03   0.691350E+01   0.928096E+01   0.180371E+02   0.145713E+02   0.387106E+02
   0.982366E+02   0.333034E-03   0.829632E+01   0.121958E+02   0.128623E+02   0.134625E+02   0.387812E+02
   0.982447E+02   0.230844E-03   0.133543E+02   0.111045E+02   0.170956E+02   0.156441E+02   0.381044E+02
   0.982300E+02   0.532133E-03   0.854782E+01   0.998288E+01   0.156735E+02   0.166168E+02   0.389238E+02
   0.995507E+02   0.694622E-03   0.886451E+01   0.876169E+01   0.255553E+02   0.131512E+02   0.348141E+02
   0.942489E+02   0.124006E-02   0.886451E+01   0.802930E+01   0.210832E+02   0.130174E+02   0.307840E+02
   0.969468E+02   0.144794E-03   0.740542E+01   0.101091E+02   0.193883E+02   0.160456E+02   0.363926E+02
   0.997736E+02   0.834679E-04   0.755593E+01   0.911614E+01   0.119365E+02   0.122917E+02   0.391883E+02
   0.983186E+02   0.834679E-04   0.110762E+02   0.737901E+01   0.109202E+02   0.167332E+02   0.380292E+02
   0.100053E+03   0.225938E-04   0.120463E+02   0.107973E+02   0.181375E+02   0.869487E+01   0.359398E+02
   0.993812E+02   0.225938E-04   0.103460E+02   0.114679E+02   0.127453E+02   0.164995E+02   0.399307E+02
   0.986226E+02   0.354481E-03   0.975225E+01   0.885610E+01   0.164715E+02   0.183781E+02   0.391202E+02
   0.982462E+02   0.996388E-04   0.104758E+02   0.112048E+02   0.119403E+02   0.142457E+02   0.394931E+02
   0.101048E+03   0.996388E-04   0.960793E+01   0.140779E+02   0.161870E+02   0.170721E+02   0.372911E+02
   0.975997E+02   0.115181E-02   0.100034E+02   0.927447E+01   0.127748E+02   0.199929E+02   0.353832E+02
   0.995471E+02   0.435916E-03   0.116584E+02   0.106704E+02   0.189508E+02   0.171705E+02   0.381665E+02
   0.100733E+03   0.322841E-04   0.100704E+02   0.596525E+01   0.147267E+02   0.101876E+02   0.356679E+02
   0.989931E+02   0.416343E-04   0.764193E+01   0.989857E+01   0.129033E+02   0.122720E+02   0.396212E+02
   0.989931E+02   0.258978E-03   0.912658E+01   0.822263E+01   0.153789E+02   0.110313E+02   0.392294E+02
   0.987707E+02   0.146417E-03   0.141970E+02   0.112272E+02   0.163881E+02   0.159167E+02   0.380733E+02
   0.989544E+02   0.274065E-03   0.915960E+01   0.932513E+01   0.145742E+02   0.149208E+02   0.404151E+02
   0.989544E+02   0.211696E-03   0.146353E+02   0.969416E+01   0.182462E+02   0.121515E+02   0.373107E+02
   0.986804E+02   0.649973E-03   0.110210E+02   0.110155E+02   0.192224E+02   0.158343E+02   0.376650E+02
   0.978430E+02   0.394280E-03   0.847063E+01   0.733713E+01   0.168937E+02   0.151150E+02   0.380429E+02
   0.979516E+02   0.659226E-03   0.108103E+02   0.915542E+01   0.110795E+02   0.131102E+02   0.376837E+02
   0.101616E+03   0.287233E-03   0.941618E+01   0.111743E+02   0.101452E+02   0.963383E+01   0.348115E+02
   0.985733E+02   0.286392E-04   0.999011E+01   0.701883E+01   0.127212E+02   0.163304E+02   0.389476E+02
   0.985733E+02   0.605108E-03   0.109033E+02   0.119987E+02   0.123696E+02   0.979984E+01   0.364297E+02
   0.985733E+02   0.325520E-03   0.133235E+02   0.101970E+02   0.152441E+02   0.139663E+02   0.387781E+02
   0.994776E+02   0.209862E-03   0.979643E+01   0.920014E+01   0.142921E+02   0.143200E+02   0.405986E+02
   0.989960E+02   0.351282E-03   0.979643E+01   0.129272E+02   0.137795E+02   0.155953E+02   0.390996E+02
   0.980358E+02   0.309729E-03   0.140846E+02   0.106446E+02   0.141810E+02   0.112532E+02   0.371318E+02
   0.102936E+03   0.105169E-02   0.869383E+01   0.970984E+01   0.130893E+02   0.991935E+01   0.337151E+02
   0.983926E+02   0.827230E-03   0.125807E+02   0.635108E+01   0.110896E+02   0.172669E+02   0.342000E+02
   0.983941E+02   0.400811E-03   0.100361E+02   0.760732E+01   0.127025E+02   0.150930E+02   0.389942E+02
   0.100192E+03   0.529419E-03   0.914276E+01   0.107824E+02   0.148856E+02   0.150531E+02   0.393596E+02
   0.986876E+02   0.566675E-03   0.946521E+01   0.127845E+02   0.174294E+02   0.116641E+02   0.375413E+02
   0.102756E+03   0.711167E-04   0.106920E+02   0.842443E+01   0.141683E+02   0.111759E+02   0.352512E+02
   0.100751E+03   0.579720E-03   0.834974E+01   0.997631E+01   0.176095E+02   0.130878E+02   0.381983E+02
   0.992833E+02   0.579720E-03   0.716083E+01   0.880709E+01   0.131259E+02   0.135421E+02   0.383087E+02
   0.973043E+02   0.221408E-03   0.864116E+01   0.947654E+01   0.166328E+02   0.148453E+02   0.386613E+02
   0.979850E+02   0.886277E-03   0.138822E+02   0.116311E+02   0.172349E+02   0.174815E+02   0.350905E+02
   0.985870E+02   0.813913E-03   0.154228E+02   0.115448E+02   0.208562E+02   0.119138E+02   0.332591E+02
   0.986722E+02   0.311422E-03   0.832396E+01   0.110836E+02   0.162489E+02   0.130561E+02   0.394764E+02
   0.101092E+03   0.140589E-03   0.107349E+02   0.109044E+02   0.145129E+02   0.119504E+02   0.387719E+02
   0.101344E+03   0.140589E-03   0.803458E+01   0.715071E+01   0.164396E+02   0.184331E+02   0.367543E+02
   0.998961E+02   0.105298E-02   0.931562E+01   0.632772E+01   0.117126E+02   0.120509E+02   0.346092E+02
   0.998961E+02   0.352993E-03   0.868104E+01   0.907453E+01   0.158506E+02   0.120509E+02   0.395405E+02
   0.989073E+02   0.352993E-03   0.114471E+02   0.975217E+01   0.152869E+02   0.124987E+02   0.395983E+02
   0.989073E+02   0.203584E-03   0.796572E+01   0.998518E+01   0.174068E+02   0.156420E+02   0.395991E+02
   0.989490E+02   0.203584E-03   0.126833E+02   0.717688E+01   0.150663E+02   0.187517E+02   0.376794E+02
   0.101463E+03   0.326827E-03   0.723894E+01   0.755073E+01   0.222887E+02   0.111282E+02   0.339215E+02
   0.101463E+03   0.241702E-03   0.122907E+02   0.842009E+01   0.142150E+02   0.171191E+02   0.376105E+02
   0.986244E+02   0.786006E-04   0.779580E+01   0.955597E+01   0.137354E+02   0.210504E+02   0.382276E+02
   0.100105E+03   0.374320E-03   0.120526E+02   0.110427E+02   0.116325E+02   0.139799E+02   0.386097E+02
   0.100087E+03   0.657444E-03   0.764883E+01   0.774272E+01   0.120893E+02   0.116148E+02   0.370075E+02
   0.100006E+03   0.259593E-03   0.883814E+01   0.133351E+02   0.202410E+02   0.150569E+02   0.374802E+02
   0.990122E+02   0.738771E-04   0.739248E+01   0.805462E+01   0.115404E+02   0.164308E+02   0.386738E+02
   0.975275E+02   0.130078E-04   0.124112E+02   0.985515E+01   0.123862E+02   0.137068E+02   0.383857E+02
   0.102238E+03   0.431739E-03   0.105136E+02   0.863187E+01   0.152839E+02   0.154788E+02   0.371554E+02
   0.989193E+02   0.634789E-03   0.825503E+01   0.112237E+02   0.162213E+02   0.147970E+02   0.386287E+02
   0.997782E+02   0.307658E-04   0.832127E+01   0.772867E+01   0.138436E+02   0.140283E+02   0.398450E+02
   0.997782E+02   0.238850E-04   0.929219E+01   0.934939E+01   0.116756E+02   0.144155E+02   0.401489E+02
   0.995674E+02   0.105020E-03   0.913622E+01   0.125633E+02   0.120207E+02   0.123676E+02   0.391083E+02
   0.995674E+02   0.210793E-03   0.869927E+01   0.125534E+02   0.154539E+02   0.144453E+02   0.395346E+02
   0.100521E+03   0.543678E-04   0.117863E+02   0.115108E+02   0.141592E+02   0.120562E+02   0.389145E+02
   0.100521E+03   0.687135E-03   0.862890E+01   0.166201E+02   0.154206E+02   0.220112E+02   0.326957E+02
   0.975705E+02   0.269210E-03   0.115047E+02   0.999847E+01   0.180470E+02   0.132495E+02   0.382573E+02
   0.101821E+03   0.471648E-03   0.852966E+01   0.937373E+01   0.170385E+02   0.173174E+02   0.371801E+02
