"Typology" "SU" "param_name" "prior.dist" "par_1" "par_2" "covariate" "scaled" "1" "2" "3" "4" "5" "6" "7" "8" "9" "10" "11" "12" "13" "14" "15" "16" "17" "18" "19" "20"
"Seine" "SU1" "Km_SU1_a10" "Gaussian" 9.99200722162641e-15 35.453017311356 125439.090909091 0.818181818181818 -0.822406222182267 -5.22025748852236e-15 -0.929202138096257 -4.90304097951183e-15 -0.918556192887049 -4.20166349304017e-15 -0.612347650071335 6.03831817449677e-15 0.796177307567069 4.97413307980311e-15 1 4.15074713386166e-15 0 0 0 0 0 0 0 0
"Seine" "SU1" "Km_SU1_a11" "Gaussian" -1.08801856413265e-14 85.1013090420263 137983 1 -1.07347699703925e-14 -0.988985646476265 -1.10117693147155e-14 -0.990019634472137 -7.13654458775881e-15 -0.983456186950492 5.34972722939901e-15 0.875026787309343 1.12919810274861e-14 0.977175416632958 4.26386329286778e-15 1 0 0 0 0 0 0 0 0
"Seine" "SU1" "Kf_SU1_a0" "FIX" 20 NA 137983 1 0 0 0 0 0 0 0 0 0 0 0 0 1 0 0 0 0 0 0 0
"event_1" "node_1" "Q_e1_Poses" "FIX" 1 NA NA NA 0 0 0 0 0 0 0 0 0 0 0 0 0 1 0 0 0 0 0 0
"event_1" "node_2" "Q_e1_Eure" "FIX" 1 NA NA NA 0 0 0 0 0 0 0 0 0 0 0 0 0 0 1 0 0 0 0 0
"Y_1" NA "intercept" "Uniform" -10 10 NA NA 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 1 0 0 0 0
"Y_2" NA "intercept" "Uniform" -1000 1000 NA NA 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 1 0 0 0
"Y_3" NA "intercept" "Exponential" 0 0.01 NA NA 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 1 0 0
"Y_4" NA "intercept" "Exponential" 0 0.01 NA NA 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 1 0
"Y_5" NA "intercept" "Exponential" 0 0.01 NA NA 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 1
