"Typology" "SU" "param_name" "prior.dist" "par_1" "par_2" "covariate" "scaled" "1" "2" "3" "4" "5" "6" "7" "8" "9" "10" "11" "12" "13" "14" "15" "16" "17" "18" "19" "20"
"Seine" "SU1" "Km_SU1_a0" "Gaussian" 30.0000000000001 5.54388122868016 0 -1 1 1.16626203926174e-14 0.795355231153729 1.14117472753251e-14 0.782510180810739 1.05918588559816e-14 0.478007398470151 -1.14796451435651e-14 -0.755790141828295 -1.12743272083157e-14 -0.822406222182267 -1.07197020938937e-14 0 0 0 0 0 0 0 0
"Seine" "SU1" "Km_SU1_a1" "Gaussian" 2.62012633811537e-14 50.2926727586908 12543.9090909091 -0.818181818181818 1.17358875629626e-14 1 1.20457061759356e-14 0.990492062924424 8.24493233356961e-15 0.983458203119455 -4.72401166274634e-15 -0.890275958838156 -1.23970641207602e-14 -0.98809185304228 -5.30145260367076e-15 -0.988985646476265 0 0 0 0 0 0 0 0
"Seine" "SU1" "Km_SU1_a2" "Gaussian" 2.35367281220533e-14 21.1041255377681 25087.8181818182 -0.636363636363636 0.795355231153729 1.20457061759356e-14 1 1.17027843892408e-14 0.882111041522343 1.10297890626671e-14 0.531436740076642 -1.22138033286256e-14 -0.859082891356964 -1.16893011314375e-14 -0.929202138096257 -1.09939660718883e-14 0 0 0 0 0 0 0 0
"Seine" "SU1" "Km_SU1_a3" "Gaussian" 1.02140518265514e-14 87.3660455398095 37631.7272727273 -0.454545454545455 1.13970771573051e-14 0.990492062924424 1.17509558899786e-14 1 7.81527905276294e-15 0.984140722647497 -4.98427886515492e-15 -0.894729064491901 -1.19597386282683e-14 -0.990126434439421 -4.88467101919338e-15 -0.990019634472137 0 0 0 0 0 0 0 0
"Seine" "SU1" "Km_SU1_a4" "Gaussian" -4.35207425653061e-14 24.3169711185358 50175.6363636364 -0.272727272727273 0.782510180810739 8.2565523302521e-15 0.882111041522343 7.81527905276294e-15 1 7.17399378182836e-15 0.49218493840696 -8.68431675162943e-15 -0.865221794258116 -7.81001883006602e-15 -0.918556192887049 -7.16399964551456e-15 0 0 0 0 0 0 0 0
"Seine" "SU1" "Km_SU1_a5" "Gaussian" 1.06581410364015e-14 62.8395227191764 62719.5454545454 -0.0909090909090911 1.05102751555624e-14 0.983458203119456 1.10512204337282e-14 0.984140722647497 7.09000414427728e-15 1 -5.26882990745941e-15 -0.901219124074168 -1.13129641437426e-14 -0.985938757730694 -4.20166349304017e-15 -0.983456186950492 0 0 0 0 0 0 0 0
"Seine" "SU1" "Km_SU1_a6" "Gaussian" -1.95399252334028e-14 11.68667263412 75263.4545454545 0.0909090909090908 0.478007398470151 -4.77520152082161e-15 0.531436740076641 -4.99993696883706e-15 0.49218493840696 -5.32657962123909e-15 1 3.42922473064673e-15 -0.641947944852313 4.94922786190257e-15 -0.612347650071335 5.32070328332571e-15 0 0 0 0 0 0 0 0
"Seine" "SU1" "Km_SU1_a7" "Gaussian" 7.54951656745106e-15 22.1733077066401 87807.3636363636 0.272727272727273 -1.14001668561151e-14 -0.890275958838156 -1.22669480828139e-14 -0.894729064491901 -8.68431675162943e-15 -0.901219124074168 3.42236970869641e-15 1 1.24976957054595e-14 0.87115601154661 6.03831817449677e-15 0.875026787309343 0 0 0 0 0 0 0 0
"Seine" "SU1" "Km_SU1_a8" "Gaussian" 4.57411886145564e-14 22.939206394173 100351.272727273 0.454545454545454 -0.755790141828295 -1.23939365259385e-14 -0.859082891356965 -1.19455015036796e-14 -0.865221794258116 -1.13818963213554e-14 -0.641947944852313 1.25116652205432e-14 1 1.19930675193258e-14 0.796177307567068 1.12806138124142e-14 0 0 0 0 0 0 0 0
"Seine" "SU1" "Km_SU1_a9" "Gaussian" 1.82076576038526e-14 95.7260146885165 112895.181818182 0.636363636363636 -1.13011312455302e-14 -0.98809185304228 -1.17104590830304e-14 -0.990126434439421 -7.8100665248375e-15 -0.985938757730694 4.9459529221692e-15 0.87115601154661 1.19938764696343e-14 1 4.96183280275526e-15 0.977175416632958 0 0 0 0 0 0 0 0
