"X1" "X2"
1 361.714285714286
1 1085.14285714286
1 1808.57142857143
1 2532
1 3255.42857142857
1 3978.85714285714
1 4702.28571428571
2 5410.14322916667
2 6102.4296875
2 6794.71614583333
2 7487.00260416667
2 8179.2890625
2 8871.57552083333
2 9563.86197916667
2 10256.1484375
2 10948.4348958333
2 11640.7213541667
2 12333.0078125
2 13025.2942708333
2 13717.5807291667
2 14409.8671875
2 15102.1536458333
2 15794.4401041667
2 16486.7265625
2 17179.0130208333
2 17871.2994791667
2 18563.5859375
2 19255.8723958333
2 19948.1588541667
2 20640.4453125
2 21332.7317708333
2 22025.0182291667
2 22717.3046875
2 23409.5911458333
2 24101.8776041667
2 24794.1640625
2 25486.4505208333
2 26178.7369791667
2 26871.0234375
2 27563.3098958333
2 28255.5963541667
2 28947.8828125
2 29640.1692708333
2 30332.4557291667
2 31024.7421875
2 31717.0286458333
2 32409.3151041667
2 33101.6015625
2 33793.8880208333
2 34486.1744791667
2 35178.4609375
2 35870.7473958333
2 36563.0338541667
2 37255.3203125
2 37947.6067708333
2 38639.8932291667
2 39332.1796875
2 40024.4661458333
2 40716.7526041667
2 41409.0390625
2 42101.3255208333
2 42793.6119791667
2 43485.8984375
2 44178.1848958333
2 44870.4713541667
2 45562.7578125
2 46255.0442708333
2 46947.3307291667
2 47639.6171875
2 48331.9036458333
2 49024.1901041667
2 49716.4765625
2 50408.7630208333
2 51101.0494791667
2 51793.3359375
2 52485.6223958333
2 53177.9088541667
2 53870.1953125
2 54562.4817708333
2 55254.7682291667
2 55947.0546875
2 56639.3411458333
2 57331.6276041667
2 58023.9140625
2 58716.2005208333
2 59408.4869791667
2 60100.7734375
2 60793.0598958333
2 61485.3463541667
2 62177.6328125
2 62869.9192708333
2 63562.2057291667
2 64254.4921875
2 64946.7786458333
2 65639.0651041667
2 66331.3515625
2 67023.6380208333
2 67715.9244791667
2 68408.2109375
2 69100.4973958333
2 69792.7838541667
2 70485.0703125
2 71177.3567708333
2 71869.6432291667
2 72561.9296875
2 73254.2161458333
2 73946.5026041667
2 74638.7890625
2 75331.0755208333
2 76023.3619791667
2 76715.6484375
2 77407.9348958333
2 78100.2213541667
2 78792.5078125
2 79484.7942708333
2 80177.0807291667
2 80869.3671875
2 81561.6536458333
2 82253.9401041667
2 82946.2265625
2 83638.5130208333
2 84330.7994791667
2 85023.0859375
2 85715.3723958333
2 86407.6588541667
2 87099.9453125
2 87792.2317708333
2 88484.5182291667
2 89176.8046875
2 89869.0911458333
2 90561.3776041667
2 91253.6640625
2 91945.9505208333
2 92638.2369791667
2 93330.5234375
2 94022.8098958333
2 94715.0963541667
2 95407.3828125
2 96099.6692708333
2 96791.9557291667
2 97484.2421875
2 98176.5286458333
2 98868.8151041667
2 99561.1015625
2 100253.388020833
2 100945.674479167
2 101637.9609375
2 102330.247395833
2 103022.533854167
2 103714.8203125
2 104407.106770833
2 105099.393229167
2 105791.6796875
2 106483.966145833
2 107176.252604167
2 107868.5390625
2 108560.825520833
2 109253.111979167
2 109945.3984375
2 110637.684895833
2 111329.971354167
2 112022.2578125
2 112714.544270833
2 113406.830729167
2 114099.1171875
2 114791.403645833
2 115483.690104167
2 116175.9765625
2 116868.263020833
2 117560.549479167
2 118252.8359375
2 118945.122395833
2 119637.408854167
2 120329.6953125
2 121021.981770833
2 121714.268229167
2 122406.5546875
2 123098.841145833
2 123791.127604167
2 124483.4140625
2 125175.700520833
2 125867.986979167
2 126560.2734375
2 127252.559895833
2 127944.846354167
2 128637.1328125
2 129329.419270833
2 130021.705729167
2 130713.9921875
2 131406.278645833
2 132098.565104167
2 132790.8515625
2 133483.138020833
2 134175.424479167
2 134867.7109375
2 135559.997395833
2 136252.283854167
2 136944.5703125
2 137636.856770833
