               a0_min         Y1_intercept   Y2_intercept   Y3_intercept   Y4_intercept   Y5_intercept   Y6_intercept   Y7_intercept   Y8_intercept   
N                 0.626000E+03   0.626000E+03   0.626000E+03   0.626000E+03   0.626000E+03   0.626000E+03   0.626000E+03   0.626000E+03   0.626000E+03
Minimum           0.983360E+02   0.346623E-05   0.658836E-05   0.564635E-04   0.578830E-05   0.495360E-04   0.261607E-04   0.229971E-05   0.310404E-05
Maximum           0.102513E+03   0.506121E-02   0.337815E-02   0.527698E-02   0.352096E-02   0.124466E-01   0.137698E-01   0.636469E-02   0.449125E-02
Range             0.417700E+01   0.505774E-02   0.337156E-02   0.522052E-02   0.351517E-02   0.123971E-01   0.137436E-01   0.636239E-02   0.448815E-02
Mean              0.100318E+03   0.745802E-03   0.747366E-03   0.927701E-03   0.117066E-02   0.928203E-03   0.100208E-02   0.772203E-03   0.536316E-03
Median            0.100216E+03   0.662208E-03   0.534321E-03   0.743829E-03   0.112223E-02   0.618907E-03   0.884204E-03   0.524319E-03   0.381962E-03
Q10%              0.994962E+02   0.175149E-03   0.713672E-04   0.291588E-03   0.359193E-03   0.262133E-03   0.386958E-03   0.478401E-04   0.349873E-04
Q25%              0.997339E+02   0.378339E-03   0.272278E-03   0.474422E-03   0.711403E-03   0.419074E-03   0.518605E-03   0.157196E-03   0.161609E-03
Q75%              0.101063E+03   0.974037E-03   0.915330E-03   0.111424E-02   0.160577E-02   0.100000E-02   0.125755E-02   0.950316E-03   0.767833E-03
Q90%              0.101343E+03   0.138625E-02   0.160735E-02   0.186221E-02   0.199976E-02   0.192985E-02   0.175659E-02   0.180118E-02   0.115394E-02
St.Dev.           0.749330E+00   0.586539E-03   0.713037E-03   0.766443E-03   0.629857E-03   0.108716E-02   0.971888E-03   0.938464E-03   0.548521E-03
Variance          0.561496E+00   0.344028E-06   0.508421E-06   0.587435E-06   0.396720E-06   0.118192E-05   0.944567E-06   0.880715E-06   0.300875E-06
CV                0.746952E-02   0.786453E+00   0.954066E+00   0.826175E+00   0.538035E+00   0.117125E+01   0.969867E+00   0.121531E+01   0.102276E+01
Skewness          0.762067E-01   0.237240E+01   0.167873E+01   0.259964E+01   0.670439E+00   0.447242E+01   0.722759E+01   0.292801E+01   0.259310E+01
Kurtosis         -0.551530E+00   0.108994E+02   0.275737E+01   0.852245E+01   0.510753E+00   0.302014E+02   0.841338E+02   0.116200E+02   0.114758E+02
MaxPost           0.100176E+03   0.542368E-03   0.554673E-03   0.369049E-03   0.477246E-03   0.607864E-03   0.100921E-02   0.253110E-03   0.349873E-04
