               Km_SU1_Rh_a0   Km_SU2_Rh_a0   Km_SU1_Ai_a0   Y1_intercept   Y2_intercept   Y3_intercept   Y4_intercept   Y5_intercept   
N                 0.801000E+03   0.801000E+03   0.801000E+03   0.801000E+03   0.801000E+03   0.801000E+03   0.801000E+03   0.801000E+03
Minimum           0.360000E+02   0.310000E+02   0.190000E+02   0.100000E+00   0.238144E-04   0.269920E-04   0.192963E-03   0.428827E-04
Maximum           0.410942E+02   0.427612E+02   0.263239E+02   0.254923E+00   0.372728E-01   0.622189E-01   0.378002E-01   0.393927E-01
Range             0.509420E+01   0.117612E+02   0.732390E+01   0.154923E+00   0.372490E-01   0.621919E-01   0.376072E-01   0.393498E-01
Mean              0.399099E+02   0.394856E+02   0.245614E+02   0.213693E+00   0.721375E-02   0.907030E-02   0.789691E-02   0.109468E-01
Median            0.398951E+02   0.394456E+02   0.246023E+02   0.229721E+00   0.567948E-02   0.579072E-02   0.549324E-02   0.838930E-02
Q10%              0.394975E+02   0.382297E+02   0.240170E+02   0.141799E+00   0.107155E-02   0.858030E-03   0.100581E-02   0.968403E-03
Q25%              0.396495E+02   0.388421E+02   0.242684E+02   0.213841E+00   0.249451E-02   0.217714E-02   0.238341E-02   0.355764E-02
Q75%              0.401948E+02   0.400768E+02   0.250415E+02   0.239021E+00   0.105261E-01   0.110738E-01   0.989372E-02   0.163951E-01
Q90%              0.404479E+02   0.409554E+02   0.253177E+02   0.243724E+00   0.149461E-01   0.207946E-01   0.185066E-01   0.254783E-01
St.Dev.           0.407663E+00   0.114479E+01   0.827736E+00   0.397182E-01   0.604387E-02   0.104765E-01   0.787583E-02   0.917541E-02
Variance          0.166190E+00   0.131054E+01   0.685148E+00   0.157754E-02   0.365283E-04   0.109758E-03   0.620287E-04   0.841882E-04
CV                0.102146E-01   0.289926E-01   0.337007E-01   0.185866E+00   0.837826E+00   0.115504E+01   0.997331E+00   0.838178E+00
Skewness         -0.105991E+01  -0.633462E+00  -0.367491E+01  -0.154017E+01   0.139466E+01   0.235669E+01   0.178787E+01   0.903896E+00
Kurtosis          0.102452E+02   0.537054E+01   0.219206E+02   0.111603E+01   0.248268E+01   0.628830E+01   0.310535E+01  -0.767557E-01
MaxPost           0.399166E+02   0.400061E+02   0.247815E+02   0.226660E+00   0.999683E-03   0.858030E-03   0.149145E-02   0.429095E-02
