Km_SU1_Rh_a0   Km_SU2_Rh_a0   Km_SU1_Ai_a0   Y1_intercept   Y2_intercept   Y3_intercept   Y4_intercept   Y5_intercept   LogPost        
   0.360000E+02   0.310000E+02   0.190000E+02   0.100000E+00   0.100000E-01   0.100000E-01   0.100000E-01   0.100000E-01  -0.135961E+04
   0.388636E+02   0.327216E+02   0.190000E+02   0.100000E+00   0.100518E-01   0.939983E-02   0.891986E-02   0.100550E-01  -0.981523E+03
   0.388615E+02   0.347570E+02   0.190000E+02   0.101344E+00   0.936315E-02   0.939983E-02   0.965683E-02   0.995434E-02  -0.872289E+03
   0.388615E+02   0.398651E+02   0.190000E+02   0.101344E+00   0.937563E-02   0.806654E-02   0.778932E-02   0.120406E-01  -0.818237E+03
   0.388615E+02   0.397172E+02   0.190000E+02   0.101673E+00   0.994042E-02   0.658954E-02   0.644151E-02   0.118484E-01  -0.810337E+03
   0.388615E+02   0.397172E+02   0.190000E+02   0.103908E+00   0.109907E-01   0.756916E-02   0.644151E-02   0.118256E-01  -0.763317E+03
   0.388615E+02   0.398678E+02   0.190000E+02   0.103908E+00   0.114804E-01   0.819995E-02   0.651289E-02   0.127731E-01  -0.763942E+03
   0.388615E+02   0.398678E+02   0.190000E+02   0.103908E+00   0.121836E-01   0.692750E-02   0.702307E-02   0.138095E-01  -0.764040E+03
   0.398249E+02   0.398678E+02   0.197020E+02   0.105266E+00   0.107727E-01   0.787123E-02   0.789059E-02   0.127231E-01  -0.636034E+03
   0.398249E+02   0.398678E+02   0.197020E+02   0.105266E+00   0.941653E-02   0.659348E-02   0.821685E-02   0.127231E-01  -0.635803E+03
   0.398249E+02   0.398678E+02   0.208001E+02   0.105930E+00   0.106657E-01   0.699034E-02   0.765101E-02   0.123798E-01  -0.522423E+03
   0.398249E+02   0.398678E+02   0.212588E+02   0.106099E+00   0.124493E-01   0.780858E-02   0.740332E-02   0.133394E-01  -0.489227E+03
   0.398249E+02   0.398678E+02   0.232515E+02   0.106099E+00   0.126763E-01   0.527876E-02   0.687063E-02   0.133394E-01  -0.412782E+03
   0.398249E+02   0.398678E+02   0.232515E+02   0.107319E+00   0.124250E-01   0.474622E-02   0.775883E-02   0.135932E-01  -0.396498E+03
   0.396256E+02   0.398678E+02   0.232515E+02   0.108188E+00   0.120871E-01   0.359109E-02   0.759477E-02   0.122271E-01  -0.385641E+03
   0.396256E+02   0.398678E+02   0.232515E+02   0.108188E+00   0.137529E-01   0.287117E-02   0.724432E-02   0.152796E-01  -0.386006E+03
   0.401034E+02   0.398678E+02   0.232515E+02   0.108188E+00   0.136832E-01   0.184360E-02   0.595669E-02   0.154916E-01  -0.385743E+03
   0.401034E+02   0.398678E+02   0.232515E+02   0.108188E+00   0.119767E-01   0.228329E-02   0.549324E-02   0.159901E-01  -0.385620E+03
   0.401034E+02   0.398678E+02   0.232515E+02   0.108188E+00   0.127365E-01   0.132947E-02   0.623708E-02   0.161402E-01  -0.385690E+03
   0.401034E+02   0.398678E+02   0.232515E+02   0.108848E+00   0.136354E-01   0.229270E-02   0.510829E-02   0.178990E-01  -0.377586E+03
   0.401034E+02   0.398678E+02   0.258624E+02   0.108848E+00   0.139241E-01   0.195384E-02   0.513243E-02   0.186557E-01  -0.373729E+03
   0.403016E+02   0.398678E+02   0.235720E+02   0.108848E+00   0.129927E-01   0.135533E-02   0.433561E-02   0.188802E-01  -0.375005E+03
   0.403016E+02   0.390450E+02   0.239529E+02   0.109493E+00   0.130466E-01   0.460296E-03   0.314772E-02   0.208441E-01  -0.361595E+03
   0.403016E+02   0.390450E+02   0.239529E+02   0.109493E+00   0.145138E-01   0.460296E-03   0.411716E-02   0.210053E-01  -0.361855E+03
   0.403016E+02   0.390450E+02   0.239529E+02   0.110841E+00   0.158827E-01   0.101661E-02   0.454664E-02   0.224738E-01  -0.346200E+03
   0.403016E+02   0.393195E+02   0.239529E+02   0.110841E+00   0.135322E-01   0.101661E-02   0.382168E-02   0.245694E-01  -0.345911E+03
   0.403016E+02   0.393195E+02   0.244751E+02   0.112127E+00   0.134967E-01   0.128620E-02   0.404775E-02   0.230102E-01  -0.328180E+03
   0.403016E+02   0.393195E+02   0.244751E+02   0.112127E+00   0.129115E-01   0.992289E-03   0.457816E-02   0.231428E-01  -0.328159E+03
