a0_min         Y1_intercept   Y2_intercept   Y3_intercept   Y4_intercept   LogPost        
   0.101373E+03   0.406465E-03   0.186952E-03   0.210481E-03   0.149889E-02   0.191541E+03
   0.101373E+03   0.406465E-03   0.186952E-03   0.210481E-03   0.149889E-02   0.191541E+03
   0.101373E+03   0.406465E-03   0.186952E-03   0.210481E-03   0.149889E-02   0.191541E+03
   0.101373E+03   0.406465E-03   0.186952E-03   0.210481E-03   0.149889E-02   0.191541E+03
   0.101373E+03   0.406465E-03   0.186952E-03   0.210481E-03   0.149889E-02   0.191541E+03
   0.101373E+03   0.406465E-03   0.186952E-03   0.488109E-04   0.121050E-02   0.192132E+03
   0.101138E+03   0.406465E-03   0.186952E-03   0.488109E-04   0.121050E-02   0.192427E+03
   0.101138E+03   0.406465E-03   0.186952E-03   0.488109E-04   0.121050E-02   0.192427E+03
   0.101138E+03   0.406465E-03   0.752687E-03   0.488109E-04   0.121050E-02   0.189515E+03
   0.101138E+03   0.406465E-03   0.752687E-03   0.488109E-04   0.121050E-02   0.189515E+03
   0.101138E+03   0.109574E-03   0.752687E-03   0.488109E-04   0.121050E-02   0.190048E+03
   0.101138E+03   0.109574E-03   0.752687E-03   0.488109E-04   0.121050E-02   0.190048E+03
   0.101138E+03   0.109574E-03   0.752687E-03   0.488109E-04   0.200568E-02   0.188849E+03
   0.101138E+03   0.354624E-03   0.752687E-03   0.488109E-04   0.221140E-02   0.187979E+03
   0.101138E+03   0.354624E-03   0.752687E-03   0.488109E-04   0.286303E-02   0.186511E+03
   0.101138E+03   0.354624E-03   0.752687E-03   0.488109E-04   0.286303E-02   0.186511E+03
   0.101138E+03   0.354624E-03   0.270541E-03   0.488109E-04   0.201288E-02   0.191058E+03
   0.101138E+03   0.354624E-03   0.270541E-03   0.488109E-04   0.994327E-03   0.191942E+03
   0.101138E+03   0.293415E-04   0.270541E-03   0.488109E-04   0.994327E-03   0.192386E+03
   0.101138E+03   0.293415E-04   0.270541E-03   0.488109E-04   0.994327E-03   0.192386E+03
   0.101138E+03   0.293415E-04   0.270541E-03   0.488109E-04   0.994327E-03   0.192386E+03
   0.101138E+03   0.293415E-04   0.270541E-03   0.488109E-04   0.994327E-03   0.192386E+03
   0.101138E+03   0.293415E-04   0.270541E-03   0.488109E-04   0.994327E-03   0.192386E+03
   0.101138E+03   0.293415E-04   0.270541E-03   0.488109E-04   0.994327E-03   0.192386E+03
