               a0_min         Y1_intercept   Y2_intercept   Y3_intercept   Y4_intercept   
N                 0.401000E+03   0.401000E+03   0.401000E+03   0.401000E+03   0.401000E+03
Minimum           0.991970E+02   0.132698E-04   0.192855E-05   0.401965E-06   0.548428E-03
Maximum           0.102936E+03   0.145024E-02   0.106432E-02   0.122384E-02   0.428186E-02
Range             0.373900E+01   0.143697E-02   0.106239E-02   0.122344E-02   0.373343E-02
Mean              0.100984E+03   0.414549E-03   0.290797E-03   0.254215E-03   0.155739E-02
Median            0.101133E+03   0.382395E-03   0.256757E-03   0.190932E-03   0.148140E-02
Q10%              0.100191E+03   0.293415E-04   0.662201E-04   0.393588E-04   0.976646E-03
Q25%              0.100495E+03   0.176408E-03   0.166293E-03   0.606438E-04   0.119551E-02
Q75%              0.101353E+03   0.600423E-03   0.372446E-03   0.315693E-03   0.174866E-02
Q90%              0.101709E+03   0.740832E-03   0.600803E-03   0.617249E-03   0.222305E-02
St.Dev.           0.627150E+00   0.318906E-03   0.206964E-03   0.242359E-03   0.575074E-03
Variance          0.393317E+00   0.101701E-06   0.428342E-07   0.587379E-07   0.330711E-06
CV                0.621037E-02   0.769284E+00   0.711713E+00   0.953362E+00   0.369256E+00
Skewness         -0.325566E-01   0.945279E+00   0.114152E+01   0.164056E+01   0.159565E+01
Kurtosis          0.444520E-01   0.914891E+00   0.124283E+01   0.259240E+01   0.396418E+01
MaxPost           0.100547E+03   0.132698E-04   0.662201E-04   0.144571E-04   0.130958E-02
