a0_min        a1_min        a2_min        Y1_intercept  Y2_intercept  Y3_intercept  Y4_intercept  Y5_intercept  Y6_intercept  Y7_intercept  Y8_intercept  LogPost       
  0.100000E+03  0.000000E+00  0.000000E+00  0.100000E-02  0.100000E-02  0.100000E-02  0.100000E-02  0.100000E-02  0.100000E-02  0.100000E-02  0.100000E-02  0.137784E+03
  0.100000E+03  0.000000E+00  0.000000E+00  0.100000E-02  0.100000E-02  0.125884E-02  0.100000E-02  0.176793E-02  0.100000E-02  0.100000E-02  0.100000E-02  0.136145E+03
  0.100000E+03  0.000000E+00  0.000000E+00  0.100000E-02  0.100000E-02  0.125884E-02  0.100000E-02  0.126482E-02  0.100000E-02  0.100000E-02  0.100000E-02  0.136863E+03
  0.100813E+03  0.000000E+00  0.513613E+01  0.100000E-02  0.100000E-02  0.125884E-02  0.100000E-02  0.126482E-02  0.761389E-03  0.100000E-02  0.100000E-02  0.137538E+03
  0.100813E+03  0.591054E+01  0.480606E+01  0.100000E-02  0.222772E-02  0.125884E-02  0.100000E-02  0.126482E-02  0.761389E-03  0.100000E-02  0.100000E-02  0.135437E+03
  0.100813E+03  0.591054E+01  0.457821E+01  0.100000E-02  0.222772E-02  0.287107E-03  0.100000E-02  0.126482E-02  0.602576E-03  0.100000E-02  0.442936E-03  0.138552E+03
  0.100813E+03  0.591054E+01 -0.630328E+01  0.100000E-02  0.222772E-02  0.287107E-03  0.100000E-02  0.126482E-02  0.602576E-03  0.100000E-02  0.442936E-03  0.138426E+03
  0.100813E+03  0.591054E+01 -0.364915E+01  0.585912E-03  0.222772E-02  0.287107E-03  0.100000E-02  0.126482E-02  0.602576E-03  0.100000E-02  0.442936E-03  0.139295E+03
  0.100813E+03  0.981619E-01 -0.364915E+01  0.585912E-03  0.222772E-02  0.287107E-03  0.100000E-02  0.126482E-02  0.602576E-03  0.100000E-02  0.442936E-03  0.140054E+03
  0.100813E+03  0.981619E-01  0.319491E+00  0.585912E-03  0.222772E-02  0.287107E-03  0.100000E-02  0.126482E-02  0.602576E-03  0.100000E-02  0.442936E-03  0.140326E+03
  0.100971E+03  0.591295E+01  0.319491E+00  0.585912E-03  0.222772E-02  0.287107E-03  0.100000E-02  0.126482E-02  0.602576E-03  0.603977E-02  0.442936E-03  0.134771E+03
  0.100971E+03  0.591295E+01  0.319491E+00  0.585912E-03  0.222772E-02  0.287107E-03  0.100000E-02  0.839291E-05  0.602576E-03  0.603977E-02  0.666494E-03  0.136819E+03
  0.100971E+03  0.149071E+01  0.319491E+00  0.585912E-03  0.222772E-02  0.287107E-03  0.100000E-02  0.839291E-05  0.602576E-03  0.521947E-02  0.666494E-03  0.137861E+03
  0.100971E+03 -0.179670E+01 -0.966886E+01  0.585912E-03  0.222772E-02  0.287107E-03  0.100000E-02  0.839291E-05  0.602576E-03  0.102895E-02  0.666494E-03  0.140177E+03
  0.100971E+03 -0.179670E+01  0.618905E+01  0.833700E-03  0.797661E-03  0.287107E-03  0.100000E-02  0.839291E-05  0.602576E-03  0.102895E-02  0.666494E-03  0.141470E+03
  0.100971E+03 -0.179670E+01  0.976354E+00  0.833700E-03  0.797661E-03  0.287107E-03  0.100000E-02  0.839291E-05  0.602576E-03  0.102895E-02  0.666494E-03  0.142794E+03
  0.100971E+03  0.490348E+01  0.976354E+00  0.833700E-03  0.797661E-03  0.287107E-03  0.100000E-02  0.839291E-05  0.602576E-03  0.102895E-02  0.666494E-03  0.143697E+03
  0.100971E+03  0.490348E+01  0.327227E+01  0.833700E-03  0.797661E-03  0.287107E-03  0.100000E-02  0.839291E-05  0.204580E-02  0.102895E-02  0.666494E-03  0.141151E+03
  0.101212E+03  0.490348E+01  0.382287E+01  0.833700E-03  0.797661E-03  0.287107E-03  0.100000E-02  0.397410E-03  0.204580E-02  0.137729E-02  0.539948E-03  0.140318E+03
  0.101212E+03  0.490348E+01  0.610173E+01  0.833700E-03  0.797661E-03  0.531896E-03  0.100000E-02  0.397410E-03  0.204580E-02  0.137729E-02  0.539948E-03  0.139348E+03
  0.101212E+03  0.490348E+01 -0.525240E+01  0.833700E-03  0.797661E-03  0.531896E-03  0.100000E-02  0.397410E-03  0.204580E-02  0.137729E-02  0.539948E-03  0.139756E+03
  0.101212E+03  0.490348E+01 -0.525240E+01  0.833700E-03  0.797661E-03  0.531896E-03  0.100000E-02  0.397410E-03  0.904311E-03  0.128844E-02  0.539948E-03  0.141448E+03
  0.101212E+03  0.490348E+01 -0.525240E+01  0.833700E-03  0.797661E-03  0.531896E-03  0.100000E-02  0.397410E-03  0.742845E-03  0.128844E-02  0.539948E-03  0.141634E+03
  0.101212E+03  0.131116E+01  0.607988E+01  0.833700E-03  0.797661E-03  0.531896E-03  0.100000E-02  0.397410E-03  0.742845E-03  0.128844E-02  0.539948E-03  0.141877E+03
  0.101212E+03  0.976002E+01  0.131408E+01  0.382389E-03  0.797661E-03  0.531896E-03  0.100000E-02  0.397410E-03  0.514556E-03  0.128844E-02  0.539948E-03  0.139649E+03
  0.101212E+03  0.976002E+01  0.131408E+01  0.382389E-03  0.797661E-03  0.531896E-03  0.578082E-03  0.397410E-03  0.514556E-03  0.128844E-02  0.539948E-03  0.140518E+03
