IDTRANS;DIST;pk;ALTI_MOY
1;47,5;61900;193,7211
2;52,5;61895;193,7314
4;62,5;61885;193,7267
5;67,5;61880;193,7119
6;72,5;61875;193,7321
7;77,5;61870;193,7229
9;87,5;61860;193,7237
10;92,5;61855;193,7283
11;97,5;61850;193,7245
13;107,5;61840;193,7356
14;112,5;61835;193,7356
15;117,5;61830;193,7458
16;122,5;61825;193,7415
17;127,5;61820;193,7510
19;137,5;61810;193,7409
20;142,5;61805;193,7304
21;147,5;61800;193,7352
22;152,5;61795;193,7304
24;162,5;61785;193,7318
25;167,5;61780;193,7436
26;172,5;61775;193,7394
27;177,5;61770;193,7348
29;187,5;61760;193,7345
30;192,5;61755;193,7283
32;202,5;61745;193,7294
33;207,5;61740;193,7271
34;212,5;61735;193,7379
36;222,5;61725;193,7228
37;227,5;61720;193,7298
38;232,5;61715;193,7312
40;242,5;61705;193,7397
41;247,5;61700;193,7308
42;252,5;61695;193,7395
43;257,5;61690;193,7326
44;262,5;61685;193,7337
46;272,5;61675;193,7377
47;277,5;61670;193,7383
48;282,5;61665;193,7346
50;292,5;61655;193,7290
51;297,5;61650;193,7241
52;302,5;61645;193,7134
54;312,5;61635;193,7219
55;317,5;61630;193,7269
57;327,5;61620;193,7084
58;332,5;61615;193,6989
60;342,5;61605;193,6999
61;347,5;61600;193,7154
62;352,5;61595;193,7212
64;362,5;61585;193,7188
81;447,5;61500;193,7124
82;452,5;61495;193,7201
83;457,5;61490;193,7090
85;467,5;61480;193,7211
86;472,5;61475;193,7021
92;502,5;61445;193,7065
93;507,5;61440;193,7176
94;512,5;61435;193,7133
95;517,5;61430;193,7301
96;522,5;61425;193,7090
97;527,5;61420;193,7153
98;532,5;61415;193,7035
99;537,5;61410;193,6988
100;542,5;61405;193,7346
101;547,5;61400;193,7083
102;552,5;61395;193,7027
103;557,5;61390;193,6847
104;562,5;61385;193,6887
105;567,5;61380;193,7077
111;597,5;61350;193,6875
112;602,5;61345;193,6938
113;607,5;61340;193,6854
114;612,5;61335;193,6936
126;672,5;61275;193,6948
127;677,5;61270;193,7077
130;692,5;61255;193,6886
131;697,5;61250;193,6981
132;702,5;61245;193,7153
133;707,5;61240;193,6929
134;712,5;61235;193,7108
135;717,5;61230;193,7133
136;722,5;61225;193,7047
140;742,5;61205;193,7029
141;747,5;61200;193,6853
143;757,5;61190;193,6891
144;762,5;61185;193,6982
145;767,5;61180;193,7042
146;772,5;61175;193,6951
147;777,5;61170;193,7004
153;807,5;61140;193,7056
156;822,5;61125;193,7031
157;827,5;61120;193,7006
158;832,5;61115;193,6798
159;837,5;61110;193,7011
160;842,5;61105;193,6828
161;847,5;61100;193,6900
163;857,5;61090;193,6987
164;862,5;61085;193,6926
165;867,5;61080;193,7038
166;872,5;61075;193,6941
167;877,5;61070;193,6947
168;882,5;61065;193,7068
169;887,5;61060;193,7035
170;892,5;61055;193,7023
171;897,5;61050;193,7007
172;902,5;61045;193,7079
173;907,5;61040;193,7095
174;912,5;61035;193,7042
175;917,5;61030;193,7027
176;922,5;61025;193,6996
177;927,5;61020;193,7047
178;932,5;61015;193,6981
179;937,5;61010;193,6984
180;942,5;61005;193,7131
185;967,5;60980;193,7063
186;972,5;60975;193,6877
187;977,5;60970;193,7265
188;982,5;60965;193,7125
189;987,5;60960;193,7011
190;992,5;60955;193,6987
191;997,5;60950;193,7153
194;1012,5;60935;193,7103
195;1017,5;60930;193,6971
196;1022,5;60925;193,7041
197;1027,5;60920;193,7138
200;1042,5;60905;193,7052
201;1047,5;60900;193,7062
202;1052,5;60895;193,7063
203;1057,5;60890;193,7059
204;1062,5;60885;193,7151
205;1067,5;60880;193,7069
207;1077,5;60870;193,7060
208;1082,5;60865;193,6943
209;1087,5;60860;193,6988
210;1092,5;60855;193,7075
211;1097,5;60850;193,7063
212;1102,5;60845;193,6941
213;1107,5;60840;193,7106
214;1112,5;60835;193,7057
215;1117,5;60830;193,7009
216;1122,5;60825;193,7147
218;1132,5;60815;193,7133
219;1137,5;60810;193,7165
220;1142,5;60805;193,7182
221;1147,5;60800;193,7147
222;1152,5;60795;193,7088
223;1157,5;60790;193,7047
224;1162,5;60785;193,7044
225;1167,5;60780;193,6970
226;1172,5;60775;193,7065
227;1177,5;60770;193,7020
228;1182,5;60765;193,6961
229;1187,5;60760;193,6920
230;1192,5;60755;193,7031
231;1197,5;60750;193,6937
232;1202,5;60745;193,6948
233;1207,5;60740;193,6969
234;1212,5;60735;193,7078
235;1217,5;60730;193,6916
236;1222,5;60725;193,6964
237;1227,5;60720;193,6994
238;1232,5;60715;193,6966
239;1237,5;60710;193,6958
240;1242,5;60705;193,6940
241;1247,5;60700;193,6975
