Station;Fuseau;Chronique;Unite
LAGNIEU;UTC+00;DEB;m3/s
DateHeure;Valeur;Qualite;Min;Max
13/02/2011 00:00:00;156.994;v;;
13/02/2011 01:00:00;156.561;v;;
13/02/2011 02:00:00;157.532;v;;
13/02/2011 03:00:00;157.501;v;;
13/02/2011 04:00:00;157.159;v;;
13/02/2011 05:00:00;157.266;v;;
13/02/2011 06:00:00;157.158;v;;
13/02/2011 07:00:00;156.984;v;;
13/02/2011 08:00:00;157.391;v;;
13/02/2011 09:00:00;157.680;v;;
13/02/2011 10:00:00;157.343;v;;
13/02/2011 11:00:00;158.069;v;;
13/02/2011 12:00:00;157.627;v;;
13/02/2011 13:00:00;157.402;v;;
13/02/2011 14:00:00;157.484;v;;
13/02/2011 15:00:00;156.828;v;;
13/02/2011 16:00:00;158.027;v;;
13/02/2011 17:00:00;157.142;v;;
13/02/2011 18:00:00;157.073;v;;
13/02/2011 19:00:00;157.008;v;;
13/02/2011 20:00:00;156.561;v;;
13/02/2011 21:00:00;157.122;v;;
13/02/2011 22:00:00;156.565;v;;
13/02/2011 23:00:00;157.062;v;;
14/02/2011 00:00:00;159.743;v;;
