a0_min         a1_min         a2_min         Y1_intercept   Y2_intercept   Y3_intercept   Y4_intercept   Y5_intercept   LogPost        
   0.965082E+02   0.159754E+01  -0.565222E+01   0.782708E-03   0.119439E+02   0.821839E+01   0.178472E+02   0.129324E+02   0.172794E+03
   0.976154E+02   0.382842E+00   0.415656E+01   0.382191E-03   0.124839E+02   0.133695E+02   0.103560E+02   0.178685E+02   0.170324E+03
   0.974859E+02  -0.217606E+01  -0.331494E+01   0.573707E-03   0.104371E+02   0.121604E+02   0.157315E+02   0.174055E+02   0.174109E+03
   0.974859E+02   0.624578E+00  -0.961054E+01   0.812125E-03   0.134724E+02   0.100561E+02   0.103907E+02   0.142440E+02   0.171432E+03
   0.979770E+02  -0.520008E+00   0.331733E+01   0.775422E-03   0.111007E+02   0.114504E+02   0.177595E+02   0.134213E+02   0.174038E+03
   0.970425E+02   0.112773E+01  -0.464132E+01   0.590103E-03   0.796864E+01   0.103381E+02   0.177709E+02   0.158786E+02   0.174859E+03
   0.972452E+02   0.408994E+01   0.159347E+01   0.598637E-03   0.910668E+01   0.739239E+01   0.182112E+02   0.201849E+02   0.172325E+03
   0.984916E+02   0.378508E+01  -0.840185E+01   0.563055E-03   0.118091E+02   0.799732E+01   0.177480E+02   0.131562E+02   0.170861E+03
   0.982164E+02  -0.366467E+00   0.341629E+01   0.858934E-03   0.110989E+02   0.865332E+01   0.129325E+02   0.134788E+02   0.173910E+03
   0.982599E+02  -0.407642E+01   0.627420E+01   0.664886E-03   0.114958E+02   0.954424E+01   0.109184E+02   0.140248E+02   0.172648E+03
   0.963853E+02   0.210951E+01  -0.422632E+01   0.752540E-03   0.117821E+02   0.122341E+02   0.142968E+02   0.147329E+02   0.173207E+03
   0.976429E+02  -0.109562E+01  -0.746472E+00   0.514829E-03   0.907003E+01   0.705970E+01   0.119128E+02   0.156374E+02   0.174218E+03
   0.976429E+02  -0.316149E+01  -0.437522E+01   0.748412E-03   0.827976E+01   0.963225E+01   0.153304E+02   0.149340E+02   0.173998E+03
   0.976429E+02   0.547416E+01   0.393319E+00   0.519772E-03   0.767215E+01   0.116899E+02   0.114547E+02   0.165012E+02   0.172128E+03
   0.972859E+02  -0.100736E+01  -0.167275E+00   0.770000E-03   0.148279E+02   0.130343E+02   0.131882E+02   0.124284E+02   0.171207E+03
   0.974269E+02  -0.327341E+01  -0.406354E+01   0.569321E-03   0.116775E+02   0.784337E+01   0.147488E+02   0.192785E+02   0.172419E+03
   0.979038E+02   0.488116E+00   0.697278E+01   0.700624E-03   0.813751E+01   0.101735E+02   0.193778E+02   0.219044E+02   0.171608E+03
   0.979038E+02  -0.618439E+00  -0.152052E+01   0.676871E-03   0.929386E+01   0.777897E+01   0.141461E+02   0.180015E+02   0.174863E+03
   0.991166E+02   0.944923E+00   0.883062E+01   0.544406E-03   0.120854E+02   0.730584E+01   0.178457E+02   0.161423E+02   0.172359E+03
   0.974736E+02   0.339086E+01  -0.146686E+02   0.805790E-03   0.701488E+01   0.105231E+02   0.853714E+01   0.185463E+02   0.166597E+03
   0.974736E+02   0.338868E+01  -0.116107E+02   0.807607E-03   0.114179E+02   0.714028E+01   0.182080E+02   0.189775E+02   0.170124E+03
   0.969852E+02   0.118926E+01   0.489413E+00   0.429342E-03   0.104710E+02   0.133815E+02   0.145971E+02   0.169308E+02   0.173336E+03
   0.980664E+02  -0.290307E+01   0.661489E+01   0.663233E-03   0.991717E+01   0.103630E+02   0.147196E+02   0.165000E+02   0.174258E+03
   0.972849E+02   0.285826E+01  -0.469984E+01   0.650467E-03   0.107322E+02   0.122964E+02   0.215903E+02   0.207899E+02   0.171101E+03
   0.985650E+02   0.801743E+00   0.368003E+01   0.825027E-03   0.862400E+01   0.120121E+02   0.128526E+02   0.149972E+02   0.173858E+03
   0.979220E+02  -0.133547E+01   0.368003E+01   0.642903E-03   0.733084E+01   0.841140E+01   0.146069E+02   0.190458E+02   0.173702E+03
   0.983316E+02   0.178703E+01   0.170312E+01   0.663797E-03   0.888351E+01   0.976302E+01   0.143562E+02   0.163605E+02   0.175746E+03
   0.965851E+02   0.280915E+01  -0.484662E+01   0.587085E-03   0.913602E+01   0.886001E+01   0.165367E+02   0.152400E+02   0.174735E+03
   0.972429E+02  -0.270991E+01  -0.340641E+01   0.841981E-03   0.106795E+02   0.913568E+01   0.158417E+02   0.129022E+02   0.173262E+03
   0.983389E+02   0.473746E+01   0.291995E+01   0.687220E-03   0.942614E+01   0.131396E+02   0.169701E+02   0.172408E+02   0.172935E+03
   0.978907E+02  -0.385095E+01  -0.278938E+01   0.553033E-03   0.114556E+02   0.590648E+01   0.129051E+02   0.186734E+02   0.169832E+03
   0.976855E+02   0.194834E+01  -0.140661E+02   0.551809E-03   0.841171E+01   0.114273E+02   0.174207E+02   0.118189E+02   0.170723E+03
   0.973808E+02   0.197393E+01  -0.658728E+01   0.617747E-03   0.938475E+01   0.122893E+02   0.179969E+02   0.255466E+02   0.170225E+03
   0.959050E+02  -0.164573E+01  -0.567585E+01   0.776826E-03   0.983376E+01   0.759602E+01   0.120831E+02   0.175395E+02   0.170661E+03
   0.991266E+02  -0.217982E+01  -0.418924E+01   0.721518E-03   0.114241E+02   0.106603E+02   0.212044E+02   0.114210E+02   0.170408E+03
   0.999368E+02  -0.182800E+01   0.168808E+02   0.561539E-03   0.114504E+02   0.940673E+01   0.108251E+02   0.228636E+02   0.167593E+03
