               a0_min         a1_min         a2_min         Y1_intercept   Y2_intercept   Y3_intercept   Y4_intercept   Y5_intercept   
N                 0.500000E+03   0.500000E+03   0.500000E+03   0.500000E+03   0.500000E+03   0.500000E+03   0.500000E+03   0.500000E+03
Minimum           0.952254E+02  -0.755280E+01  -0.179220E+02   0.321444E-03   0.550577E+01   0.521311E+01   0.804241E+01   0.841562E+01
Maximum           0.100698E+03   0.884274E+01   0.172046E+02   0.128585E-02   0.183515E+02   0.186517E+02   0.295616E+02   0.257501E+02
Range             0.547260E+01   0.163955E+02   0.351266E+02   0.964406E-03   0.128457E+02   0.134386E+02   0.215192E+02   0.173345E+02
Mean              0.979316E+02   0.933650E+00   0.150637E+00   0.666143E-03   0.101180E+02   0.100960E+02   0.152065E+02   0.151857E+02
Median            0.978619E+02   0.100661E+01   0.504853E+00   0.650030E-03   0.998277E+01   0.989038E+01   0.148456E+02   0.149257E+02
Q10%              0.969616E+02  -0.230064E+01  -0.750879E+01   0.502091E-03   0.767296E+01   0.768093E+01   0.113470E+02   0.115227E+02
Q25%              0.973562E+02  -0.749931E+00  -0.388241E+01   0.559441E-03   0.873839E+01   0.866827E+01   0.129078E+02   0.130506E+02
Q75%              0.984510E+02   0.261073E+01   0.416671E+01   0.768164E-03   0.114053E+02   0.113869E+02   0.170945E+02   0.170412E+02
Q90%              0.991090E+02   0.409520E+01   0.758230E+01   0.852584E-03   0.126653E+02   0.125781E+02   0.195894E+02   0.192620E+02
St.Dev.           0.859436E+00   0.258143E+01   0.602283E+01   0.141770E-03   0.197400E+01   0.201848E+01   0.328667E+01   0.304437E+01
Variance          0.738631E+00   0.666379E+01   0.362745E+02   0.200986E-07   0.389669E+01   0.407425E+01   0.108022E+02   0.926821E+01
CV                0.877588E-02   0.276488E+01   0.399824E+02   0.212821E+00   0.195098E+00   0.199928E+00   0.216136E+00   0.200477E+00
Skewness          0.237172E+00   0.129247E-01  -0.124984E+00   0.488853E+00   0.398608E+00   0.562553E+00   0.735957E+00   0.615023E+00
Kurtosis          0.207905E+00   0.945227E-01  -0.156634E+00   0.352440E+00   0.263746E+00   0.767507E+00   0.104949E+01   0.503423E+00
MaxPost           0.979485E+02   0.907527E+00   0.607683E-01   0.628413E-03   0.112230E+02   0.102949E+02   0.129104E+02   0.149946E+02
