               a0_min         a0_flood       Y1_intercept   Y2_intercept   Y3_intercept   Y4_intercept   Y5_intercept   
N                 0.562600E+04   0.562600E+04   0.562600E+04   0.562600E+04   0.562600E+04   0.562600E+04   0.562600E+04
Minimum           0.100000E+03   0.315840E+02   0.294843E-06   0.515573E+01   0.493102E+01   0.728481E+01   0.433120E-04
Maximum           0.124985E+03   0.349100E+02   0.174806E-02   0.201523E+02   0.179886E+02   0.278686E+02   0.195011E-01
Range             0.249850E+02   0.332600E+01   0.174777E-02   0.149966E+02   0.130576E+02   0.205838E+02   0.194578E-01
Mean              0.119331E+03   0.330047E+02   0.263550E-03   0.102188E+02   0.101359E+02   0.152089E+02   0.156876E-02
Median            0.119342E+03   0.330131E+02   0.206690E-03   0.100283E+02   0.997595E+01   0.148862E+02   0.100016E-02
Q10%              0.117960E+03   0.323907E+02   0.324530E-04   0.769972E+01   0.764092E+01   0.115106E+02   0.265040E-03
Q25%              0.118663E+03   0.326601E+02   0.104069E-03   0.873546E+01   0.874403E+01   0.130713E+02   0.518147E-03
Q75%              0.119991E+03   0.333451E+02   0.366644E-03   0.115722E+02   0.113676E+02   0.170349E+02   0.196055E-02
Q90%              0.120658E+03   0.336191E+02   0.543303E-03   0.129027E+02   0.128909E+02   0.191066E+02   0.356321E-02
St.Dev.           0.107542E+01   0.493108E+00   0.226431E-03   0.208982E+01   0.200579E+01   0.306681E+01   0.173523E-02
Variance          0.115653E+01   0.243156E+00   0.512712E-07   0.436736E+01   0.402320E+01   0.940530E+01   0.301103E-05
CV                0.901206E-02   0.149405E-01   0.859159E+00   0.204507E+00   0.197891E+00   0.201646E+00   0.110612E+01
Skewness         -0.104040E+01   0.118164E+00   0.182560E+01   0.535290E+00   0.426613E+00   0.617770E+00   0.288261E+01
Kurtosis          0.198963E+02   0.175574E-01   0.595953E+01   0.507860E+00   0.145620E-01   0.724656E+00   0.125192E+02
MaxPost           0.119796E+03   0.328768E+02   0.110208E-04   0.106157E+02   0.969782E+01   0.147820E+02   0.375017E-03
