a0_min         a0_flood       Y1_intercept   Y2_intercept   Y3_intercept   Y4_intercept   Y5_intercept   LogPost        LogPrior       LogHyper       LogLkh         Deviance       
   0.120253E+03   0.330239E+02   0.637430E-03   0.812827E+01   0.116161E+02   0.189035E+02   0.379371E-03   0.542261E+02  -0.413340E+00   0.000000E+00   0.546394E+02  -0.109279E+03
   0.119768E+03   0.330239E+02   0.637430E-03   0.671076E+01   0.112568E+02   0.189035E+02   0.231762E-02   0.516333E+02  -0.323018E+01   0.000000E+00   0.548635E+02  -0.109727E+03
   0.119768E+03   0.330239E+02   0.637430E-03   0.690468E+01   0.116911E+02   0.206704E+02   0.231762E-02   0.510051E+02  -0.385840E+01   0.000000E+00   0.548635E+02  -0.109727E+03
   0.119768E+03   0.330239E+02   0.366644E-03   0.702872E+01   0.116911E+02   0.208609E+02   0.621924E-02   0.506029E+02  -0.610307E+01   0.000000E+00   0.567060E+02  -0.113412E+03
   0.119083E+03   0.330239E+02   0.366644E-03   0.702016E+01   0.128199E+02   0.208828E+02   0.704465E-02   0.497355E+02  -0.704086E+01   0.000000E+00   0.567764E+02  -0.113553E+03
   0.119083E+03   0.330239E+02   0.366644E-03   0.702016E+01   0.139756E+02   0.198565E+02   0.795270E-02   0.490901E+02  -0.768613E+01   0.000000E+00   0.567762E+02  -0.113552E+03
   0.119083E+03   0.330239E+02   0.366644E-03   0.733717E+01   0.135031E+02   0.198565E+02   0.223286E-02   0.528171E+02  -0.395928E+01   0.000000E+00   0.567764E+02  -0.113553E+03
   0.119083E+03   0.330239E+02   0.366644E-03   0.811247E+01   0.114925E+02   0.198566E+02   0.348893E-02   0.535104E+02  -0.326593E+01   0.000000E+00   0.567763E+02  -0.113553E+03
   0.119083E+03   0.330239E+02   0.366644E-03   0.811247E+01   0.114110E+02   0.198921E+02   0.348893E-02   0.535273E+02  -0.324904E+01   0.000000E+00   0.567763E+02  -0.113553E+03
   0.120681E+03   0.330239E+02   0.366644E-03   0.811247E+01   0.118140E+02   0.202323E+02   0.124132E-02   0.539425E+02  -0.176276E+01   0.000000E+00   0.557053E+02  -0.111411E+03
   0.120681E+03   0.329424E+02   0.366644E-03   0.767136E+01   0.109660E+02   0.190697E+02   0.135424E-02   0.544550E+02  -0.137431E+01   0.000000E+00   0.558293E+02  -0.111659E+03
   0.120681E+03   0.329424E+02   0.366644E-03   0.728271E+01   0.112649E+02   0.192959E+02   0.135424E-02   0.539465E+02  -0.188289E+01   0.000000E+00   0.558294E+02  -0.111659E+03
   0.118394E+03   0.329424E+02   0.366644E-03   0.711915E+01   0.123893E+02   0.205508E+02   0.135424E-02   0.530908E+02  -0.304760E+01   0.000000E+00   0.561384E+02  -0.112277E+03
