               a0_min         a0_flood       Y1_intercept   Y2_intercept   Y3_intercept   Y4_intercept   Y5_intercept   
N                 0.200100E+04   0.200100E+04   0.200100E+04   0.200100E+04   0.200100E+04   0.200100E+04   0.200100E+04
Minimum           0.115792E+03   0.329932E+02   0.208130E-03   0.566944E+01   0.518725E+01   0.754256E+01   0.168846E-04
Maximum           0.122672E+03   0.330102E+02   0.133988E-02   0.170426E+02   0.201264E+02   0.307478E+02   0.893264E-02
Range             0.688000E+01   0.170000E-01   0.113175E-02   0.113732E+02   0.149392E+02   0.232052E+02   0.891576E-02
Mean              0.119351E+03   0.330002E+02   0.457421E-03   0.998518E+01   0.103446E+02   0.153476E+02   0.948929E-03
Median            0.119345E+03   0.330000E+02   0.431901E-03   0.984529E+01   0.102076E+02   0.148659E+02   0.633074E-03
Q10%              0.118555E+03   0.329997E+02   0.309053E-03   0.753714E+01   0.782865E+01   0.115505E+02   0.176688E-03
Q25%              0.118880E+03   0.330000E+02   0.357040E-03   0.861926E+01   0.893283E+01   0.129609E+02   0.317666E-03
Q75%              0.119792E+03   0.330004E+02   0.516236E-03   0.110983E+02   0.116689E+02   0.172154E+02   0.121599E-02
Q90%              0.120155E+03   0.330008E+02   0.624781E-03   0.126588E+02   0.129983E+02   0.202024E+02   0.204344E-02
St.Dev.           0.676636E+00   0.915229E-03   0.142855E-03   0.197173E+01   0.203141E+01   0.329708E+01   0.998338E-03
Variance          0.457836E+00   0.837645E-06   0.204075E-07   0.388773E+01   0.412661E+01   0.108707E+02   0.996679E-06
CV                0.566928E-02   0.277341E-04   0.312305E+00   0.197466E+00   0.196373E+00   0.214826E+00   0.105207E+01
Skewness          0.190669E-01   0.187550E+00   0.152533E+01   0.605765E+00   0.473508E+00   0.812506E+00   0.279451E+01
Kurtosis          0.130900E+01   0.311188E+02   0.375694E+01   0.461507E+00   0.563427E+00   0.112314E+01   0.112049E+02
MaxPost           0.119483E+03   0.330000E+02   0.382287E-03   0.100506E+02   0.895185E+01   0.148553E+02   0.204817E-03
