a0_min        a0_flood      Y1_intercept  Y2_intercept  Y3_intercept  Y4_intercept  Y5_intercept  LogPost       
  0.100000E+03  0.330000E+02  0.500000E-03  0.100000E+02  0.100000E+02  0.150000E+02  0.100000E-02 -0.310740E+03
  0.107954E+03  0.330000E+02  0.500000E-03  0.975932E+01  0.799930E+01  0.144004E+02  0.115359E-02 -0.587071E+02
  0.109056E+03  0.330000E+02  0.500000E-03  0.908221E+01  0.799930E+01  0.129382E+02  0.305948E-03 -0.334242E+02
  0.127553E+03  0.330000E+02  0.500000E-03  0.984446E+01  0.964707E+01  0.122462E+02  0.305948E-03  0.105456E+02
  0.127553E+03  0.330000E+02  0.182322E-02  0.984446E+01  0.995363E+01  0.117139E+02  0.305948E-03  0.520564E+02
  0.121878E+03  0.330000E+02  0.182322E-02  0.836746E+01  0.860583E+01  0.114256E+02  0.305948E-03  0.553150E+02
  0.115840E+03  0.330000E+02  0.165738E-02  0.836746E+01  0.860583E+01  0.114256E+02  0.305948E-03  0.555388E+02
  0.115840E+03  0.330000E+02  0.146304E-02  0.970356E+01  0.106630E+02  0.113780E+02  0.530072E-03  0.559477E+02
  0.115840E+03  0.330000E+02  0.146304E-02  0.861541E+01  0.102612E+02  0.115598E+02  0.530072E-03  0.559725E+02
  0.115840E+03  0.330000E+02  0.146304E-02  0.888299E+01  0.102612E+02  0.121140E+02  0.530072E-03  0.562749E+02
  0.115840E+03  0.330000E+02  0.146304E-02  0.888299E+01  0.102612E+02  0.126108E+02  0.713702E-04  0.571565E+02
  0.115840E+03  0.330000E+02  0.146304E-02  0.920926E+01  0.102612E+02  0.126108E+02  0.713702E-04  0.572110E+02
  0.121619E+03  0.330000E+02  0.146304E-02  0.960612E+01  0.969538E+01  0.120959E+02  0.713702E-04  0.579074E+02
  0.121619E+03  0.330000E+02  0.146304E-02  0.113896E+02  0.105136E+02  0.117244E+02  0.713702E-04  0.572965E+02
  0.121619E+03  0.330000E+02  0.146304E-02  0.110569E+02  0.107406E+02  0.117244E+02  0.713702E-04  0.573577E+02
  0.117459E+03  0.330000E+02  0.146304E-02  0.104720E+02  0.107406E+02  0.113475E+02  0.713702E-04  0.574671E+02
  0.117459E+03  0.330000E+02  0.146304E-02  0.100298E+02  0.116797E+02  0.113475E+02  0.713702E-04  0.572154E+02
  0.114080E+03  0.330000E+02  0.129898E-02  0.100298E+02  0.119823E+02  0.102719E+02  0.713702E-04  0.540062E+02
  0.114080E+03  0.330000E+02  0.129898E-02  0.967935E+01  0.119823E+02  0.104710E+02  0.573222E-03  0.533493E+02
  0.114080E+03  0.330000E+02  0.122921E-02  0.865178E+01  0.106946E+02  0.107890E+02  0.573222E-03  0.539289E+02
  0.114080E+03  0.330000E+02  0.122921E-02  0.865178E+01  0.111343E+02  0.100938E+02  0.107174E-02  0.521640E+02
  0.122452E+03  0.330000E+02  0.975058E-03  0.865178E+01  0.118941E+02  0.100938E+02  0.107174E-02  0.557574E+02
  0.122452E+03  0.330000E+02  0.975058E-03  0.865178E+01  0.125542E+02  0.114422E+02  0.203497E-02  0.548201E+02
  0.122452E+03  0.330000E+02  0.975058E-03  0.733627E+01  0.125542E+02  0.114422E+02  0.232361E-02  0.536795E+02
  0.119064E+03  0.330000E+02  0.975058E-03  0.739133E+01  0.109186E+02  0.963399E+01  0.195475E-02  0.556514E+02
  0.119064E+03  0.330000E+02  0.250674E-03  0.759547E+01  0.104343E+02  0.923590E+01  0.195475E-02  0.590407E+02
  0.119064E+03  0.330000E+02  0.250674E-03  0.793689E+01  0.925139E+01  0.958088E+01  0.195475E-02  0.597332E+02
  0.119064E+03  0.330000E+02  0.250674E-03  0.927075E+01  0.841316E+01  0.966261E+01  0.145104E-02  0.608082E+02
  0.119064E+03  0.330000E+02  0.250674E-03  0.927075E+01  0.918409E+01  0.966261E+01  0.145104E-02  0.610031E+02
  0.119064E+03  0.330000E+02  0.339201E-03  0.904245E+01  0.916632E+01  0.966261E+01  0.492826E-03  0.644446E+02
  0.119064E+03  0.330000E+02  0.339201E-03  0.839124E+01  0.916632E+01  0.978605E+01  0.492826E-03  0.643863E+02
  0.119064E+03  0.330000E+02  0.339201E-03  0.803201E+01  0.102996E+02  0.107552E+02  0.311922E-03  0.654704E+02
  0.119064E+03  0.330000E+02  0.339201E-03  0.815254E+01  0.102071E+02  0.110882E+02  0.311922E-03  0.657605E+02
  0.119064E+03  0.330000E+02  0.463236E-03  0.837533E+01  0.103341E+02  0.130390E+02  0.266265E-03  0.662439E+02
  0.119064E+03  0.330000E+02  0.454676E-03  0.950411E+01  0.103487E+02  0.134517E+02  0.464269E-03  0.660750E+02
  0.119064E+03  0.330000E+02  0.454676E-03  0.989264E+01  0.925835E+01  0.132906E+02  0.464269E-03  0.660950E+02
  0.119064E+03  0.330000E+02  0.454676E-03  0.102097E+02  0.878587E+01  0.140133E+02  0.464269E-03  0.660488E+02
  0.119064E+03  0.330000E+02  0.454676E-03  0.109850E+02  0.878587E+01  0.140134E+02  0.882959E-03  0.648717E+02
  0.119064E+03  0.330000E+02  0.454676E-03  0.102549E+02  0.870433E+01  0.140488E+02  0.882959E-03  0.650226E+02
  0.120129E+03  0.330000E+02  0.454676E-03  0.907216E+01  0.910737E+01  0.143890E+02  0.133758E-03  0.663691E+02
  0.120129E+03  0.330000E+02  0.454676E-03  0.863105E+01  0.825931E+01  0.132265E+02  0.171397E-03  0.658965E+02
  0.120129E+03  0.330000E+02  0.454676E-03  0.824240E+01  0.855821E+01  0.134527E+02  0.171397E-03  0.658979E+02
  0.118604E+03  0.330000E+02  0.454676E-03  0.824240E+01  0.867089E+01  0.134725E+02  0.171397E-03  0.659348E+02
  0.118604E+03  0.330000E+02  0.454676E-03  0.906901E+01  0.867089E+01  0.140526E+02  0.171397E-03  0.662357E+02
  0.118604E+03  0.330000E+02  0.454676E-03  0.778829E+01  0.948878E+01  0.152776E+02  0.171397E-03  0.658214E+02
  0.118604E+03  0.330000E+02  0.454676E-03  0.694091E+01  0.819987E+01  0.152776E+02  0.171397E-03  0.647389E+02
  0.118604E+03  0.330000E+02  0.454676E-03  0.679738E+01  0.819987E+01  0.151331E+02  0.779722E-04  0.644522E+02
  0.118604E+03  0.330000E+02  0.454676E-03  0.679738E+01  0.983937E+01  0.173435E+02  0.779722E-04  0.643602E+02
  0.118604E+03  0.330000E+02  0.443546E-03  0.661112E+01  0.104383E+02  0.172761E+02  0.779722E-04  0.641024E+02
  0.118604E+03  0.330000E+02  0.443546E-03  0.779286E+01  0.104773E+02  0.199201E+02  0.779722E-04  0.643945E+02
  0.118604E+03  0.330000E+02  0.443546E-03  0.100277E+02  0.107252E+02  0.205384E+02  0.779722E-04  0.646032E+02
  0.118604E+03  0.330000E+02  0.443546E-03  0.110277E+02  0.964601E+01  0.191390E+02  0.938201E-03  0.633799E+02
  0.118604E+03  0.330000E+02  0.443546E-03  0.110277E+02  0.995402E+01  0.185441E+02  0.236184E-03  0.652954E+02
  0.118604E+03  0.330000E+02  0.443546E-03  0.110053E+02  0.928708E+01  0.204135E+02  0.236184E-03  0.645829E+02
  0.118604E+03  0.330000E+02  0.443546E-03  0.113587E+02  0.722053E+01  0.211110E+02  0.236184E-03  0.631510E+02
  0.118604E+03  0.330000E+02  0.443546E-03  0.113587E+02  0.722053E+01  0.185281E+02  0.236184E-03  0.641836E+02
  0.118604E+03  0.330000E+02  0.443546E-03  0.101196E+02  0.722053E+01  0.163808E+02  0.996867E-03  0.632456E+02
  0.118604E+03  0.330000E+02  0.753172E-03  0.980536E+01  0.741145E+01  0.158242E+02  0.987709E-03  0.610959E+02
  0.118604E+03  0.330000E+02  0.352913E-03  0.100215E+02  0.778545E+01  0.176584E+02  0.987709E-03  0.634521E+02
  0.118604E+03  0.330000E+02  0.352913E-03  0.105656E+02  0.786416E+01  0.162399E+02  0.653743E-03  0.644858E+02
  0.118604E+03  0.330000E+02  0.352913E-03  0.104345E+02  0.832674E+01  0.150899E+02  0.653743E-03  0.649107E+02
  0.118604E+03  0.330000E+02  0.352913E-03  0.103912E+02  0.832674E+01  0.135989E+02  0.653743E-03  0.649034E+02
  0.118604E+03  0.330000E+02  0.352913E-03  0.100947E+02  0.830253E+01  0.127874E+02  0.653743E-03  0.648025E+02
  0.118604E+03  0.330000E+02  0.352913E-03  0.999426E+01  0.836955E+01  0.146336E+02  0.653743E-03  0.650180E+02
  0.118604E+03  0.330000E+02  0.352913E-03  0.917196E+01  0.103850E+02  0.154450E+02  0.163358E-02  0.632541E+02
  0.118604E+03  0.330000E+02  0.352913E-03  0.762293E+01  0.889723E+01  0.153109E+02  0.265297E-02  0.613022E+02
  0.118604E+03  0.330000E+02  0.352913E-03  0.795712E+01  0.893556E+01  0.149789E+02  0.265297E-02  0.615626E+02
  0.118604E+03  0.330000E+02  0.352913E-03  0.795712E+01  0.847756E+01  0.135047E+02  0.146090E-02  0.629957E+02
  0.118604E+03  0.330000E+02  0.352913E-03  0.795712E+01  0.839616E+01  0.130199E+02  0.720884E-03  0.643192E+02
  0.118604E+03  0.330000E+02  0.352913E-03  0.678890E+01  0.979695E+01  0.130199E+02  0.720884E-03  0.634782E+02
  0.118604E+03  0.330000E+02  0.408651E-03  0.622632E+01  0.102682E+02  0.125197E+02  0.116304E-02  0.616411E+02
  0.118604E+03  0.330000E+02  0.408651E-03  0.622632E+01  0.107785E+02  0.108813E+02  0.124119E-02  0.606497E+02
  0.118604E+03  0.330000E+02  0.408651E-03  0.843402E+01  0.955041E+01  0.108813E+02  0.124119E-02  0.629544E+02
  0.118604E+03  0.330000E+02  0.408651E-03  0.843402E+01  0.109268E+02  0.101121E+02  0.113617E-02  0.623578E+02
