id_order	ZdX_0.95	ZdX_1.95	ZdX_2.95	ZdX_3.95	Yu_ZdX_0.95	Yu_ZdX_1.95	Yu_ZdX_2.95	Yu_ZdX_3.95
0	-9999	-9999	-9999	-9999	-9999	-9999	-9999	-9999
0.06	0.112546100885235	0.0782550233995833	0.0572458507621955	0.0435691673674863	0.000918152410034431	0.00055324806411305	0.000458741988703076	0.000438065899283914
0.504	-9999	-9999	-9999	-9999	-9999	-9999	-9999	-9999
0.604	-9999	-9999	-9999	-9999	-9999	-9999	-9999	-9999
0.65	0.111932500885235	0.0776414233995833	0.0566322507621955	0.0429555673674863	0.000918152410034431	0.00055324806411305	0.000458741988703076	0.000438065899283914
0.704	-9999	-9999	-9999	-9999	-9999	-9999	-9999	-9999
0.804	-9999	-9999	-9999	-9999	-9999	-9999	-9999	-9999
0.904	-9999	-9999	-9999	-9999	-9999	-9999	-9999	-9999
1.004	-9999	-9999	-9999	-9999	-9999	-9999	-9999	-9999
1.104	-9999	-9999	-9999	-9999	-9999	-9999	-9999	-9999
1.204	-9999	-9999	-9999	-9999	-9999	-9999	-9999	-9999
1.304	-9999	-9999	-9999	-9999	-9999	-9999	-9999	-9999
1.404	-9999	-9999	-9999	-9999	-9999	-9999	-9999	-9999
1.504	-9999	-9999	-9999	-9999	-9999	-9999	-9999	-9999
1.604	-9999	-9999	-9999	-9999	-9999	-9999	-9999	-9999
1.65	0.11104583727793	0.0766031082054995	0.0560821740025561	0.0422573731960006	0.000918152410034431	0.00055324806411305	0.000458741988703076	0.000438065899283914
1.704	-9999	-9999	-9999	-9999	-9999	-9999	-9999	-9999
1.804	-9999	-9999	-9999	-9999	-9999	-9999	-9999	-9999
1.904	-9999	-9999	-9999	-9999	-9999	-9999	-9999	-9999
2.004	-9999	-9999	-9999	-9999	-9999	-9999	-9999	-9999
2.104	-9999	-9999	-9999	-9999	-9999	-9999	-9999	-9999
2.204	-9999	-9999	-9999	-9999	-9999	-9999	-9999	-9999
2.304	-9999	-9999	-9999	-9999	-9999	-9999	-9999	-9999
2.404	-9999	-9999	-9999	-9999	-9999	-9999	-9999	-9999
2.504	-9999	-9999	-9999	-9999	-9999	-9999	-9999	-9999
2.604	-9999	-9999	-9999	-9999	-9999	-9999	-9999	-9999
2.704	-9999	-9999	-9999	-9999	-9999	-9999	-9999	-9999
2.804	-9999	-9999	-9999	-9999	-9999	-9999	-9999	-9999
2.904	-9999	-9999	-9999	-9999	-9999	-9999	-9999	-9999
3.004	-9999	-9999	-9999	-9999	-9999	-9999	-9999	-9999
3.104	-9999	-9999	-9999	-9999	-9999	-9999	-9999	-9999
3.204	-9999	-9999	-9999	-9999	-9999	-9999	-9999	-9999
3.304	-9999	-9999	-9999	-9999	-9999	-9999	-9999	-9999
3.404	-9999	-9999	-9999	-9999	-9999	-9999	-9999	-9999
3.504	-9999	-9999	-9999	-9999	-9999	-9999	-9999	-9999
3.604	-9999	-9999	-9999	-9999	-9999	-9999	-9999	-9999
3.65	0.108083359589069	0.0738700246988197	0.0539268526715562	0.0402545442625832	0.000918152410034431	0.00055324806411305	0.000458741988703076	0.000438065899283914
3.704	-9999	-9999	-9999	-9999	-9999	-9999	-9999	-9999
3.804	-9999	-9999	-9999	-9999	-9999	-9999	-9999	-9999
