id_order	ZdX_0.95	ZdX_1.95	ZdX_2.95	ZdX_3.95	Yu_ZdX_0.95	Yu_ZdX_1.95	Yu_ZdX_2.95	Yu_ZdX_3.95
3.904	-9999	-9999	-9999	-9999	-9999	-9999	-9999	-9999
4.004	-9999	-9999	-9999	-9999	-9999	-9999	-9999	-9999
4.104	-9999	-9999	-9999	-9999	-9999	-9999	-9999	-9999
4.204	-9999	-9999	-9999	-9999	-9999	-9999	-9999	-9999
4.304	-9999	-9999	-9999	-9999	-9999	-9999	-9999	-9999
4.404	-9999	-9999	-9999	-9999	-9999	-9999	-9999	-9999
4.504	-9999	-9999	-9999	-9999	-9999	-9999	-9999	-9999
4.604	-9999	-9999	-9999	-9999	-9999	-9999	-9999	-9999
4.704	-9999	-9999	-9999	-9999	-9999	-9999	-9999	-9999
4.804	-9999	-9999	-9999	-9999	-9999	-9999	-9999	-9999
4.904	-9999	-9999	-9999	-9999	-9999	-9999	-9999	-9999
5.004	-9999	-9999	-9999	-9999	-9999	-9999	-9999	-9999
5.104	-9999	-9999	-9999	-9999	-9999	-9999	-9999	-9999
5.204	-9999	-9999	-9999	-9999	-9999	-9999	-9999	-9999
5.304	-9999	-9999	-9999	-9999	-9999	-9999	-9999	-9999
5.404	-9999	-9999	-9999	-9999	-9999	-9999	-9999	-9999
5.504	-9999	-9999	-9999	-9999	-9999	-9999	-9999	-9999
5.604	-9999	-9999	-9999	-9999	-9999	-9999	-9999	-9999
5.65	0.10606103571843	0.0716776693359027	0.051590227047208	0.0379332925006376	0.000918152410034431	0.00055324806411305	0.000458741988703076	0.000438065899283914
5.704	-9999	-9999	-9999	-9999	-9999	-9999	-9999	-9999
5.804	-9999	-9999	-9999	-9999	-9999	-9999	-9999	-9999
5.904	-9999	-9999	-9999	-9999	-9999	-9999	-9999	-9999
6.004	-9999	-9999	-9999	-9999	-9999	-9999	-9999	-9999
6.104	-9999	-9999	-9999	-9999	-9999	-9999	-9999	-9999
6.204	-9999	-9999	-9999	-9999	-9999	-9999	-9999	-9999
6.304	-9999	-9999	-9999	-9999	-9999	-9999	-9999	-9999
6.404	-9999	-9999	-9999	-9999	-9999	-9999	-9999	-9999
6.504	-9999	-9999	-9999	-9999	-9999	-9999	-9999	-9999
6.604	-9999	-9999	-9999	-9999	-9999	-9999	-9999	-9999
6.704	-9999	-9999	-9999	-9999	-9999	-9999	-9999	-9999
6.804	-9999	-9999	-9999	-9999	-9999	-9999	-9999	-9999
6.904	-9999	-9999	-9999	-9999	-9999	-9999	-9999	-9999
7.004	-9999	-9999	-9999	-9999	-9999	-9999	-9999	-9999
7.104	-9999	-9999	-9999	-9999	-9999	-9999	-9999	-9999
7.204	-9999	-9999	-9999	-9999	-9999	-9999	-9999	-9999
7.304	-9999	-9999	-9999	-9999	-9999	-9999	-9999	-9999
7.404	-9999	-9999	-9999	-9999	-9999	-9999	-9999	-9999
7.504	-9999	-9999	-9999	-9999	-9999	-9999	-9999	-9999
7.604	-9999	-9999	-9999	-9999	-9999	-9999	-9999	-9999
7.65	0.104516025467805	0.0698071952405972	0.0499853766811536	0.0363894631862227	0.000918152410034431	0.00055324806411305	0.000458741988703076	0.000438065899283914
7.704	-9999	-9999	-9999	-9999	-9999	-9999	-9999	-9999
7.804	-9999	-9999	-9999	-9999	-9999	-9999	-9999	-9999
7.904	-9999	-9999	-9999	-9999	-9999	-9999	-9999	-9999
8.004	-9999	-9999	-9999	-9999	-9999	-9999	-9999	-9999
8.104	-9999	-9999	-9999	-9999	-9999	-9999	-9999	-9999
8.204	-9999	-9999	-9999	-9999	-9999	-9999	-9999	-9999
8.304	-9999	-9999	-9999	-9999	-9999	-9999	-9999	-9999
8.404	-9999	-9999	-9999	-9999	-9999	-9999	-9999	-9999
8.504	-9999	-9999	-9999	-9999	-9999	-9999	-9999	-9999
8.604	-9999	-9999	-9999	-9999	-9999	-9999	-9999	-9999
8.704	-9999	-9999	-9999	-9999	-9999	-9999	-9999	-9999
8.804	-9999	-9999	-9999	-9999	-9999	-9999	-9999	-9999
8.904	-9999	-9999	-9999	-9999	-9999	-9999	-9999	-9999
9.004	-9999	-9999	-9999	-9999	-9999	-9999	-9999	-9999
9.104	-9999	-9999	-9999	-9999	-9999	-9999	-9999	-9999
9.204	-9999	-9999	-9999	-9999	-9999	-9999	-9999	-9999
9.304	-9999	-9999	-9999	-9999	-9999	-9999	-9999	-9999
9.404	-9999	-9999	-9999	-9999	-9999	-9999	-9999	-9999
9.504	-9999	-9999	-9999	-9999	-9999	-9999	-9999	-9999
9.604	-9999	-9999	-9999	-9999	-9999	-9999	-9999	-9999
9.65	0.102142037307596	0.0672428149450282	0.0476208762398479	0.0339300786940976	0.000918152410034431	0.00055324806411305	0.000458741988703076	0.000438065899283914
9.704	-9999	-9999	-9999	-9999	-9999	-9999	-9999	-9999
9.804	-9999	-9999	-9999	-9999	-9999	-9999	-9999	-9999
9.904	-9999	-9999	-9999	-9999	-9999	-9999	-9999	-9999
10.004	-9999	-9999	-9999	-9999	-9999	-9999	-9999	-9999
10.104	-9999	-9999	-9999	-9999	-9999	-9999	-9999	-9999
10.204	-9999	-9999	-9999	-9999	-9999	-9999	-9999	-9999
10.304	-9999	-9999	-9999	-9999	-9999	-9999	-9999	-9999
10.404	-9999	-9999	-9999	-9999	-9999	-9999	-9999	-9999
10.504	-9999	-9999	-9999	-9999	-9999	-9999	-9999	-9999
10.604	-9999	-9999	-9999	-9999	-9999	-9999	-9999	-9999
10.704	-9999	-9999	-9999	-9999	-9999	-9999	-9999	-9999
10.804	-9999	-9999	-9999	-9999	-9999	-9999	-9999	-9999
10.904	-9999	-9999	-9999	-9999	-9999	-9999	-9999	-9999
11.004	-9999	-9999	-9999	-9999	-9999	-9999	-9999	-9999
11.104	-9999	-9999	-9999	-9999	-9999	-9999	-9999	-9999
11.204	-9999	-9999	-9999	-9999	-9999	-9999	-9999	-9999
11.304	-9999	-9999	-9999	-9999	-9999	-9999	-9999	-9999
11.404	-9999	-9999	-9999	-9999	-9999	-9999	-9999	-9999
11.504	-9999	-9999	-9999	-9999	-9999	-9999	-9999	-9999
11.604	-9999	-9999	-9999	-9999	-9999	-9999	-9999	-9999
11.65	0.100660291483	0.0650094105104307	0.0456140871017645	0.032020538345	0.000918152410034431	0.00055324806411305	0.000458741988703076	0.000438065899283914
11.704	-9999	-9999	-9999	-9999	-9999	-9999	-9999	-9999
11.804	-9999	-9999	-9999	-9999	-9999	-9999	-9999	-9999
11.904	-9999	-9999	-9999	-9999	-9999	-9999	-9999	-9999
12.004	-9999	-9999	-9999	-9999	-9999	-9999	-9999	-9999
12.104	-9999	-9999	-9999	-9999	-9999	-9999	-9999	-9999
12.204	-9999	-9999	-9999	-9999	-9999	-9999	-9999	-9999
12.304	-9999	-9999	-9999	-9999	-9999	-9999	-9999	-9999
12.404	-9999	-9999	-9999	-9999	-9999	-9999	-9999	-9999
12.504	-9999	-9999	-9999	-9999	-9999	-9999	-9999	-9999
12.604	-9999	-9999	-9999	-9999	-9999	-9999	-9999	-9999
12.704	-9999	-9999	-9999	-9999	-9999	-9999	-9999	-9999
12.804	-9999	-9999	-9999	-9999	-9999	-9999	-9999	-9999
12.904	-9999	-9999	-9999	-9999	-9999	-9999	-9999	-9999
13.004	-9999	-9999	-9999	-9999	-9999	-9999	-9999	-9999
13.104	-9999	-9999	-9999	-9999	-9999	-9999	-9999	-9999
13.204	-9999	-9999	-9999	-9999	-9999	-9999	-9999	-9999
13.304	-9999	-9999	-9999	-9999	-9999	-9999	-9999	-9999
13.404	-9999	-9999	-9999	-9999	-9999	-9999	-9999	-9999
13.504	-9999	-9999	-9999	-9999	-9999	-9999	-9999	-9999
13.604	-9999	-9999	-9999	-9999	-9999	-9999	-9999	-9999
13.704	-9999	-9999	-9999	-9999	-9999	-9999	-9999	-9999
13.804	-9999	-9999	-9999	-9999	-9999	-9999	-9999	-9999
13.904	-9999	-9999	-9999	-9999	-9999	-9999	-9999	-9999
14.004	-9999	-9999	-9999	-9999	-9999	-9999	-9999	-9999
14.104	-9999	-9999	-9999	-9999	-9999	-9999	-9999	-9999
14.204	-9999	-9999	-9999	-9999	-9999	-9999	-9999	-9999
14.304	-9999	-9999	-9999	-9999	-9999	-9999	-9999	-9999
14.404	-9999	-9999	-9999	-9999	-9999	-9999	-9999	-9999
14.504	-9999	-9999	-9999	-9999	-9999	-9999	-9999	-9999
14.604	-9999	-9999	-9999	-9999	-9999	-9999	-9999	-9999
14.704	-9999	-9999	-9999	-9999	-9999	-9999	-9999	-9999
14.804	-9999	-9999	-9999	-9999	-9999	-9999	-9999	-9999
14.904	-9999	-9999	-9999	-9999	-9999	-9999	-9999	-9999
15.004	-9999	-9999	-9999	-9999	-9999	-9999	-9999	-9999
15.104	-9999	-9999	-9999	-9999	-9999	-9999	-9999	-9999
15.204	-9999	-9999	-9999	-9999	-9999	-9999	-9999	-9999
15.304	-9999	-9999	-9999	-9999	-9999	-9999	-9999	-9999
15.404	-9999	-9999	-9999	-9999	-9999	-9999	-9999	-9999
15.504	-9999	-9999	-9999	-9999	-9999	-9999	-9999	-9999
15.604	-9999	-9999	-9999	-9999	-9999	-9999	-9999	-9999
15.65	-9999	-9999	-9999	-9999	-9999	-9999	-9999	-9999
15.704	-9999	-9999	-9999	-9999	-9999	-9999	-9999	-9999
15.804	-9999	-9999	-9999	-9999	-9999	-9999	-9999	-9999
15.904	-9999	-9999	-9999	-9999	-9999	-9999	-9999	-9999
16.004	-9999	-9999	-9999	-9999	-9999	-9999	-9999	-9999
16.104	-9999	-9999	-9999	-9999	-9999	-9999	-9999	-9999
16.204	-9999	-9999	-9999	-9999	-9999	-9999	-9999	-9999
16.304	-9999	-9999	-9999	-9999	-9999	-9999	-9999	-9999
16.404	-9999	-9999	-9999	-9999	-9999	-9999	-9999	-9999
16.504	-9999	-9999	-9999	-9999	-9999	-9999	-9999	-9999
