IDTRANS;DIST;pk;ALTI_MOY
1;47,5;61900;193,0482
2;52,5;61895;193,0325
3;57,5;61890;193,0469
4;62,5;61885;193,0428
5;67,5;61880;193,0506
6;72,5;61875;193,0481
7;77,5;61870;193,0456
8;82,5;61865;193,0516
9;87,5;61860;193,0504
10;92,5;61855;193,0506
11;97,5;61850;193,0443
12;102,5;61845;193,0414
13;107,5;61840;193,0489
14;112,5;61835;193,0454
15;117,5;61830;193,0438
16;122,5;61825;193,0467
17;127,5;61820;193,0412
18;132,5;61815;193,0466
19;137,5;61810;193,0450
20;142,5;61805;193,0400
21;147,5;61800;193,0477
22;152,5;61795;193,0443
23;157,5;61790;193,0409
24;162,5;61785;193,0434
25;167,5;61780;193,0401
26;172,5;61775;193,0474
27;177,5;61770;193,0477
28;182,5;61765;193,0483
29;187,5;61760;193,0544
30;192,5;61755;193,0528
31;197,5;61750;193,0498
32;202,5;61745;193,0406
33;207,5;61740;193,0529
34;212,5;61735;193,0434
35;217,5;61730;193,0448
36;222,5;61725;193,0509
37;227,5;61720;193,0529
38;232,5;61715;193,0515
39;237,5;61710;193,0651
40;242,5;61705;193,0739
41;247,5;61700;193,0830
42;252,5;61695;193,0829
43;257,5;61690;193,1123
46;272,5;61675;193,0904
47;277,5;61670;193,0986
48;282,5;61665;193,0915
49;287,5;61660;193,0854
50;292,5;61655;193,0848
51;297,5;61650;193,0819
52;302,5;61645;193,0930
53;307,5;61640;193,1023
54;312,5;61635;193,0870
55;317,5;61630;193,0881
56;322,5;61625;193,0904
57;327,5;61620;193,0993
58;332,5;61615;193,0868
59;337,5;61610;193,0829
60;342,5;61605;193,0837
61;347,5;61600;193,0846
62;352,5;61595;193,0908
63;357,5;61590;193,0823
64;362,5;61585;193,0912
65;367,5;61580;193,0920
66;372,5;61575;193,0953
67;377,5;61570;193,1031
68;382,5;61565;193,0912
69;387,5;61560;193,1008
70;392,5;61555;193,0925
71;397,5;61550;193,1062
72;402,5;61545;193,0881
73;407,5;61540;193,0779
74;412,5;61535;193,1045
75;417,5;61530;193,0961
76;422,5;61525;193,1070
77;427,5;61520;193,1094
78;432,5;61515;193,1113
79;437,5;61510;193,1037
80;442,5;61505;193,0996
81;447,5;61500;193,0997
82;452,5;61495;193,1057
83;457,5;61490;193,0905
84;462,5;61485;193,0975
85;467,5;61480;193,0958
86;472,5;61475;193,0937
87;477,5;61470;193,0988
88;482,5;61465;193,1040
89;487,5;61460;193,1012
90;492,5;61455;193,0994
91;497,5;61450;193,1029
92;502,5;61445;193,1132
93;507,5;61440;193,0929
94;512,5;61435;193,0897
95;517,5;61430;193,1064
96;522,5;61425;193,1005
97;527,5;61420;193,0888
98;532,5;61415;193,1030
99;537,5;61410;193,0941
100;542,5;61405;193,1019
101;547,5;61400;193,1117
102;552,5;61395;193,1107
103;557,5;61390;193,0997
104;562,5;61385;193,0971
105;567,5;61380;193,0870
106;572,5;61375;193,1031
107;577,5;61370;193,0989
108;582,5;61365;193,1010
109;587,5;61360;193,0948
110;592,5;61355;193,1021
111;597,5;61350;193,1038
112;602,5;61345;193,0953
113;607,5;61340;193,1043
114;612,5;61335;193,1040
115;617,5;61330;193,0944
116;622,5;61325;193,0874
117;627,5;61320;193,1000
118;632,5;61315;193,0895
119;637,5;61310;193,1076
120;642,5;61305;193,1077
121;647,5;61300;193,1089
122;652,5;61295;193,0977
123;657,5;61290;193,1182
124;662,5;61285;193,1078
125;667,5;61280;193,1078
126;672,5;61275;193,0806
127;677,5;61270;193,0334
128;682,5;61265;193,0376
129;687,5;61260;193,0464
130;692,5;61255;193,0756
131;697,5;61250;193,0889
132;702,5;61245;193,0859
133;707,5;61240;193,0824
134;712,5;61235;193,0850
135;717,5;61230;193,0983
136;722,5;61225;193,0892
137;727,5;61220;193,0806
138;732,5;61215;193,0818
139;737,5;61210;193,0852
140;742,5;61205;193,0747
141;747,5;61200;193,0816
142;752,5;61195;193,0946
143;757,5;61190;193,0131
144;762,5;61185;193,0104
145;767,5;61180;193,0283
146;772,5;61175;193,0125
147;777,5;61170;193,0867
148;782,5;61165;193,0904
149;787,5;61160;193,0752
150;792,5;61155;193,0683
151;797,5;61150;193,0122
152;802,5;61145;193,0088
153;807,5;61140;193,0134
154;812,5;61135;193,0044
155;817,5;61130;193,0105
156;822,5;61125;193,0060
157;827,5;61120;192,9993
158;832,5;61115;193,0505
159;837,5;61110;193,0810
160;842,5;61105;193,0328
161;847,5;61100;193,0145
162;852,5;61095;193,0179
163;857,5;61090;193,0418
164;862,5;61085;193,0577
165;867,5;61080;193,0670
166;872,5;61075;193,0715
167;877,5;61070;193,0787
168;882,5;61065;193,0722
169;887,5;61060;193,0710
170;892,5;61055;193,0761
171;897,5;61050;193,0812
172;902,5;61045;193,0816
173;907,5;61040;193,0669
174;912,5;61035;193,0732
175;917,5;61030;193,0582
176;922,5;61025;193,0686
177;927,5;61020;193,0665
178;932,5;61015;193,0711
179;937,5;61010;193,0760
180;942,5;61005;193,0834
181;947,5;61000;193,0785
182;952,5;60995;193,0640
183;957,5;60990;193,0371
184;962,5;60985;193,0507
185;967,5;60980;193,0372
