Date;Heure;Ain;Lagnieu
13/02/2011;00:00:00;34.084;156.957
13/02/2011;01:00:00;33.741;156.994
13/02/2011;02:00:00;33.798;156.561
13/02/2011;03:00:00;33.787;157.532
13/02/2011;04:00:00;33.775;157.501
13/02/2011;05:00:00;33.693;157.159
13/02/2011;06:00:00;33.829;157.266
13/02/2011;07:00:00;33.655;157.158
13/02/2011;08:00:00;33.585;156.984
13/02/2011;09:00:00;33.634;157.391
13/02/2011;10:00:00;33.705;157.680
13/02/2011;11:00:00;33.787;157.343
13/02/2011;12:00:00;33.653;158.069
13/02/2011;13:00:00;33.782;157.627
13/02/2011;14:00:00;33.192;157.402
13/02/2011;15:00:00;32.943;157.484
13/02/2011;16:00:00;33.318;156.828
13/02/2011;17:00:00;33.187;158.027
13/02/2011;18:00:00;32.686;157.142
13/02/2011;19:00:00;32.526;157.073
13/02/2011;20:00:00;32.928;157.008
13/02/2011;21:00:00;33.106;156.561
13/02/2011;22:00:00;33.121;157.122
13/02/2011;23:00:00;33.478;156.565
