a0_min         a1_min         a2_min         Y1_intercept   Y2_intercept   Y3_intercept   Y4_intercept   LogPost        
   0.100501E+03   0.265697E+01   0.575368E+01   0.366711E-03   0.347412E-03   0.139452E-03   0.751119E-03   0.215364E+03
   0.100501E+03   0.265697E+01   0.512398E+01   0.366711E-03   0.347412E-03   0.139452E-03   0.751119E-03   0.215652E+03
   0.100501E+03   0.265697E+01  -0.625067E+01   0.366711E-03   0.347412E-03   0.264232E-03   0.751119E-03   0.215273E+03
   0.100501E+03   0.185084E+00  -0.625067E+01   0.366711E-03   0.347412E-03   0.264232E-03   0.751119E-03   0.215549E+03
   0.100501E+03   0.292308E+01  -0.317609E+01   0.366711E-03   0.347412E-03   0.264232E-03   0.751119E-03   0.215957E+03
   0.100181E+03   0.292308E+01  -0.409791E+01   0.366711E-03   0.347412E-03   0.264232E-03   0.137079E-02   0.215364E+03
   0.100181E+03   0.292308E+01   0.149134E+01   0.101668E-03   0.347412E-03   0.264232E-03   0.137079E-02   0.215341E+03
   0.100181E+03   0.207837E+01  -0.107747E+01   0.101668E-03   0.347412E-03   0.264232E-03   0.137079E-02   0.216114E+03
   0.997215E+02   0.207837E+01  -0.108712E+01   0.101668E-03   0.347412E-03   0.264232E-03   0.137079E-02   0.215026E+03
   0.997215E+02   0.207837E+01   0.715505E+00   0.101668E-03   0.347412E-03   0.264232E-03   0.137079E-02   0.214491E+03
   0.997215E+02  -0.727663E+00   0.508246E+01   0.101668E-03   0.667516E-03   0.264232E-03   0.137079E-02   0.211028E+03
   0.100800E+03  -0.727663E+00  -0.192276E+01   0.101668E-03   0.667516E-03   0.264232E-03   0.137079E-02   0.214348E+03
   0.100800E+03  -0.727663E+00  -0.171314E+01   0.101668E-03   0.508573E-03   0.264232E-03   0.137079E-02   0.215336E+03
   0.100800E+03  -0.727663E+00  -0.381780E+01   0.101668E-03   0.508573E-03   0.264232E-03   0.137079E-02   0.215140E+03
   0.100800E+03  -0.727663E+00  -0.381780E+01   0.101668E-03   0.508573E-03   0.264232E-03   0.137079E-02   0.215140E+03
   0.100800E+03  -0.727663E+00  -0.381780E+01   0.101668E-03   0.508573E-03   0.264232E-03   0.137079E-02   0.215140E+03
   0.100800E+03  -0.727663E+00  -0.381780E+01   0.101668E-03   0.508573E-03   0.264232E-03   0.137079E-02   0.215140E+03
   0.100800E+03  -0.727663E+00  -0.378303E+00   0.101668E-03   0.491526E-04   0.264232E-03   0.137079E-02   0.216941E+03
   0.100800E+03   0.394534E+01  -0.378303E+00   0.101668E-03   0.491526E-04   0.264232E-03   0.750256E-03   0.217131E+03
   0.100800E+03   0.394534E+01  -0.378303E+00   0.501209E-03   0.491526E-04   0.264232E-03   0.750256E-03   0.216139E+03
   0.100800E+03   0.394534E+01   0.191386E+01   0.501209E-03   0.491526E-04   0.264232E-03   0.750256E-03   0.216053E+03
   0.100800E+03   0.334552E+01  -0.587606E+01   0.501209E-03   0.491526E-04   0.264232E-03   0.750256E-03   0.215302E+03
   0.100800E+03   0.334552E+01  -0.845933E+01   0.501209E-03   0.491526E-04   0.264232E-03   0.927500E-03   0.214796E+03
   0.100800E+03  -0.374963E+00   0.739393E+01   0.501209E-03   0.491526E-04   0.264232E-03   0.927500E-03   0.214240E+03
