a0_min         a1_min         a2_min         Y1_intercept   Y2_intercept   Y3_intercept   Y4_intercept   LogPost        LogPrior       LogHyper       LogLkh         Deviance       
   0.100501E+03   0.265697E+01   0.575368E+01   0.366711E-03   0.347412E-03   0.139452E-03   0.751119E-03   0.215364E+03   0.000000E+00   0.000000E+00   0.215364E+03  -0.430728E+03
   0.100501E+03   0.265697E+01   0.512398E+01   0.366711E-03   0.347412E-03   0.139452E-03   0.751119E-03   0.215652E+03   0.000000E+00   0.000000E+00   0.215652E+03  -0.431304E+03
   0.100501E+03   0.265697E+01  -0.625067E+01   0.366711E-03   0.347412E-03   0.264232E-03   0.751119E-03   0.215273E+03   0.000000E+00   0.000000E+00   0.215273E+03  -0.430546E+03
   0.100501E+03   0.185084E+00  -0.625067E+01   0.366711E-03   0.347412E-03   0.264232E-03   0.751119E-03   0.215549E+03   0.000000E+00   0.000000E+00   0.215549E+03  -0.431098E+03
   0.100501E+03   0.292308E+01  -0.317609E+01   0.366711E-03   0.347412E-03   0.264232E-03   0.751119E-03   0.215957E+03   0.000000E+00   0.000000E+00   0.215957E+03  -0.431914E+03
   0.100181E+03   0.292308E+01  -0.409791E+01   0.366711E-03   0.347412E-03   0.264232E-03   0.137079E-02   0.215364E+03   0.000000E+00   0.000000E+00   0.215364E+03  -0.430728E+03
   0.100181E+03   0.292308E+01   0.149134E+01   0.101668E-03   0.347412E-03   0.264232E-03   0.137079E-02   0.215341E+03   0.000000E+00   0.000000E+00   0.215341E+03  -0.430682E+03
   0.100181E+03   0.207837E+01  -0.107747E+01   0.101668E-03   0.347412E-03   0.264232E-03   0.137079E-02   0.216114E+03   0.000000E+00   0.000000E+00   0.216114E+03  -0.432228E+03
   0.997215E+02   0.207837E+01  -0.108712E+01   0.101668E-03   0.347412E-03   0.264232E-03   0.137079E-02   0.215026E+03   0.000000E+00   0.000000E+00   0.215026E+03  -0.430052E+03
   0.997215E+02   0.207837E+01   0.715505E+00   0.101668E-03   0.347412E-03   0.264232E-03   0.137079E-02   0.214491E+03   0.000000E+00   0.000000E+00   0.214491E+03  -0.428982E+03
   0.997215E+02  -0.727663E+00   0.508246E+01   0.101668E-03   0.667516E-03   0.264232E-03   0.137079E-02   0.211028E+03   0.000000E+00   0.000000E+00   0.211028E+03  -0.422056E+03
   0.100800E+03  -0.727663E+00  -0.192276E+01   0.101668E-03   0.667516E-03   0.264232E-03   0.137079E-02   0.214348E+03   0.000000E+00   0.000000E+00   0.214348E+03  -0.428696E+03
   0.100800E+03  -0.727663E+00  -0.171314E+01   0.101668E-03   0.508573E-03   0.264232E-03   0.137079E-02   0.215336E+03   0.000000E+00   0.000000E+00   0.215336E+03  -0.430672E+03
   0.100800E+03  -0.727663E+00  -0.381780E+01   0.101668E-03   0.508573E-03   0.264232E-03   0.137079E-02   0.215140E+03   0.000000E+00   0.000000E+00   0.215140E+03  -0.430280E+03
