a0_min        a1_min        a2_min        Y1_intercept  Y2_intercept  Y3_intercept  Y4_intercept  LogPost       
  0.100000E+03  0.000000E+00  0.000000E+00  0.100000E-02  0.100000E-02  0.100000E-02  0.100000E-02  0.204644E+03
  0.100000E+03  0.000000E+00  0.000000E+00  0.100000E-02  0.100000E-02  0.100000E-02  0.100000E-02  0.204644E+03
  0.101536E+03  0.110153E+01  0.106728E+02  0.100000E-02  0.100000E-02  0.100000E-02  0.100000E-02  0.203730E+03
  0.101536E+03  0.110153E+01  0.106728E+02  0.100000E-02  0.496885E-03  0.100000E-02  0.100000E-02  0.206276E+03
  0.101536E+03  0.110153E+01  0.107975E+02  0.100000E-02  0.496885E-03  0.100000E-02  0.100000E-02  0.206235E+03
  0.101536E+03  0.624310E+00  0.512254E+01  0.100000E-02  0.496885E-03  0.100000E-02  0.834965E-03  0.207107E+03
  0.101536E+03  0.307976E+01 -0.916276E+00  0.100000E-02  0.496885E-03  0.170787E-03  0.834965E-03  0.211408E+03
  0.101536E+03  0.307976E+01 -0.916276E+00  0.886075E-03  0.496885E-03  0.170787E-03  0.834965E-03  0.211915E+03
  0.101536E+03  0.307976E+01  0.398077E+01  0.886075E-03  0.496885E-03  0.170787E-03  0.834965E-03  0.212693E+03
  0.101536E+03  0.148255E+01  0.398077E+01  0.886075E-03  0.496885E-03  0.170787E-03  0.834965E-03  0.213280E+03
  0.101536E+03  0.148255E+01  0.398077E+01  0.886075E-03  0.827970E-04  0.170787E-03  0.834965E-03  0.215227E+03
  0.101536E+03  0.148255E+01  0.398077E+01  0.886075E-03  0.827970E-04  0.170787E-03  0.834965E-03  0.215227E+03
  0.101536E+03  0.148255E+01  0.398077E+01  0.886075E-03  0.827970E-04  0.170787E-03  0.834965E-03  0.215227E+03
  0.101536E+03  0.148255E+01  0.398077E+01  0.886075E-03  0.827970E-04  0.170787E-03  0.834965E-03  0.215227E+03
  0.101536E+03  0.148255E+01  0.398077E+01  0.886075E-03  0.827970E-04  0.170787E-03  0.834965E-03  0.215227E+03
  0.101536E+03  0.148255E+01  0.398077E+01  0.360033E-03  0.827970E-04  0.170787E-03  0.834965E-03  0.217162E+03
  0.101536E+03  0.148255E+01  0.398077E+01  0.360033E-03  0.827970E-04  0.170787E-03  0.834965E-03  0.217162E+03
  0.101536E+03  0.148255E+01  0.398077E+01  0.360033E-03  0.827970E-04  0.170787E-03  0.834965E-03  0.217162E+03
  0.100708E+03  0.148255E+01  0.601916E+00  0.360033E-03  0.827970E-04  0.170787E-03  0.834965E-03  0.218096E+03
  0.100708E+03  0.148255E+01 -0.938643E+01  0.360033E-03  0.827970E-04  0.170787E-03  0.834965E-03  0.215583E+03
  0.100708E+03  0.148255E+01 -0.805916E+01  0.360033E-03  0.827970E-04  0.170787E-03  0.834965E-03  0.216294E+03
  0.100708E+03  0.197813E+01 -0.109193E+02  0.360033E-03  0.827970E-04  0.170787E-03  0.834965E-03  0.214467E+03
  0.100708E+03  0.197813E+01 -0.282197E+01  0.360033E-03  0.827970E-04  0.170787E-03  0.834965E-03  0.217921E+03
  0.100708E+03  0.197813E+01 -0.282197E+01  0.360033E-03  0.827970E-04  0.170787E-03  0.834965E-03  0.217921E+03
  0.100708E+03  0.197813E+01 -0.282197E+01  0.360033E-03  0.827970E-04  0.170787E-03  0.834965E-03  0.217921E+03
  0.100708E+03  0.197813E+01 -0.282197E+01  0.360033E-03  0.827970E-04  0.170787E-03  0.834965E-03  0.217921E+03
  0.100708E+03  0.197813E+01 -0.282197E+01  0.360033E-03  0.827970E-04  0.170787E-03  0.834965E-03  0.217921E+03
  0.100708E+03  0.165260E+00 -0.282197E+01  0.360033E-03  0.827970E-04  0.170787E-03  0.834965E-03  0.217850E+03
  0.100708E+03  0.165260E+00 -0.282197E+01  0.360033E-03  0.827970E-04  0.170787E-03  0.834965E-03  0.217850E+03
  0.100708E+03  0.244413E+01 -0.282197E+01  0.360033E-03  0.327585E-03  0.170787E-03  0.834965E-03  0.216789E+03
