               a0_min         a1_min         a2_min         Y1_intercept   Y2_intercept   Y3_intercept   Y4_intercept   
N                 0.401000E+03   0.401000E+03   0.401000E+03   0.401000E+03   0.401000E+03   0.401000E+03   0.401000E+03
Minimum           0.991789E+02  -0.550882E+01  -0.123316E+02   0.827490E-05   0.369794E-04   0.328016E-06   0.513593E-03
Maximum           0.102410E+03   0.774743E+01   0.930846E+01   0.123767E-02   0.100439E-02   0.482269E-03   0.227026E-02
Range             0.323110E+01   0.132562E+02   0.216401E+02   0.122940E-02   0.967411E-03   0.481941E-03   0.175667E-02
Mean              0.100810E+03   0.117716E+01  -0.170359E+00   0.359560E-03   0.264877E-03   0.127133E-03   0.111803E-02
Median            0.100759E+03   0.131875E+01   0.262023E+00   0.291077E-03   0.197216E-03   0.615844E-04   0.103467E-02
Q10%              0.100177E+03  -0.181642E+01  -0.586449E+01   0.679903E-04   0.491526E-04   0.667772E-06   0.753037E-03
Q25%              0.100498E+03  -0.597309E+00  -0.271892E+01   0.188317E-03   0.953030E-04   0.163546E-04   0.867330E-03
Q75%              0.100988E+03   0.303551E+01   0.248146E+01   0.538384E-03   0.358344E-03   0.219745E-03   0.123868E-02
Q90%              0.101695E+03   0.388887E+01   0.468506E+01   0.672502E-03   0.635806E-03   0.354172E-03   0.160243E-02
St.Dev.           0.564258E+00   0.227855E+01   0.402187E+01   0.242505E-03   0.209492E-03   0.133053E-03   0.348166E-03
Variance          0.318387E+00   0.519180E+01   0.161755E+02   0.588087E-07   0.438870E-07   0.177032E-07   0.121220E-06
CV                0.559726E-02   0.193564E+01   0.236082E+02   0.674449E+00   0.790904E+00   0.104657E+01   0.311410E+00
Skewness          0.266689E+00  -0.320335E+00  -0.305142E+00   0.761659E+00   0.123374E+01   0.957691E+00   0.126658E+01
Kurtosis          0.820010E+00  -0.252346E+00   0.420692E-02   0.449787E+00   0.119025E+01  -0.180761E+00   0.146460E+01
MaxPost           0.100937E+03   0.106963E+01   0.100382E+01   0.103775E-04   0.125953E-03   0.667772E-06   0.109162E-02
