a0_min         a1_min         a2_min         Y1_intercept   Y2_intercept   Y3_intercept   Y4_intercept   Y5_intercept   LogPost        LogPrior       LogHyper       LogLkh         Deviance       
   0.984981E+02   0.142546E+01   0.507148E+01   0.488906E-03   0.999104E+01   0.929207E+01   0.126190E+02   0.914450E+01   0.172541E+03  -0.100196E+02   0.000000E+00   0.182561E+03  -0.365121E+03
   0.984981E+02   0.142546E+01  -0.644527E+00   0.488906E-03   0.991468E+01   0.952203E+01   0.175172E+02   0.117116E+02   0.174010E+03  -0.820664E+01   0.000000E+00   0.182217E+03  -0.364433E+03
   0.984981E+02   0.148444E+01   0.839677E+01   0.488906E-03   0.768108E+01   0.711257E+01   0.174460E+02   0.142085E+02   0.172608E+03  -0.939473E+01   0.000000E+00   0.182003E+03  -0.364005E+03
   0.984981E+02   0.148444E+01   0.839677E+01   0.488906E-03   0.742437E+01   0.711257E+01   0.174460E+02   0.142085E+02   0.172403E+03  -0.959939E+01   0.000000E+00   0.182002E+03  -0.364005E+03
   0.984981E+02   0.148444E+01   0.839677E+01   0.488906E-03   0.742437E+01   0.856783E+01   0.173523E+02   0.134960E+02   0.173343E+03  -0.865905E+01   0.000000E+00   0.182002E+03  -0.364004E+03
   0.984981E+02   0.148444E+01   0.839677E+01   0.527945E-03   0.742437E+01   0.856783E+01   0.158005E+02   0.118735E+02   0.173565E+03  -0.874920E+01   0.000000E+00   0.182314E+03  -0.364628E+03
   0.984981E+02   0.413977E+01   0.839677E+01   0.527945E-03   0.109539E+02   0.106140E+02   0.975011E+01   0.116570E+02   0.171370E+03  -0.998946E+01   0.000000E+00   0.181359E+03  -0.362719E+03
   0.100044E+03  -0.373827E+01   0.839677E+01   0.527945E-03   0.105207E+02   0.106140E+02   0.940175E+01   0.154037E+02   0.168598E+03  -0.974235E+01   0.000000E+00   0.178340E+03  -0.356681E+03
   0.100044E+03  -0.373030E+01   0.821444E+01   0.527945E-03   0.887809E+01   0.106140E+02   0.102473E+02   0.154037E+02   0.169436E+03  -0.889045E+01   0.000000E+00   0.178326E+03  -0.356653E+03
   0.100044E+03  -0.373030E+01   0.821444E+01   0.527945E-03   0.887809E+01   0.120449E+02   0.102473E+02   0.154037E+02   0.168921E+03  -0.940524E+01   0.000000E+00   0.178326E+03  -0.356652E+03
   0.100044E+03  -0.373030E+01   0.872819E+01   0.731001E-03   0.887809E+01   0.102070E+02   0.161071E+02   0.140958E+02   0.172220E+03  -0.746376E+01   0.000000E+00   0.179684E+03  -0.359368E+03
   0.978086E+02  -0.373030E+01   0.872819E+01   0.731001E-03   0.106283E+02   0.876088E+01   0.116525E+02   0.138954E+02   0.172076E+03  -0.799434E+01   0.000000E+00   0.180070E+03  -0.360141E+03
   0.978086E+02  -0.373030E+01   0.335901E+01   0.731001E-03   0.106283E+02   0.723544E+01   0.140134E+02   0.153908E+02   0.172969E+03  -0.837575E+01   0.000000E+00   0.181345E+03  -0.362690E+03
