               a0_min         a1_min         a2_min         Y1_intercept   Y2_intercept   Y3_intercept   Y4_intercept   Y5_intercept   Y6_intercept   Y7_intercept   Y8_intercept   
N                 0.401000E+03   0.401000E+03   0.401000E+03   0.401000E+03   0.401000E+03   0.401000E+03   0.401000E+03   0.401000E+03   0.401000E+03   0.401000E+03   0.401000E+03
Minimum           0.983855E+02  -0.520420E+01  -0.155755E+02   0.800933E-05   0.512180E-04   0.218790E-04   0.171860E-04   0.730308E-05   0.621642E-04   0.191132E-04   0.347663E-05
Maximum           0.102605E+03   0.846806E+01   0.182363E+02   0.453093E-02   0.906289E-02   0.419576E-02   0.743526E-02   0.629122E-02   0.873067E-02   0.776662E-02   0.396142E-02
Range             0.421950E+01   0.136723E+02   0.338118E+02   0.452292E-02   0.901167E-02   0.417388E-02   0.741807E-02   0.628392E-02   0.866851E-02   0.774751E-02   0.395794E-02
Mean              0.100249E+03   0.235854E+01   0.160538E+01   0.664077E-03   0.706079E-03   0.861937E-03   0.121720E-02   0.889151E-03   0.103306E-02   0.717321E-03   0.640752E-03
Median            0.100312E+03   0.217643E+01   0.175619E+01   0.460521E-03   0.574456E-03   0.739470E-03   0.949989E-03   0.789272E-03   0.846823E-03   0.579807E-03   0.455239E-03
Q10%              0.993175E+02  -0.764381E+00  -0.598835E+01   0.967327E-04   0.894425E-04   0.159040E-03   0.354780E-03   0.225056E-03   0.324773E-03   0.172792E-03   0.819887E-04
Q25%              0.995675E+02   0.857417E+00  -0.162686E+01   0.264143E-03   0.228242E-03   0.359466E-03   0.674096E-03   0.432618E-03   0.578632E-03   0.382892E-03   0.179478E-03
Q75%              0.100721E+03   0.398654E+01   0.528924E+01   0.983517E-03   0.893640E-03   0.109272E-02   0.153849E-02   0.112926E-02   0.123607E-02   0.805596E-03   0.102025E-02
Q90%              0.101429E+03   0.569909E+01   0.902770E+01   0.145768E-02   0.152273E-02   0.164575E-02   0.239995E-02   0.147911E-02   0.191829E-02   0.138733E-02   0.122731E-02
St.Dev.           0.803218E+00   0.250993E+01   0.594731E+01   0.624234E-03   0.723980E-03   0.678922E-03   0.889499E-03   0.709203E-03   0.885882E-03   0.644439E-03   0.620245E-03
Variance          0.645159E+00   0.629974E+01   0.353704E+02   0.389668E-06   0.524147E-06   0.460935E-06   0.791208E-06   0.502969E-06   0.784786E-06   0.415301E-06   0.384704E-06
CV                0.801225E-02   0.106419E+01   0.370461E+01   0.940002E+00   0.102535E+01   0.787670E+00   0.730773E+00   0.797619E+00   0.857531E+00   0.898397E+00   0.967995E+00
Skewness          0.369543E+00   0.350047E-01  -0.147400E+00   0.210778E+01   0.487622E+01   0.176253E+01   0.207509E+01   0.324948E+01   0.376796E+01   0.430677E+01   0.238967E+01
Kurtosis         -0.423777E+00  -0.395429E-01   0.154208E+00   0.699315E+01   0.463960E+02   0.452690E+01   0.755908E+01   0.173167E+02   0.229041E+02   0.368084E+02   0.896942E+01
MaxPost           0.100341E+03   0.117254E+01   0.393287E+00   0.416612E-03   0.897387E-04   0.485863E-03   0.674096E-03   0.383773E-03   0.728754E-03   0.523878E-03   0.168555E-03
