a0_min        a0_flood      Y1_intercept  Y2_intercept  Y3_intercept  Y4_intercept  Y5_intercept  LogPost       
  0.103413E+03  0.532706E+02  0.267068E-03  0.987639E+01  0.858527E+01  0.183521E-02  0.178002E+02  0.331373E+02
  0.103413E+03  0.532706E+02  0.267068E-03  0.995419E+01  0.893511E+01  0.190488E-02  0.177622E+02  0.331741E+02
  0.103413E+03  0.532706E+02  0.494955E-03  0.995419E+01  0.823595E+01  0.698757E-03  0.182744E+02  0.340157E+02
  0.103413E+03  0.532706E+02  0.494955E-03  0.862794E+01  0.102894E+02  0.231271E-03  0.181794E+02  0.342534E+02
  0.103413E+03  0.537542E+02  0.494955E-03  0.923663E+01  0.979702E+01  0.231271E-03  0.181794E+02  0.344197E+02
  0.103413E+03  0.550426E+02  0.494955E-03  0.747460E+01  0.988554E+01  0.231271E-03  0.181527E+02  0.327320E+02
  0.103413E+03  0.518805E+02  0.494955E-03  0.723412E+01  0.988554E+01  0.231271E-03  0.185650E+02  0.322845E+02
  0.103413E+03  0.517740E+02  0.494955E-03  0.743964E+01  0.846804E+01  0.231271E-03  0.181897E+02  0.322570E+02
  0.103413E+03  0.517740E+02  0.494955E-03  0.887471E+01  0.866196E+01  0.665503E-03  0.199566E+02  0.323460E+02
  0.103413E+03  0.545621E+02  0.494955E-03  0.878444E+01  0.878599E+01  0.665503E-03  0.201471E+02  0.330157E+02
  0.103413E+03  0.544114E+02  0.494955E-03  0.903556E+01  0.756891E+01  0.665503E-03  0.218403E+02  0.318183E+02
  0.103558E+03  0.544114E+02  0.494955E-03  0.895117E+01  0.951661E+01  0.665503E-03  0.218403E+02  0.318030E+02
  0.103558E+03  0.540569E+02  0.494955E-03  0.816087E+01  0.104756E+02  0.993983E-03  0.223158E+02  0.311673E+02
  0.103558E+03  0.540569E+02  0.494955E-03  0.715046E+01  0.113416E+02  0.190314E-02  0.234787E+02  0.287148E+02
  0.103558E+03  0.540571E+02  0.494955E-03  0.715046E+01  0.108563E+02  0.115503E-02  0.234787E+02  0.295683E+02
  0.103558E+03  0.529248E+02  0.494955E-03  0.639405E+01  0.108224E+02  0.115503E-02  0.233242E+02  0.289066E+02
  0.103558E+03  0.540862E+02  0.494955E-03  0.639405E+01  0.990729E+01  0.713916E-03  0.220521E+02  0.298917E+02
  0.103558E+03  0.542104E+02  0.494955E-03  0.800732E+01  0.107675E+02  0.325267E-03  0.225005E+02  0.313055E+02
  0.103558E+03  0.542104E+02  0.342435E-03  0.717061E+01  0.105794E+02  0.325267E-03  0.225005E+02  0.310981E+02
  0.103558E+03  0.542104E+02  0.342435E-03  0.717061E+01  0.972090E+01  0.685293E-04  0.225005E+02  0.298079E+02
  0.103558E+03  0.542104E+02  0.342435E-03  0.824256E+01  0.992045E+01  0.685293E-04  0.225005E+02  0.305733E+02
  0.103558E+03  0.542104E+02  0.342435E-03  0.853381E+01  0.121334E+02  0.685293E-04  0.216312E+02  0.304427E+02
  0.103558E+03  0.542104E+02  0.342435E-03  0.869601E+01  0.119550E+02  0.685293E-04  0.200984E+02  0.312563E+02
  0.103558E+03  0.526248E+02  0.342435E-03  0.869601E+01  0.118467E+02  0.107462E-02  0.193173E+02  0.329196E+02
  0.103558E+03  0.526248E+02  0.342435E-03  0.928373E+01  0.118467E+02  0.106349E-02  0.190379E+02  0.331443E+02
