               a0_min         a0_flood       Y1_intercept   Y2_intercept   Y3_intercept   Y4_intercept   Y5_intercept   
N                 0.200100E+04   0.200100E+04   0.200100E+04   0.200100E+04   0.200100E+04   0.200100E+04   0.200100E+04
Minimum           0.969799E+02   0.514427E+02   0.201126E-03   0.472373E+01   0.554426E+01   0.264255E-04   0.748851E+01
Maximum           0.102902E+03   0.673106E+02   0.148353E-02   0.219057E+02   0.188146E+02   0.118611E-01   0.280478E+02
Range             0.592210E+01   0.158679E+02   0.128240E-02   0.171820E+02   0.132703E+02   0.118347E-01   0.205593E+02
Mean              0.100071E+03   0.591494E+02   0.470385E-03   0.101912E+02   0.101836E+02   0.157471E-02   0.152650E+02
Median            0.100066E+03   0.591092E+02   0.433072E-03   0.988503E+01   0.997788E+01   0.985941E-03   0.150132E+02
Q10%              0.988757E+02   0.564398E+02   0.304293E-03   0.759747E+01   0.768412E+01   0.237900E-03   0.116801E+02
Q25%              0.994580E+02   0.579080E+02   0.358688E-03   0.852478E+01   0.880037E+01   0.504416E-03   0.131655E+02
Q75%              0.100756E+03   0.605620E+02   0.535587E-03   0.115407E+02   0.115236E+02   0.182329E-02   0.171174E+02
Q90%              0.101242E+03   0.618728E+02   0.665215E-03   0.131067E+02   0.128062E+02   0.370817E-02   0.192049E+02
St.Dev.           0.974019E+00   0.220254E+01   0.162940E-03   0.225456E+01   0.201527E+01   0.170096E-02   0.311338E+01
Variance          0.948712E+00   0.485117E+01   0.265494E-07   0.508304E+01   0.406132E+01   0.289327E-05   0.969312E+01
CV                0.973325E-02   0.372369E-01   0.346397E+00   0.221227E+00   0.197894E+00   0.108017E+01   0.203956E+00
Skewness          0.204720E+00  -0.125335E+00   0.176786E+01   0.838544E+00   0.512311E+00   0.223643E+01   0.556226E+00
Kurtosis          0.270351E+00   0.753887E+00   0.510156E+01   0.145895E+01   0.551952E+00   0.563228E+01   0.690285E+00
MaxPost           0.100066E+03   0.593612E+02   0.341959E-03   0.875308E+01   0.979130E+01   0.572213E-03   0.148628E+02
