Km_SU1_Rh_a0   Km_SU1_Rh_a1   Km_SU1_Rh_a2   Km_SU1_Rh_a3   Km_SU1_Rh_a4   Km_SU2_Rh_a0   Km_SU2_Rh_a1   Km_SU2_Rh_a2   Km_SU1_Ai_a0   Km_SU1_Ai_a1   Km_SU1_Ai_a2   Km_SU1_Ai_a3   Km_SU1_Ai_a4   Y1_intercept   Y2_intercept   Y3_intercept   Y4_intercept   Y5_intercept   LogPost        LogPrior       LogHyper       LogLkh         Deviance       
   0.392766E+02  -0.483990E+00   0.260161E+01   0.433535E+01   0.445518E+01   0.373975E+02   0.481653E+01  -0.160502E+02   0.188890E+02  -0.618084E+01  -0.790456E+01  -0.577007E+01   0.893799E+01   0.261181E+00   0.338727E-01   0.519669E-01   0.265743E-02   0.624407E-02  -0.115048E+03  -0.415104E+02   0.000000E+00  -0.735376E+02   0.147075E+03
   0.399985E+02  -0.164157E+01   0.260161E+01   0.152149E+01   0.692879E+01   0.361423E+02   0.481653E+01  -0.116735E+02   0.189297E+02  -0.618084E+01  -0.790456E+01  -0.573472E+01   0.849574E+01   0.268002E+00   0.182981E-01   0.201513E-01   0.199089E-03   0.452023E-02  -0.106795E+03  -0.365421E+02   0.000000E+00  -0.702529E+02   0.140506E+03
   0.398090E+02  -0.104544E+01   0.343924E+01   0.200132E+00   0.752771E+01   0.382557E+02   0.540993E+01  -0.167026E+02   0.189547E+02  -0.618084E+01  -0.790456E+01  -0.573472E+01   0.826870E+01   0.271496E+00   0.460804E-02   0.202027E-01   0.757927E-03   0.181872E-01  -0.110680E+03  -0.380962E+02   0.000000E+00  -0.725838E+02   0.145168E+03
   0.397409E+02  -0.307802E+01   0.117761E+01   0.214880E+01   0.811926E+01   0.375438E+02   0.540993E+01  -0.144646E+02   0.189497E+02  -0.618084E+01  -0.790456E+01  -0.573472E+01   0.826870E+01   0.258200E+00   0.482608E-02   0.240663E-02   0.184887E-02   0.998552E-02  -0.107680E+03  -0.346270E+02   0.000000E+00  -0.730530E+02   0.146106E+03
   0.400211E+02  -0.256818E+01   0.338774E+01   0.928241E+00   0.202962E+01   0.360104E+02   0.382462E+01  -0.114874E+02   0.189497E+02  -0.618084E+01  -0.790456E+01  -0.573472E+01   0.821085E+01   0.260295E+00   0.607841E-02   0.115190E-01   0.424092E-02   0.773099E-02  -0.104769E+03  -0.336478E+02   0.000000E+00  -0.711212E+02   0.142242E+03
   0.399067E+02  -0.125597E+01   0.595586E+01   0.256475E+01   0.881906E+01   0.333332E+02   0.360656E+01  -0.888559E+01   0.188875E+02  -0.618084E+01  -0.790456E+01  -0.573149E+01   0.869464E+01   0.275627E+00   0.291630E-02   0.196686E-01   0.368279E-02   0.570438E-02  -0.108274E+03  -0.369564E+02   0.000000E+00  -0.713176E+02   0.142635E+03
   0.407256E+02  -0.142904E+01   0.320735E+01   0.485178E+01   0.816273E+01   0.348037E+02   0.146770E+01  -0.781969E+01   0.188875E+02  -0.618084E+01  -0.797281E+01  -0.573149E+01   0.875517E+01   0.261267E+00   0.110082E-01   0.242608E-02   0.137722E-02   0.252542E-01  -0.103314E+03  -0.368794E+02   0.000000E+00  -0.664346E+02   0.132869E+03
   0.403254E+02  -0.717835E+00   0.484773E+01   0.577249E+01   0.632174E+01   0.358282E+02   0.284290E+00  -0.783532E+01   0.188625E+02  -0.618084E+01  -0.797281E+01  -0.573149E+01   0.888291E+01   0.277603E+00   0.692551E-02   0.336077E-02   0.872420E-02   0.540276E-02  -0.102091E+03  -0.349992E+02   0.000000E+00  -0.670918E+02   0.134184E+03
   0.403884E+02  -0.443992E+00   0.446735E+01   0.594727E+01   0.584177E+01   0.358329E+02   0.294053E+01  -0.987300E+01   0.187247E+02  -0.618084E+01  -0.795688E+01  -0.542218E+01   0.888291E+01   0.290163E+00   0.154376E-01   0.211609E-02   0.340161E-02   0.120106E-01  -0.106664E+03  -0.358010E+02   0.000000E+00  -0.708630E+02   0.141726E+03
   0.400490E+02  -0.873422E+00   0.369069E+01   0.692865E+01   0.510435E+01   0.393174E+02   0.821959E+00  -0.915331E+01   0.187227E+02  -0.618084E+01  -0.795688E+01  -0.542218E+01   0.874031E+01   0.276604E+00   0.109212E-01   0.293193E-01   0.228050E-02   0.932978E-02  -0.109599E+03  -0.371647E+02   0.000000E+00  -0.724343E+02   0.144869E+03
   0.409746E+02  -0.154565E+01   0.476569E+01   0.262215E+01   0.537965E+01   0.382060E+02   0.897397E+00  -0.101634E+02   0.187227E+02  -0.618084E+01  -0.795688E+01  -0.542218E+01   0.873565E+01   0.243147E+00   0.102582E-02   0.167574E-02   0.182399E-01   0.709567E-02  -0.105891E+03  -0.353824E+02   0.000000E+00  -0.705086E+02   0.141017E+03
   0.398720E+02  -0.109607E+01   0.465711E+01   0.803274E+01   0.893319E+01   0.366195E+02  -0.165905E+01  -0.449844E+01   0.187227E+02  -0.618084E+01  -0.795688E+01  -0.542218E+01   0.873565E+01   0.254054E+00   0.156374E-01   0.253942E-02   0.294605E-02   0.401362E-02  -0.103864E+03  -0.359728E+02   0.000000E+00  -0.678912E+02   0.135782E+03
   0.398720E+02  -0.110398E+01   0.426096E+01   0.320293E+01   0.536334E+01   0.363569E+02  -0.384159E+01  -0.363292E+01   0.187204E+02  -0.618084E+01  -0.795688E+01  -0.542218E+01   0.891669E+01   0.254439E+00   0.349482E-02   0.218199E-02   0.106822E-02   0.503868E-02  -0.101343E+03  -0.325125E+02   0.000000E+00  -0.688305E+02   0.137661E+03
   0.404932E+02  -0.490882E+00   0.318228E+01   0.304640E+01   0.466369E+01   0.390216E+02  -0.347315E+01  -0.656197E+01   0.187050E+02  -0.616298E+01  -0.799225E+01  -0.542218E+01   0.891669E+01   0.253397E+00   0.401017E-03   0.113268E-01   0.493945E-02   0.859360E-02  -0.102939E+03  -0.340558E+02   0.000000E+00  -0.688832E+02   0.137766E+03
   0.404932E+02  -0.178642E+01   0.300072E+01   0.212692E+01   0.414964E+01   0.385393E+02  -0.675171E+00  -0.118631E+02   0.188141E+02  -0.646584E+01  -0.836160E+01  -0.449927E+01   0.907087E+01   0.255608E+00   0.369687E-02   0.115834E-01   0.103763E-01   0.102063E-01  -0.979997E+02  -0.348836E+02   0.000000E+00  -0.631161E+02   0.126232E+03
   0.404932E+02  -0.594697E+00   0.301980E+01   0.227385E+01   0.515597E+01   0.381362E+02  -0.386407E+01  -0.900805E+01   0.188141E+02  -0.646584E+01  -0.836160E+01  -0.454779E+01   0.887623E+01   0.263826E+00   0.221105E-01   0.152010E-01   0.477391E-02   0.859079E-02  -0.997691E+02  -0.365313E+02   0.000000E+00  -0.632378E+02   0.126476E+03
   0.402470E+02  -0.957026E+00   0.475268E+01   0.697001E+01   0.518365E+01   0.385223E+02  -0.348362E+01  -0.977289E+01   0.187999E+02  -0.646584E+01  -0.836160E+01  -0.433274E+01   0.866425E+01   0.268014E+00   0.273341E-01   0.599110E-02   0.279685E-01   0.125995E-01  -0.103534E+03  -0.396853E+02   0.000000E+00  -0.638487E+02   0.127697E+03
   0.402470E+02  -0.710858E+00   0.211703E+01   0.203817E+01   0.727177E+01   0.367103E+02  -0.333145E+01  -0.614895E+01   0.187254E+02  -0.640923E+01  -0.833600E+01  -0.433274E+01   0.855624E+01   0.267503E+00   0.151141E-01   0.196278E-02   0.113862E-01   0.161341E-01  -0.992419E+02  -0.357938E+02   0.000000E+00  -0.634481E+02   0.126896E+03
   0.396585E+02  -0.710858E+00   0.419312E+01   0.241470E+01   0.145467E+01   0.381672E+02  -0.396036E+01  -0.722622E+01   0.187254E+02  -0.640923E+01  -0.833600E+01  -0.427360E+01   0.856762E+01   0.266852E+00   0.780326E-02   0.145188E-01   0.549832E-02   0.917829E-02  -0.101168E+03  -0.335426E+02   0.000000E+00  -0.676254E+02   0.135251E+03
   0.393826E+02  -0.887953E+00   0.398854E+01   0.211094E+01   0.774884E+01   0.368389E+02  -0.188918E+01  -0.794375E+01   0.187254E+02  -0.640923E+01  -0.833600E+01  -0.428496E+01   0.856444E+01   0.241493E+00   0.737865E-02   0.928374E-03   0.105362E-01   0.116257E-01  -0.100132E+03  -0.346515E+02   0.000000E+00  -0.654805E+02   0.130961E+03
   0.396984E+02  -0.278275E+01   0.233773E+01   0.514021E+01   0.347186E+01   0.346645E+02  -0.200834E+01  -0.103191E+01   0.187034E+02  -0.640923E+01  -0.833962E+01  -0.428496E+01   0.858010E+01   0.242623E+00   0.382005E-01   0.121538E-01   0.115641E-02   0.294436E-02  -0.106162E+03  -0.350410E+02   0.000000E+00  -0.711210E+02   0.142242E+03
   0.399378E+02  -0.112220E+01   0.348804E+01   0.648518E+01   0.635004E+01   0.375169E+02  -0.478204E+01  -0.189822E+01   0.187034E+02  -0.640923E+01  -0.824252E+01  -0.428496E+01   0.858010E+01   0.258013E+00   0.329940E-01   0.519872E-02   0.169631E-01   0.413641E-03  -0.101902E+03  -0.374225E+02   0.000000E+00  -0.644795E+02   0.128959E+03
   0.405877E+02  -0.150104E+01   0.311285E+01   0.511662E+01   0.916506E+01   0.390872E+02  -0.489157E+01  -0.517024E+01   0.186624E+02  -0.648326E+01  -0.821892E+01  -0.436159E+01   0.914158E+01   0.245336E+00   0.704413E-02   0.560870E-03   0.130009E-01   0.113871E-02  -0.989824E+02  -0.356316E+02   0.000000E+00  -0.633508E+02   0.126702E+03
   0.402567E+02  -0.197470E+01   0.364934E+01   0.409303E+01   0.619593E+01   0.370613E+02  -0.481968E+01  -0.570678E+01   0.186379E+02  -0.648129E+01  -0.825461E+01  -0.438853E+01   0.933740E+01   0.263741E+00   0.358215E-02   0.267268E-02   0.309964E-03   0.652278E-02  -0.954188E+02  -0.330444E+02   0.000000E+00  -0.623744E+02   0.124749E+03
   0.408127E+02  -0.978240E+00   0.507327E+01   0.658787E+01   0.823228E+01   0.370481E+02  -0.481968E+01  -0.289271E+01   0.186492E+02  -0.648129E+01  -0.825461E+01  -0.434850E+01   0.911733E+01   0.240038E+00   0.145918E-02   0.185339E-01   0.125818E-01   0.373514E-02  -0.996369E+02  -0.374769E+02   0.000000E+00  -0.621600E+02   0.124320E+03
   0.401918E+02  -0.205348E+01   0.375093E+01   0.156745E+01   0.856401E+01   0.371473E+02  -0.621694E+01  -0.225414E+01   0.185703E+02  -0.648129E+01  -0.825461E+01  -0.436083E+01   0.975113E+01   0.245092E+00   0.159770E-01   0.780913E-02   0.768600E-02   0.190000E-01  -0.102222E+03  -0.379362E+02   0.000000E+00  -0.642858E+02   0.128572E+03
   0.407592E+02  -0.153642E+01   0.452242E+01   0.156745E+01   0.836935E+01   0.391290E+02  -0.812914E+01  -0.188035E+01   0.185660E+02  -0.642234E+01  -0.825461E+01  -0.434709E+01   0.953612E+01   0.268039E+00   0.236419E-01   0.271705E-02   0.483210E-02   0.116083E-01  -0.103120E+03  -0.384575E+02   0.000000E+00  -0.646625E+02   0.129325E+03
   0.408410E+02  -0.140852E+01   0.596353E+01   0.609059E+01   0.101644E+02   0.383478E+02  -0.628679E+01  -0.201680E+01   0.185066E+02  -0.641576E+01  -0.825461E+01  -0.426017E+01   0.943512E+01   0.242343E+00   0.641906E-02   0.384974E-02   0.170842E-01   0.396206E-02  -0.102224E+03  -0.387099E+02   0.000000E+00  -0.635141E+02   0.127028E+03
   0.408956E+02   0.586883E+00   0.497134E+01   0.366474E+01   0.657972E+01   0.384034E+02  -0.643315E+01  -0.201680E+01   0.184891E+02  -0.641069E+01  -0.825461E+01  -0.426885E+01   0.943512E+01   0.258488E+00   0.338898E-01   0.855305E-02   0.154491E-01   0.197351E-02  -0.103353E+03  -0.393254E+02   0.000000E+00  -0.640276E+02   0.128055E+03
   0.404695E+02   0.368497E-01   0.467688E+01   0.303042E+01   0.497481E+01   0.376425E+02  -0.555260E+01  -0.369450E+01   0.184762E+02  -0.641069E+01  -0.813207E+01  -0.434168E+01   0.924936E+01   0.247785E+00   0.356433E-01   0.181003E-01   0.236922E-01   0.225837E-01  -0.107243E+03  -0.418385E+02   0.000000E+00  -0.654045E+02   0.130809E+03
   0.394035E+02  -0.945161E+00   0.341239E+01   0.428301E+01   0.803322E+01   0.376425E+02  -0.383547E+01  -0.459641E+01   0.184762E+02  -0.644519E+01  -0.813207E+01  -0.434168E+01   0.927604E+01   0.267116E+00   0.370843E-01   0.918165E-03   0.116966E-01   0.268528E-01  -0.103318E+03  -0.394824E+02   0.000000E+00  -0.638356E+02   0.127671E+03
   0.402097E+02  -0.331689E+01   0.441428E+01   0.786254E+00   0.500352E+01   0.372355E+02  -0.510638E+01  -0.285772E+01   0.185159E+02  -0.644519E+01  -0.826424E+01  -0.411263E+01   0.927604E+01   0.254379E+00   0.552358E-02   0.959214E-03   0.343244E-02   0.303740E-01  -0.101615E+03  -0.354732E+02   0.000000E+00  -0.661418E+02   0.132284E+03
   0.403527E+02  -0.191361E+01   0.360332E+01   0.669945E+01   0.928112E+01   0.370555E+02  -0.564295E+01  -0.285772E+01   0.185021E+02  -0.644519E+01  -0.826424E+01  -0.411263E+01   0.911601E+01   0.251576E+00   0.714990E-02   0.605584E-02   0.168285E-01   0.104261E-01  -0.100065E+03  -0.374104E+02   0.000000E+00  -0.626546E+02   0.125309E+03
   0.397751E+02  -0.191361E+01   0.420507E+01   0.538487E+01   0.440780E+01   0.380165E+02  -0.564295E+01  -0.455180E+01   0.185039E+02  -0.643593E+01  -0.826424E+01  -0.411263E+01   0.927162E+01   0.267586E+00   0.552735E-02   0.961814E-02   0.249241E-01   0.131538E-03  -0.100358E+03  -0.351639E+02   0.000000E+00  -0.651941E+02   0.130388E+03
   0.398175E+02  -0.931142E+00   0.227418E+01   0.396995E+01   0.596754E+01   0.377521E+02  -0.401205E+01  -0.571260E+01   0.184758E+02  -0.643593E+01  -0.826424E+01  -0.420458E+01   0.962165E+01   0.277030E+00   0.399949E-03   0.233525E-02   0.174090E-01   0.819673E-03  -0.976873E+02  -0.330189E+02   0.000000E+00  -0.646684E+02   0.129337E+03
   0.396289E+02  -0.931142E+00   0.215567E+01   0.269114E+01   0.589058E+01   0.380751E+02  -0.401205E+01  -0.761892E+01   0.184758E+02  -0.643593E+01  -0.818259E+01  -0.442045E+01   0.962165E+01   0.266649E+00   0.489949E-02   0.874691E-02   0.688716E-02   0.623230E-02  -0.979587E+02  -0.335093E+02   0.000000E+00  -0.644494E+02   0.128899E+03
   0.396289E+02  -0.552437E+00   0.744884E+00   0.410761E+01   0.375462E+01   0.390430E+02  -0.208447E+01  -0.928732E+01   0.184758E+02  -0.643593E+01  -0.817180E+01  -0.447667E+01   0.970106E+01   0.261227E+00   0.489949E-02   0.273358E-02   0.154069E-02   0.943322E-02  -0.989274E+02  -0.319312E+02   0.000000E+00  -0.669962E+02   0.133992E+03
   0.404657E+02  -0.513082E+00   0.381656E+01   0.789393E+01   0.401287E+01   0.369741E+02  -0.208447E+01  -0.662012E+01   0.185372E+02  -0.643593E+01  -0.817180E+01  -0.447661E+01   0.955351E+01   0.254480E+00   0.246374E-01   0.273358E-02   0.121223E-01   0.655550E-03  -0.100419E+03  -0.355360E+02   0.000000E+00  -0.648830E+02   0.129766E+03
   0.404657E+02  -0.179617E+01   0.774672E+01   0.395187E+01   0.112654E+02   0.362458E+02  -0.104889E+01  -0.826848E+01   0.185643E+02  -0.643593E+01  -0.817180E+01  -0.447972E+01   0.963078E+01   0.263019E+00   0.384268E-01   0.189568E-01   0.203911E-01   0.101949E-02  -0.105812E+03  -0.438920E+02   0.000000E+00  -0.619200E+02   0.123840E+03
   0.412349E+02  -0.151253E+01   0.423939E+01   0.616140E+01   0.942887E+01   0.370982E+02  -0.170666E+01  -0.826848E+01   0.186451E+02  -0.641685E+01  -0.812640E+01  -0.450668E+01   0.939975E+01   0.266671E+00   0.157113E-01   0.213600E-03   0.335511E-01   0.117079E-02  -0.104456E+03  -0.393408E+02   0.000000E+00  -0.651152E+02   0.130230E+03
   0.400933E+02  -0.212954E+01   0.435801E+01   0.862070E+00   0.662231E+01   0.378653E+02  -0.170666E+01  -0.826848E+01   0.185774E+02  -0.641685E+01  -0.813168E+01  -0.451925E+01   0.914378E+01   0.252161E+00   0.498002E-02   0.170735E-01   0.855011E-02   0.167980E-02  -0.986209E+02  -0.351867E+02   0.000000E+00  -0.634342E+02   0.126868E+03
   0.406126E+02  -0.340135E+00   0.141425E+01   0.351610E+01   0.252707E+01   0.377137E+02   0.208723E+00  -0.910528E+01   0.185604E+02  -0.641685E+01  -0.813168E+01  -0.451925E+01   0.914378E+01   0.265812E+00   0.918724E-02   0.762039E-02   0.718359E-02   0.212426E-02  -0.999937E+02  -0.327681E+02   0.000000E+00  -0.672256E+02   0.134451E+03
   0.400607E+02  -0.135586E+01   0.732001E+01   0.499040E+01   0.928489E+01   0.375895E+02  -0.997126E+00  -0.988543E+01   0.185604E+02  -0.641685E+01  -0.813168E+01  -0.451925E+01   0.921732E+01   0.261957E+00   0.226457E-02   0.121845E-01   0.184463E-01   0.141992E-01  -0.101759E+03  -0.393989E+02   0.000000E+00  -0.623601E+02   0.124720E+03
   0.409754E+02  -0.167082E+01   0.768026E+01   0.269100E+01   0.826588E+01   0.374999E+02  -0.123861E+01  -0.892445E+01   0.187157E+02  -0.641924E+01  -0.813962E+01  -0.487575E+01   0.921732E+01   0.247055E+00   0.748260E-03   0.134797E-01   0.128943E-02   0.208475E-02  -0.990920E+02  -0.366568E+02   0.000000E+00  -0.624352E+02   0.124870E+03
   0.403958E+02  -0.257786E+01   0.389223E+01   0.269100E+01   0.952171E+01   0.376371E+02  -0.118229E+01  -0.914510E+01   0.186079E+02  -0.641924E+01  -0.816527E+01  -0.461731E+01   0.928459E+01   0.262174E+00   0.427239E-02   0.628274E-02   0.142064E-01   0.532747E-02  -0.978105E+02  -0.364093E+02   0.000000E+00  -0.614012E+02   0.122802E+03
   0.403958E+02  -0.101459E+01   0.185145E+01   0.149832E+01   0.601064E+01   0.357494E+02   0.376334E+01  -0.109011E+02   0.186147E+02  -0.641924E+01  -0.816527E+01  -0.461731E+01   0.923835E+01   0.249406E+00   0.104866E-01   0.249697E-02   0.199583E-01   0.104559E-01  -0.101169E+03  -0.357711E+02   0.000000E+00  -0.653979E+02   0.130796E+03
   0.404652E+02  -0.141872E+01   0.537299E+01   0.403454E+01   0.866319E+01   0.363202E+02   0.153956E+01  -0.107668E+02   0.186147E+02  -0.641924E+01  -0.816527E+01  -0.468957E+01   0.955654E+01   0.263326E+00   0.206819E-01   0.483180E-02   0.323365E-03   0.168501E-02  -0.969239E+02  -0.366328E+02   0.000000E+00  -0.602911E+02   0.120582E+03
   0.404658E+02  -0.184672E+01   0.331382E+01   0.493805E+01   0.436974E+01   0.351878E+02   0.255765E+01  -0.880643E+01   0.186013E+02  -0.642943E+01  -0.812338E+01  -0.456669E+01   0.919731E+01   0.260760E+00   0.236188E-01   0.446367E-03   0.515532E-02   0.584946E-02  -0.987473E+02  -0.345981E+02   0.000000E+00  -0.641492E+02   0.128298E+03
   0.400778E+02  -0.241558E+01   0.193544E+01   0.545832E+01   0.530247E+01   0.364320E+02   0.357023E+01  -0.118470E+02   0.186013E+02  -0.645165E+01  -0.812338E+01  -0.460385E+01   0.934549E+01   0.244750E+00   0.654061E-02   0.282409E-03   0.319575E-01   0.107424E-02  -0.101344E+03  -0.353597E+02   0.000000E+00  -0.659843E+02   0.131969E+03
   0.395134E+02  -0.284984E+01   0.140499E+01   0.595220E+01   0.455748E+01   0.350527E+02   0.373740E+01  -0.107504E+02   0.185774E+02  -0.645165E+01  -0.810359E+01  -0.457337E+01   0.934549E+01   0.258667E+00   0.741028E-02   0.113846E-01   0.175471E-01   0.114856E-02  -0.102042E+03  -0.342599E+02   0.000000E+00  -0.677821E+02   0.135564E+03
   0.412699E+02   0.873365E+00   0.649601E+01   0.711154E+01   0.855272E+01   0.361953E+02   0.312770E+01  -0.123870E+02   0.186100E+02  -0.645165E+01  -0.810359E+01  -0.465171E+01   0.934549E+01   0.261579E+00   0.317977E-02   0.457822E-02   0.494012E-02   0.122894E-01  -0.994590E+02  -0.383321E+02   0.000000E+00  -0.611269E+02   0.122254E+03
   0.409924E+02  -0.245769E+01   0.710418E+01  -0.116911E-01   0.677774E+01   0.373409E+02   0.409263E+01  -0.149087E+02   0.186000E+02  -0.645165E+01  -0.812033E+01  -0.453801E+01   0.912242E+01   0.263319E+00   0.600177E-02   0.152891E-02   0.179592E-02   0.197007E-01  -0.103524E+03  -0.377869E+02   0.000000E+00  -0.657371E+02   0.131474E+03
   0.396803E+02  -0.258024E+01   0.347854E+01   0.828109E+00   0.949667E+01   0.367215E+02   0.391024E+01  -0.146510E+02   0.185760E+02  -0.643724E+01  -0.830049E+01  -0.449691E+01   0.996346E+01   0.255268E+00   0.505353E-02   0.393492E-02   0.474046E-02   0.497649E-01  -0.104259E+03  -0.400765E+02   0.000000E+00  -0.641825E+02   0.128365E+03
