Km_SU1_Rh_a0  Km_SU1_Rh_a1  Km_SU1_Rh_a2  Km_SU1_Rh_a3  Km_SU1_Rh_a4  Km_SU2_Rh_a0  Km_SU2_Rh_a1  Km_SU2_Rh_a2  Km_SU1_Ai_a0  Km_SU1_Ai_a1  Km_SU1_Ai_a2  Km_SU1_Ai_a3  Km_SU1_Ai_a4  Y1_intercept  Y2_intercept  Y3_intercept  Y4_intercept  Y5_intercept  LogPost       
  0.400155E+02 -0.866023E+00  0.185693E+01  0.350957E+01  0.731545E+01  0.386973E+02 -0.239025E+01 -0.836620E+01  0.186529E+02 -0.597459E+01 -0.758497E+01 -0.581855E+01  0.836740E+01  0.304683E+00  0.135068E-01  0.231658E-03  0.126152E-01  0.350013E-02 -0.116861E+03
  0.400155E+02 -0.866023E+00  0.185693E+01  0.825617E+01  0.731545E+01  0.386973E+02 -0.239025E+01 -0.836620E+01  0.186529E+02 -0.597459E+01 -0.758497E+01 -0.581855E+01  0.836740E+01  0.304683E+00  0.142708E-01  0.231658E-03  0.124633E-01  0.315235E-02 -0.118769E+03
  0.400155E+02 -0.866023E+00  0.614548E+01  0.825617E+01  0.731545E+01  0.386973E+02 -0.221072E+01 -0.836620E+01  0.186529E+02 -0.597459E+01 -0.758497E+01 -0.581855E+01  0.836740E+01  0.304508E+00  0.129379E-01  0.231658E-03  0.121940E-01  0.315235E-02 -0.119416E+03
  0.400155E+02  0.243627E+01  0.614548E+01  0.825617E+01  0.764688E+01  0.386973E+02 -0.221072E+01 -0.777005E+01  0.186529E+02 -0.597459E+01 -0.758497E+01 -0.581855E+01  0.836740E+01  0.302660E+00  0.125726E-01  0.231658E-03  0.134146E-01  0.442173E-02 -0.121460E+03
  0.400155E+02 -0.263054E+01  0.475182E+01  0.852791E+01  0.109688E+02  0.386973E+02 -0.221072E+01 -0.777005E+01  0.186529E+02 -0.597459E+01 -0.758497E+01 -0.581855E+01  0.836740E+01  0.302660E+00  0.137154E-01  0.927438E-03  0.127856E-01  0.444812E-02 -0.122584E+03
  0.404578E+02 -0.168317E+01  0.475182E+01  0.852791E+01  0.108292E+02  0.386973E+02 -0.221072E+01 -0.773279E+01  0.186529E+02 -0.597459E+01 -0.758497E+01 -0.581855E+01  0.836740E+01  0.302525E+00  0.135567E-01  0.406646E-03  0.115033E-01  0.449864E-02 -0.119855E+03
  0.404578E+02 -0.168317E+01  0.475182E+01  0.306310E+00  0.406263E+01  0.386973E+02 -0.221072E+01 -0.773279E+01  0.186529E+02 -0.597459E+01 -0.758497E+01 -0.581855E+01  0.836740E+01  0.300927E+00  0.130647E-01  0.656610E-03  0.105081E-01  0.415317E-02 -0.117093E+03
  0.404578E+02 -0.168317E+01  0.475182E+01  0.354888E+01  0.597065E+01  0.386973E+02 -0.221072E+01 -0.773279E+01  0.186529E+02 -0.597459E+01 -0.758497E+01 -0.581855E+01  0.836740E+01  0.301197E+00  0.136730E-01  0.244549E-03  0.887280E-02  0.400058E-02 -0.115297E+03
  0.404578E+02 -0.168317E+01  0.475182E+01  0.354888E+01  0.597065E+01  0.391047E+02 -0.221072E+01 -0.822200E+01  0.186529E+02 -0.597459E+01 -0.758497E+01 -0.581855E+01  0.836740E+01  0.301704E+00  0.127111E-01  0.143294E-02  0.806255E-02  0.596751E-02 -0.116011E+03
  0.404578E+02 -0.384961E+00  0.475182E+01  0.354888E+01  0.303630E+01  0.402006E+02 -0.221072E+01 -0.822200E+01  0.186529E+02 -0.597459E+01 -0.758497E+01 -0.581855E+01  0.836740E+01  0.302223E+00  0.120529E-01  0.128891E-02  0.700829E-02  0.636494E-02 -0.118951E+03
