Kmin_a0        Kmin_a1        Kmin_a2        Kmin_a3        Kmin_a4        Kmin_a5        Kmin_a6        Y1_intercept   Y2_intercept   Y3_intercept   Y4_intercept   Y5_intercept   LogPost        LogPrior       LogHyper       LogLkh         Deviance       
   0.308554E+02  -0.855253E+00  -0.384391E+01   0.737432E+01   0.849623E+01  -0.534630E+00  -0.650902E+01   0.356422E-01   0.145885E-01   0.419197E-02   0.336220E-02   0.182384E-01  -0.858542E+03   0.143826E+02   0.000000E+00  -0.872925E+03   0.174585E+04
   0.306934E+02  -0.112383E+01  -0.402210E+01   0.817656E+01   0.678430E+01   0.811379E+01  -0.907751E+00   0.220548E-01   0.375555E-02   0.998820E-02   0.177300E-02   0.399883E-01  -0.854044E+03   0.128702E+02   0.000000E+00  -0.866914E+03   0.173383E+04
   0.306934E+02   0.187231E+01  -0.487385E+01   0.659437E+01   0.106848E+02   0.954792E+01  -0.327944E+00   0.157132E-01   0.887626E-02   0.243535E-02   0.201867E-01   0.148545E-01  -0.853789E+03   0.137854E+02   0.000000E+00  -0.867574E+03   0.173515E+04
   0.310643E+02   0.123810E+01  -0.686979E+01   0.808425E+01   0.981039E+01   0.509626E+01  -0.747114E+00   0.244603E-01   0.472445E-02   0.268948E-02   0.353143E-01   0.982230E-02  -0.855036E+03   0.131656E+02   0.000000E+00  -0.868202E+03   0.173640E+04
   0.311900E+02   0.111747E+01  -0.253511E+01   0.829780E+01   0.950113E+01   0.393556E+01  -0.302389E+01   0.491329E-02   0.472445E-02   0.927482E-02   0.986199E-02   0.133712E-01  -0.854033E+03   0.146974E+02   0.000000E+00  -0.868730E+03   0.173746E+04
   0.310732E+02   0.503001E+00  -0.464731E+01   0.588189E+01   0.997427E+01   0.486100E+01  -0.956362E+00   0.137052E-01   0.207527E-01   0.470323E-02   0.433673E-02   0.675118E-02  -0.850493E+03   0.147663E+02   0.000000E+00  -0.865259E+03   0.173052E+04
   0.310076E+02   0.503001E+00  -0.439857E+01   0.733062E+01   0.112454E+02   0.551045E+01  -0.518233E+01   0.158143E-01   0.864792E-02   0.486377E-02   0.164201E-01   0.128291E-01  -0.852720E+03   0.141446E+02   0.000000E+00  -0.866865E+03   0.173373E+04
   0.303172E+02   0.503001E+00  -0.415178E+01   0.721751E+01   0.652681E+01   0.389337E+01  -0.248774E+01   0.201178E-01   0.543113E-02   0.714882E-02   0.215163E-02   0.305791E-02  -0.847542E+03   0.166417E+02   0.000000E+00  -0.864184E+03   0.172837E+04
   0.304122E+02  -0.102007E+01  -0.626757E+01   0.835657E+01   0.731188E+01   0.984860E+00   0.204850E+01   0.149969E-01   0.856136E-02   0.126037E-01   0.674078E-03   0.104756E-01  -0.851453E+03   0.151892E+02   0.000000E+00  -0.866642E+03   0.173328E+04
   0.310282E+02   0.670546E-01  -0.606615E+01   0.858578E+01   0.933318E+01   0.369771E+01   0.232534E+01   0.191608E-01   0.611969E-02   0.297972E-02   0.200873E-01   0.697382E-02  -0.850988E+03   0.148046E+02   0.000000E+00  -0.865793E+03   0.173159E+04
   0.312130E+02   0.499713E-01  -0.653871E+01   0.858578E+01   0.965108E+01   0.513951E+01  -0.103684E+01   0.137995E-01   0.436157E-02   0.412774E-02   0.141176E-01   0.138772E-01  -0.849623E+03   0.147723E+02   0.000000E+00  -0.864395E+03   0.172879E+04
   0.300776E+02  -0.632637E-01  -0.475643E+01   0.616896E+01   0.890589E+01   0.225885E+01  -0.140832E+01   0.205556E-01   0.607118E-02   0.506702E-02   0.137751E-01   0.836046E-02  -0.848114E+03   0.150933E+02   0.000000E+00  -0.863207E+03   0.172641E+04
   0.300776E+02   0.484217E+00  -0.476767E+01   0.815514E+01   0.935021E+01   0.220670E+01   0.165759E+01   0.478305E-02   0.472729E-02   0.506702E-02   0.839875E-03   0.140786E-01  -0.847613E+03   0.159494E+02   0.000000E+00  -0.863562E+03   0.172712E+04
   0.300776E+02   0.484217E+00  -0.427814E+01   0.518664E+01   0.934175E+01   0.388700E+01   0.117770E+01   0.630412E-02   0.141248E-01   0.267074E-03   0.839875E-03   0.670893E-02  -0.848366E+03   0.162266E+02   0.000000E+00  -0.864593E+03   0.172919E+04
   0.306578E+02  -0.110897E+01  -0.510744E+01   0.743559E+01   0.794159E+01   0.302289E+01   0.157708E+01   0.158041E-01   0.189451E-01   0.177906E-02   0.330428E-01   0.265310E-03  -0.850987E+03   0.130175E+02   0.000000E+00  -0.864004E+03   0.172801E+04
   0.313502E+02  -0.110897E+01  -0.454923E+01   0.602463E+01   0.898099E+01   0.464653E+01  -0.311158E+01   0.291033E-01   0.162003E-04   0.123742E-01   0.157845E-01   0.928099E-02  -0.851403E+03   0.146751E+02   0.000000E+00  -0.866078E+03   0.173216E+04
   0.304859E+02  -0.104123E+01  -0.313676E+01   0.103984E+02   0.527330E+01   0.187875E+01   0.155357E+01   0.238510E-01   0.834451E-02   0.299954E-01   0.801804E-02   0.690364E-02  -0.855517E+03   0.130945E+02   0.000000E+00  -0.868612E+03   0.173722E+04
   0.304859E+02  -0.125020E+01  -0.437172E+01   0.684279E+01   0.776512E+01   0.464211E+01  -0.206171E+01   0.190012E-01   0.779788E-02   0.305774E-02   0.131256E-01   0.347210E-02  -0.848043E+03   0.156753E+02   0.000000E+00  -0.863718E+03   0.172744E+04
   0.301089E+02   0.360364E+00  -0.547468E+01   0.633128E+01   0.972753E+01   0.733125E+01   0.285405E+00   0.158993E-01   0.332982E-02   0.215189E-02   0.863710E-02   0.333362E-02  -0.846547E+03   0.166754E+02   0.000000E+00  -0.863222E+03   0.172644E+04
   0.295683E+02   0.437436E+00  -0.489400E+01   0.690633E+01   0.901766E+01   0.449121E+01  -0.282066E+01   0.100057E-01   0.299771E-02   0.551507E-01   0.221479E-02   0.171972E-01  -0.853211E+03   0.106646E+02   0.000000E+00  -0.863876E+03   0.172775E+04
   0.295683E+02   0.742386E+00  -0.735290E+01   0.656451E+01   0.901766E+01   0.248082E+01  -0.149850E+01   0.186984E-03   0.221788E-02   0.692949E-03   0.633363E-02   0.207065E-02  -0.849676E+03   0.172892E+02   0.000000E+00  -0.866965E+03   0.173393E+04
   0.307789E+02  -0.355796E+00  -0.545380E+01   0.637605E+01   0.127278E+02   0.572904E+01  -0.126590E+00   0.125373E-01   0.184088E-02   0.106469E-01   0.116575E-01   0.488554E-01  -0.855144E+03   0.111206E+02   0.000000E+00  -0.866265E+03   0.173253E+04
   0.304029E+02   0.207632E+00  -0.464027E+01   0.829219E+01   0.914090E+01   0.419021E+01  -0.178955E+01   0.193737E-02   0.361854E-01   0.113197E-01   0.514017E-02   0.505540E-02  -0.849276E+03   0.126506E+02   0.000000E+00  -0.861927E+03   0.172385E+04
   0.299658E+02  -0.522259E+00  -0.334852E+01   0.444002E+01   0.793498E+01   0.397532E+01  -0.132058E+00   0.196602E-01   0.223592E-01   0.615626E-02   0.115291E-01   0.157005E-01  -0.852309E+03   0.128462E+02   0.000000E+00  -0.865155E+03   0.173031E+04
   0.303711E+02  -0.665224E+00  -0.303006E+01   0.583562E+01   0.704238E+01   0.638072E+01  -0.322742E+01   0.153084E-01   0.422102E-02   0.215761E-01   0.127980E-01   0.283992E-02  -0.851690E+03   0.142772E+02   0.000000E+00  -0.865967E+03   0.173193E+04
   0.298928E+02   0.105729E+01  -0.676369E+01   0.536206E+01   0.841665E+01   0.609111E+01   0.794453E-01   0.332058E-02   0.153892E-01   0.560660E-02   0.237800E-01   0.274265E-02  -0.852229E+03   0.136688E+02   0.000000E+00  -0.865898E+03   0.173180E+04
   0.300017E+02   0.847892E+00  -0.435989E+01   0.563500E+01   0.876401E+01   0.488857E+01   0.163158E+01   0.160411E-01   0.171919E-01   0.125742E-01   0.719266E-03   0.232438E-01  -0.851229E+03   0.130478E+02   0.000000E+00  -0.864277E+03   0.172855E+04
   0.303958E+02   0.143889E+01  -0.713288E+01   0.563500E+01   0.108729E+02   0.627722E+01   0.374538E+00   0.474861E-02   0.636908E-02   0.180812E-01   0.176994E-01   0.350909E-02  -0.852952E+03   0.138548E+02   0.000000E+00  -0.866807E+03   0.173361E+04
   0.301164E+02  -0.142457E+00  -0.551551E+01   0.593184E+01   0.905039E+01   0.558595E+01   0.179716E+00   0.250293E-01   0.215903E-01   0.541092E-02   0.113021E-02   0.167620E-01  -0.850033E+03   0.139313E+02   0.000000E+00  -0.863964E+03   0.172793E+04
   0.303622E+02   0.123554E+00  -0.385289E+01   0.686002E+01   0.658638E+01   0.738807E+01  -0.381597E+00   0.615312E-02   0.198466E-01   0.141079E-02   0.159414E-03   0.422084E-04  -0.848353E+03   0.162748E+02   0.000000E+00  -0.864628E+03   0.172926E+04
   0.298443E+02  -0.978433E+00  -0.320359E+01   0.700055E+01   0.750987E+01   0.627658E+01  -0.395724E+00   0.127300E-02   0.839198E-02   0.342873E-01   0.158303E-02   0.231187E-01  -0.853615E+03   0.116826E+02   0.000000E+00  -0.865298E+03   0.173060E+04
   0.297027E+02  -0.598947E+00  -0.486182E+01   0.602608E+01   0.980000E+01   0.631923E+01   0.603297E+00   0.167335E-02   0.459174E-02   0.137470E-01   0.150037E-01   0.107978E-03  -0.849543E+03   0.150756E+02   0.000000E+00  -0.864619E+03   0.172924E+04
   0.307029E+02   0.113097E+01  -0.435216E+01   0.884958E+01   0.100204E+02   0.631923E+01   0.634326E+00   0.850692E-02   0.387613E-01   0.120565E-01   0.830092E-03   0.107978E-03  -0.850324E+03   0.132451E+02   0.000000E+00  -0.863569E+03   0.172714E+04
   0.299937E+02   0.139573E+00  -0.450823E+01   0.676561E+01   0.101734E+02   0.686037E+01   0.276361E+00   0.140770E-01   0.465518E-01   0.860977E-03   0.203039E-01   0.783933E-02  -0.852591E+03   0.108651E+02   0.000000E+00  -0.863456E+03   0.172691E+04
   0.297778E+02   0.644234E+00  -0.504732E+01   0.602715E+01   0.106415E+02   0.471393E+01  -0.245330E+01   0.209866E-01   0.140103E-01   0.653573E-02   0.279960E-02   0.214221E-01  -0.851426E+03   0.139439E+02   0.000000E+00  -0.865370E+03   0.173074E+04
   0.306480E+02  -0.249257E+00  -0.671528E+01   0.602715E+01   0.814255E+01   0.697090E+01  -0.235554E+01   0.137242E-01   0.568304E-02   0.366150E-02   0.137725E-01   0.120275E-01  -0.849927E+03   0.149062E+02   0.000000E+00  -0.864833E+03   0.172967E+04
   0.305365E+02   0.129040E+00  -0.535711E+01   0.701950E+01   0.119416E+02   0.229054E+01   0.361431E+00   0.221727E-01   0.134134E-01   0.905147E-03   0.105397E-01   0.284405E-02  -0.850356E+03   0.156505E+02   0.000000E+00  -0.866006E+03   0.173201E+04
   0.303551E+02  -0.443671E+00  -0.468039E+01   0.742601E+01   0.884362E+01   0.478717E+01   0.759946E-02   0.106679E-01   0.256279E-03   0.905147E-03   0.161329E-01   0.181537E-02  -0.845036E+03   0.165097E+02   0.000000E+00  -0.861546E+03   0.172309E+04
   0.308247E+02  -0.443671E+00  -0.415709E+01   0.790820E+01   0.884362E+01   0.478717E+01  -0.729522E+00   0.114708E-01   0.654352E-02   0.266834E-01   0.157009E-02   0.325438E-02  -0.848065E+03   0.146155E+02   0.000000E+00  -0.862681E+03   0.172536E+04
   0.308247E+02  -0.221995E+00  -0.554015E+01   0.866215E+01   0.104403E+02   0.365209E+01  -0.208950E+01   0.523530E-02   0.344468E-01   0.440492E-02   0.664245E-02   0.231963E-01  -0.852321E+03   0.115516E+02   0.000000E+00  -0.863873E+03   0.172775E+04
   0.302852E+02   0.371605E+00  -0.475818E+01   0.616191E+01   0.986880E+01   0.527911E+01  -0.300591E+01   0.261909E-02   0.113692E-01   0.144573E-01   0.180626E-01   0.817940E-02  -0.849046E+03   0.132138E+02   0.000000E+00  -0.862260E+03   0.172452E+04
   0.294761E+02  -0.236954E+00  -0.277995E+01   0.386078E+01   0.103640E+02   0.547559E+01   0.130227E+00   0.139740E-01   0.189372E-01   0.518929E-03   0.131630E-01   0.753472E-02  -0.853868E+03   0.144053E+02   0.000000E+00  -0.868273E+03   0.173655E+04
   0.300992E+02  -0.233048E+00  -0.275759E+01   0.638694E+01   0.994889E+01   0.584070E+01   0.736236E+00   0.189109E-01   0.149482E-01   0.212119E-01   0.110093E-01   0.402562E-02  -0.851490E+03   0.133012E+02   0.000000E+00  -0.864791E+03   0.172958E+04
   0.300992E+02  -0.862336E-01  -0.567352E+01   0.638694E+01   0.867291E+01   0.350246E+01  -0.326571E+01   0.750815E-02   0.667879E-02   0.161460E-01   0.992873E-02   0.775730E-02  -0.848516E+03   0.143696E+02   0.000000E+00  -0.862886E+03   0.172577E+04
   0.300992E+02  -0.153486E+01  -0.642647E+01   0.627206E+01   0.701412E+01   0.503429E+01  -0.260289E+00   0.158689E-01   0.156601E-01   0.136730E-02   0.117960E-02   0.941931E-02  -0.849782E+03   0.156580E+02   0.000000E+00  -0.865440E+03   0.173088E+04
   0.297498E+02  -0.366791E+00  -0.635092E+01   0.627206E+01   0.908192E+01   0.373859E+01  -0.128459E+01   0.575852E-02   0.156777E-01   0.434102E-02   0.670615E-03   0.714492E-02  -0.847770E+03   0.156373E+02   0.000000E+00  -0.863407E+03   0.172681E+04
   0.303265E+02  -0.523571E-01  -0.534183E+01   0.617602E+01   0.769859E+01   0.463830E+01  -0.255018E+01   0.203095E-01   0.199487E-01   0.711624E-02   0.100790E-01   0.122360E-03  -0.848307E+03   0.146941E+02   0.000000E+00  -0.863001E+03   0.172600E+04
   0.308579E+02  -0.523571E-01  -0.403698E+01   0.749752E+01   0.972422E+01   0.721358E+01   0.164343E+01   0.353402E-03   0.289491E-02   0.158521E-01   0.441671E-03   0.122360E-03  -0.847828E+03   0.164896E+02   0.000000E+00  -0.864318E+03   0.172864E+04
   0.306553E+02  -0.199106E+00  -0.354044E+01   0.664567E+01   0.821488E+01   0.764049E+01  -0.241178E+01   0.121291E-01   0.446163E-02   0.938048E-03   0.212769E-03   0.970242E-02  -0.847770E+03   0.168892E+02   0.000000E+00  -0.864659E+03   0.172932E+04
   0.306889E+02   0.115469E+01  -0.295606E+01   0.724106E+01   0.921625E+01   0.262844E+01  -0.468790E+01   0.126924E-01   0.224016E-01   0.938048E-03   0.929281E-02   0.292115E-01  -0.855031E+03   0.122363E+02   0.000000E+00  -0.867267E+03   0.173453E+04
   0.305745E+02   0.984231E+00  -0.505252E+01   0.655091E+01   0.897298E+01   0.818065E+01  -0.133251E+01   0.717527E-02   0.727323E-02   0.107288E-02   0.174234E-03   0.190430E-01  -0.848146E+03   0.156643E+02   0.000000E+00  -0.863810E+03   0.172762E+04
   0.305745E+02   0.984231E+00  -0.557262E+01   0.687702E+01   0.100932E+02   0.351211E+01  -0.256715E+01   0.240814E-02   0.262351E-02   0.353303E-01   0.174234E-03   0.428210E-03  -0.848821E+03   0.145651E+02   0.000000E+00  -0.863386E+03   0.172677E+04
   0.303562E+02  -0.467666E-01  -0.500194E+01   0.996115E+01   0.750132E+01   0.543681E+01  -0.127706E+00   0.141331E-04   0.445506E-02   0.916087E-02   0.109751E-01   0.428210E-03  -0.847871E+03   0.159188E+02   0.000000E+00  -0.863790E+03   0.172758E+04
   0.306905E+02  -0.210957E+01  -0.284886E+01   0.361287E+01   0.857830E+01   0.568519E+01  -0.363695E+01   0.351208E-01   0.242082E-03   0.202063E-02   0.333408E-01   0.114716E-01  -0.858011E+03   0.137132E+02   0.000000E+00  -0.871724E+03   0.174345E+04
   0.310596E+02   0.998705E+00  -0.598960E+01   0.674349E+01   0.103570E+02   0.336707E+01  -0.388462E+01   0.106329E-01   0.738470E-02   0.240209E-02   0.476755E-02   0.917954E-02  -0.850117E+03   0.160473E+02   0.000000E+00  -0.866164E+03   0.173233E+04
   0.306414E+02  -0.811491E+00  -0.516385E+01   0.823477E+01   0.873798E+01   0.398878E+01   0.183414E+01   0.162778E-01   0.119839E-01   0.651242E-02   0.121729E-01   0.130247E-03  -0.847801E+03   0.153407E+02   0.000000E+00  -0.863142E+03   0.172628E+04
   0.306043E+02   0.736075E+00  -0.402560E+01   0.100799E+02   0.873798E+01   0.398878E+01  -0.162959E+01   0.128753E-01   0.369445E-02   0.776702E-02   0.512616E-02   0.246082E-02  -0.848188E+03   0.165158E+02   0.000000E+00  -0.864704E+03   0.172941E+04
   0.306043E+02   0.524109E+00  -0.696498E+01   0.754059E+01   0.108498E+02   0.388486E+01  -0.210447E+01   0.339865E-02   0.778481E-02   0.118677E-01   0.297329E-02   0.120138E-01  -0.848821E+03   0.149567E+02   0.000000E+00  -0.863778E+03   0.172756E+04
   0.307633E+02   0.336280E+00  -0.521453E+01   0.547307E+01   0.123725E+02   0.648202E+01  -0.182561E+01   0.193510E-02   0.145719E-02   0.114854E-01   0.890207E-03   0.189605E-01  -0.849846E+03   0.151414E+02   0.000000E+00  -0.864987E+03   0.172997E+04
   0.304701E+02   0.856405E+00  -0.559785E+01   0.417160E+01   0.115143E+02   0.611666E+01  -0.412361E+01   0.195419E-01   0.865182E-02   0.427344E-02   0.518932E-02   0.242560E-03  -0.850032E+03   0.165850E+02   0.000000E+00  -0.866617E+03   0.173323E+04
   0.298709E+02   0.856405E+00  -0.540770E+01   0.790437E+01   0.802756E+01   0.433561E+01  -0.683927E+00   0.915122E-03   0.865182E-02   0.369130E-02   0.222405E-01   0.193056E-01  -0.849314E+03   0.130318E+02   0.000000E+00  -0.862346E+03   0.172469E+04
   0.300773E+02   0.138680E+01  -0.708427E+01   0.627134E+01   0.755780E+01   0.557470E+01  -0.302929E+01   0.150547E-02   0.108305E-01   0.110469E-02   0.386166E-02   0.123529E-01  -0.852480E+03   0.156057E+02   0.000000E+00  -0.868086E+03   0.173617E+04
   0.311775E+02  -0.453382E-01  -0.550809E+01   0.787132E+01   0.114078E+02   0.428959E+01   0.115289E+01   0.787160E-02   0.584665E-01   0.288941E-01   0.750044E-02   0.142478E-01  -0.857259E+03   0.750980E+01   0.000000E+00  -0.864769E+03   0.172954E+04
   0.304062E+02  -0.410486E-01  -0.502179E+01   0.860734E+01   0.924414E+01   0.477473E+01  -0.880187E-01   0.156751E-01   0.367755E-02   0.133405E-01   0.276869E-02   0.118168E-01  -0.847102E+03   0.152603E+02   0.000000E+00  -0.862362E+03   0.172472E+04
   0.305891E+02  -0.410486E-01  -0.599704E+01   0.837996E+01   0.783917E+01   0.562801E+01   0.890810E+00   0.109135E-01   0.124692E-01   0.655586E-02   0.808069E-02   0.130104E-01  -0.848795E+03   0.144091E+02   0.000000E+00  -0.863204E+03   0.172641E+04
   0.301916E+02  -0.165651E+00  -0.475849E+01   0.692611E+01   0.966227E+01   0.720133E+01   0.198715E+00   0.201635E-01   0.121521E-02   0.316058E-03   0.264089E-01   0.180536E-01  -0.850279E+03   0.138213E+02   0.000000E+00  -0.864100E+03   0.172820E+04
   0.301916E+02   0.306124E+00  -0.431468E+01   0.674172E+01   0.997071E+01   0.486712E+01  -0.103477E+01   0.667626E-02   0.120337E-01   0.199840E-02   0.106393E-01   0.107463E-01  -0.846712E+03   0.148789E+02   0.000000E+00  -0.861591E+03   0.172318E+04
   0.298005E+02  -0.401533E+00  -0.435400E+01   0.452860E+01   0.884194E+01   0.501213E+01  -0.155879E+01   0.835710E-02   0.346793E-02   0.332922E-01   0.430636E-02   0.107058E-02  -0.849662E+03   0.142070E+02   0.000000E+00  -0.863869E+03   0.172774E+04
   0.292275E+02   0.204775E+00  -0.379726E+01   0.766806E+01   0.760352E+01   0.241861E+01   0.251539E+00   0.592275E-02   0.898112E-02   0.164017E-02   0.213503E-02   0.134281E-02  -0.847773E+03   0.170108E+02   0.000000E+00  -0.864784E+03   0.172957E+04
   0.298068E+02  -0.949513E-02  -0.520642E+01   0.794900E+01   0.746647E+01   0.417219E+01  -0.183704E+01   0.519193E-03   0.666287E-02   0.880585E-03   0.510886E-03   0.421810E-01  -0.849253E+03   0.133971E+02   0.000000E+00  -0.862650E+03   0.172530E+04
